"target","output","question"
"milk","(1 point)  Answer: A letter.  Question: What did Fred give to Mary? (1","What did Mary give to Fred? "
"apple","Answer: Fred gave Bill a book.  Question: What did Fred give to Bill? Answer: Fred","What did Fred give to Bill? "
"Jeff","(Contributed by Anonymous)  Answer: The football was given to the poor.  Question: What did","Who did Mary give the football to? "
"apple","Answer: A ring.  Question: What did Mary give to Fred? Answer: A ring.  Question","What did Fred give to Mary? "
"Bill","(from ""The Gift of the Magi"")  Answer: The football was given to the boy.","Who did Mary give the football to? "
"milk","(from ""The Story of a Madman"")  Answer: A ring.  Question: What did Mary","What did Bill give to Mary? "
"Mary","Answer: Bill gave the apple to Bill. Question: Who gave the apple to Bill? Answer:","Who gave the apple to Bill? "
"Mary","Answer: Jeff.  Question: What did Jeff take? Answer: The milk.  Question: What did","Who gave the milk? "
"apple","(A) $1.00 (B) $1.50 (C) $2.","What did Fred give to Bill? "
"milk","(Go to page 1)  Answer: Milk  Question: What did Fred think it was strange","What did Mary give to Fred? "
"Mary","(show/hide)  Answer: The apple was given by the young man who was the first to","Who gave the apple? "
"Fred","Answer: The cow. Question: Who received the milk? Answer: The cow. Question: Who","Who received the milk? "
"apple","(from page 5) Answer: He gave him a pair of shoes.  Question: What did","What did Fred give to Bill? "
"Jeff","The Devil, for he kicked it out of heaven. Why is a football like a woman","Who gave the football? "
"Jeff","(1 point)  Answer: Jeff  Question: What did the landlord say when he heard the story","Who did Bill give the milk to? "
"Jeff","Answer: He gave it to his wife. Question: Who did Bill give the apple to? Answer","Who did Bill give the apple to? "
"apple","Answer: An apple.  Question: What did Ruby give to Fred? Answer: A kiss.  Question","What did Mary give to Fred? "
"Bill","Answer: To the boys. Question: Who did the boys give the football to? Answer: To","Who did Jeff give the football to? "
"Bill","(from http://www.angelfire.com/hi/3/angelfire/3","Who did Fred give the milk to? "
"football","Answer: A ring.  Question: What did Fred give to Mary? Answer: A ring.  Question","What did Mary give to Fred? "
"milk","(0.5)  Answer: A ring.  Question: What did Fred give to Mary? (","What did Mary give to Fred? "
"Fred","(show answer)  Answer: The old woman.  Question: What did the old woman say to the","Who gave the apple? "
"Fred","(from book, p. 0)  Answer: (the page number written in this box is","Who did Bill give the apple to? "
"Mary","(0.5)  Answer: He gave the milk to the baby.  Question: What did the","Who did Bill give the milk to? "
"Fred","(from page 1) Answer: Jack Kirke.  Question: Who is the girl who is","Who gave the football? "
