"target","output","question"
"Jeff","Answer: Fred gave the football to Fred. Question: Who did Fred give the football to?","Who did Fred give the football to? "
"Fred","Answer: The milkman. Question: Who received the milk? Answer: The milkman.","Who received the milk? "
"Jeff","Answer: The cow. Question: Who gave the milk to Fred? Answer: The cow. Question","Who gave the milk to Fred? "
"milk","Answer: Nothing. Question: What did Bill give to Mary? Answer: Nothing. Question: What","What did Mary give to Bill? "
"Mary","Answer: Who received the football? Question: Who received the football? Answer: Who received the football","Who received the football? "
"Fred","Answer: Jeff gave the milk to Jeff.  Question: Who gave the milk to Jeff? Answer:","Who gave the milk to Jeff? "
"milk","Answer: A pair of trousers. Question: What did Bill give to Jeff? Answer: A pair","What did Jeff give to Bill? "
"Fred","Answer: Adam. Question: Who ate the apple? Answer: Eve. Question: Who ate the","Who received the apple? "
"Fred","Answer: Who gave the apple to Mary?  Question: Who gave the apple to Mary? Answer:","Who gave the apple to Mary? "
"Jeff","Answer: Jeff. Edwards, minister of Denton, in Sussex, a living in my brother's","Who gave the milk? "
"milk","Answer: Nothing. Question: What did Mary give to Fred? Answer: Nothing. Question: What","What did Fred give to Mary? "
"Fred","Answer: Who gave the apple to Bill?  Question: Who gave the apple to Bill? Answer:","Who gave the apple to Bill? "
"Mary","Answer: Who received the football?  Question: Who received the football? Answer: Who received the football","Who received the football? "
"apple","Answer: A pair of shoes. Question: What did Bill give to Fred? Answer: A pair","What did Fred give to Bill? "
"Bill","Answer: Bill.  Question: Who gave the football to Fred? Answer: Bill.  Question: Who","Who gave the football to Fred? "
"Fred","Answer: Who gave the football to Jeff? Question: Who gave the football to Jeff? Answer:","Who gave the football to Jeff? "
"milk","Answer: Nothing.  Question: What did Fred give to Mary? Answer: Nothing.  Question: What","What did Mary give to Fred? "
"Bill","Answer: Who did Fred give the apple to? Question: Who did Fred give the apple to?","Who did Fred give the apple to? "
"Fred","Answer: The milkman. Question: Who gave the butter? Answer: The butterman. Question","Who gave the milk? "
"Bill","Answer: Who gave the apple? Question: Who gave the apple? Answer: Who gave the apple","Who gave the apple? "
"Mary","Answer: Jeff gave the apple to Jeff. Question: Who did Jeff give the apple to?","Who did Jeff give the apple to? "
"Mary","Answer: Mary.  Question: Who gave the milk? Answer: Mary.  Question: Who gave the","Who gave the milk? "
"milk","Answer: Nothing. Question: What did Bill give to Fred? Answer: Nothing. Question: What","What did Fred give to Bill? "
"Bill","Answer: Jeff gave the football to Jeff.  Question: Who gave the football to Jeff? Answer:","Who gave the football to Jeff? "
"Mary","Answer: Jeff gave the milk to Jeff.  Question: Who gave the milk to Jeff? Answer:","Who gave the milk to Jeff? "
