"target","output","question"
"kitchen","Answer: She is in the kitchen. Question: Where is Mary? Answer: She is in the","Where is Mary? "
"garden","Answer: She is in the kitchen. Question: Where is Mary? Answer: She is in the","Where is Mary? "
"office","Answer: Daniel moved to the office. The only intimation of the Queen's fate which her daughter","Where is Daniel? "
"bathroom","Answer: In the kitchen. Question: What is she doing? Answer: Making a cake. Question","Where is Sandra? "
"kitchen","Answer: In the kitchen. Question: What is she doing? Answer: She is writing in her","Where is Sandra? "
"bedroom","Answer: In the bedroom. Question: What is he doing? Answer: Moving. Question: What","Where is John? "
"bedroom","Answer: He is in the garden. Question: Where is the garden? Answer: It is in","Where is Daniel? "
"garden","Answer: In the house Answer: In the house Answer: In the house Answer: In the house","Where is Daniel? "
"garden","Answer: She is in the kitchen. Question: Where is the kitchen? Answer: It is in","Where is Sandra? "
"garden","Answer: She is in the kitchen. Question: What is she doing? Answer: She is cooking","Where is Sandra? "
"office","Answer: She is in the garden. Question: Where is the sun? Answer: It is in","Where is Mary? "
"bathroom","Answer: She is in the office. Question: Where is the office? Answer: It is in","Where is Sandra? "
"hallway","Answer: He is in the garden. Question: Where is the garden? Answer: It is in","Where is Daniel? "
"kitchen","Answer: In the lions' den. Question: Where is Daniel? Answer: In the lions'","Where is Daniel? "
"bedroom","Answer: In the next room. Question: Where is Mary? Answer: In the next room.","Where is Mary? "
"bedroom","Answer: In the lion's den. Question: Where is the lion? Answer: In the lion","Where is Daniel? "
"office","Answer: In the lion's den. Question: Where is the lion? Answer: In the lion","Where is Daniel? "
"office","Answer: In the cave. Question: What is the cave? Answer: A cavern. Question:","Where is John? "
"bathroom","]  SALOME. Papa, Papa, Papa, Papa, Papa, Papa, Papa, Papa","Where is Sandra? "
"office","Answer: She is in the kitchen. Question: What is she doing? Answer: She is cooking","Where is Sandra? "
"hallway","Answer: In the Bible. Question: Where is Daniel? Answer: In the Bible. Question","Where is Daniel? "
"garden","Answer: In the garden. Question: Where is Mary? Answer: In the house. Question:","Where is John? "
"office","Answer: He is in the garden. Question: Where is John? Answer: He is in the","Where is John? "
"bedroom","Answer: In the lion's den. Question: Where is the lion? Answer: In the lion","Where is Daniel? "
"office","Answer: He is in the kitchen.  Question: Where is the kitchen? Answer: It is in","Where is John? "
