"target","output","question"
"Jeff","(Answer with the name of the person, not the pronoun) Answer: Fred gave the","Who did Fred give the milk to? "
"apple","Answer: Mary gave the apple to Jeff.  Okay, let's see. I need to figure","What did Mary give to Jeff? "
"Jeff","Choices: A. M. Rodin B. M. Dupont C. Madame","Who received the football? "
"milk","(Answer in one word.)  Okay, let's try to figure out what Mary gave to Bill","What did Mary give to Bill? "
"Jeff","(Please answer with the name of the person, not the title.) The answer should be the","Who received the apple? "
"Mary","(Please answer with the name of the person, not the role.)  Based on the provided context","Who gave the milk? "
"Mary","Answer: The football was given by the author to the boys.  Wait, the answer is not","Who gave the football? "
"milk","Answer: Mary passed the milk to Jeff. Okay, let's see. I need to figure","What did Mary give to Jeff? "
"apple","Choices: A. A glass of milk B. An apple C. A book","What did Fred give to Mary? "
"Fred","Answer: Fred The answer is Fred.  Okay, let's see. I need to figure","Who gave the football to Mary? "
"Fred","(Answer with the name of the person, not the pronoun or title.)  Answer:  Assistant","Who received the apple? "
"Fred","Okay, let's try to figure out who received the apple in the provided text.   First","Who received the apple? "
"apple","2. What did the narrator do after the meeting with his uncle? 3. What did","What did Mary give to Fred? "
"Mary","(Answer with the name of the person, not the animal.)  The question is asking who received","Who received the milk? "
"Mary","Answer: Mary gave the football to Fred.  Question: What is the main topic of the text?","Who gave the football to Fred? "
"Bill","Choices: A. Bill B. Jeff C. Mary D. McFarlane","Who received the milk? "
"Jeff","The answer should be a name from the text. Answer: Jeff The answer is Jeff.  Okay","Who gave the apple to Bill? "
"Bill","Answer: Bill passed the milk to Fred.  Okay, let's see. I need to figure","Who gave the milk to Fred? "
"Jeff","The patient's mother, the patient's daughter, the patient's husband, or the patient's","Who received the milk? "
"Fred","Answer: Mary gave the football to Fred. Okay, let's try to figure out who received","Who received the football? "
"Mary","(Answer with the name of the person, not the title.)  The answer should be the name","Who received the milk? "
"Mary","A. The person who is in the garden. B. The person who is in the field","Who received the football? "
"Jeff","Choices: A. Fred B. Jeff C. Toto D. <DW","Who gave the apple? "
"milk","Answer: Mary handed the milk to Bill. Okay, let's try to figure out the answer","What did Mary give to Bill? "
"Bill","(Answer with the name of the person, not the animal.)  The answer should be the name","Who received the milk? "
