"target","output","question"
"bedroom","Answer: The apple is in the bedroom.","Where is the apple? "
"kitchen","Answer: The milk is in the kitchen.  <question> John went to the bathroom. Daniel travelled","Where is the milk? "
"bathroom","Answer: The football is in the bedroom.  <question> Mary went to the garden. it is","Where is the football? "
"bedroom","Answer: The apple is in the kitchen.  <question> John went to the garden. Sandra moved","Where is the apple? "
"garden","Answer: The milk is in the garden.  <question> Rapidly was my mind working out","Where is the milk? "
"garden","Answer: The milk is in the garden.  <question> Mary moved to the hallway. Mary travelled","Where is the milk? "
"garden","Answer: The football is in the garden.  <question> Mary moved to the kitchen. Mary got","Where is the football? "
"hallway","Answer: The apple is in the garden.  <question> Mary moved to the bathroom. Mary got","Where is the apple? "
"hallway","Answer: The milk is in the kitchen.  <question> Mary went to the bedroom. Sandra took","Where is the milk? "
"bathroom","Answer: The milk is in the bathroom.  <question> Mary went to the bedroom. Daniel moved","Where is the milk? "
"garden","Answer: The apple is in the garden.  <question> Mary went to the office. We aroused","Where is the apple? "
"hallway","Answer: The apple is in the garden.  <question> Mary went to the bathroom. 82","Where is the apple? "
"garden","Answer: The milk is in the bathroom.  <question> Mary went to the office. Mary got","Where is the milk? "
"office","Answer: The milk is in the garden.  <question> Mary went to the kitchen. Mary got","Where is the milk? "
"office","Answer: The football is in the office.  <question> Mary went to the kitchen. On these","Where is the football? "
"office","Answer: The football is in the garden.  <question> Mary went back to the bathroom. Mary","Where is the football? "
"bathroom","Answer: The apple is in the bathroom.  <question> Mary went to the kitchen. Mary got","Where is the apple? "
"office","Answer: The milk is in the kitchen.  <question> Mary went to the bathroom. Mary got","Where is the milk? "
"garden","Answer: The football is in the garden.  <question> Mary went to the bathroom. Mary got","Where is the football? "
"hallway","Answer: The football is in the garden.  <question> Mary went to the kitchen. Mary got","Where is the football? "
"hallway","Answer: The apple is in the kitchen.  <question> Mary picked up the football there. He","Where is the apple? "
"bathroom","Answer: The football is in the garden.  <question> Mary went to the kitchen. Mary got","Where is the football? "
"garden","Answer: The milk is in the kitchen.  <question> What stone should have been placed at the","Where is the milk? "
"kitchen","Answer: The football is in the kitchen.  <question> Alan moved to the garage. Alan got","Where is the football? "
"kitchen","Answer: The apple is in the kitchen.  <question> What is the football? Answer: The","Where is the apple? "
