"target","output","question"
"apple","Jeff went to the office. Mary journeyed to the hallway. Fred went to the garden. Bill","What did Fred give to Bill? "
"apple","Jeff picked football football football football football football football football football football football football football football football football football football","What did Fred give to Mary? "
"milk","Fred travelled to the office. Mary discarded the milk. Bill milked Mary. Mary discarded the milk","What did Bill give to Mary? "
"Mary","Jeff milked Bill, Bill milked Bill, Bill milked Bill, Bill milked Bill,","Who gave the milk? "
"milk","Mary gave milk to Fred. Mary milk Fred Fred milk Mary Fred Fred Mary Fred Mary milk Fred Fred","What did Mary give to Fred? "
"Fred","Bill, Fred Jeff Jeff passed the milk to Jeff Jeff passed the milk to Jeff Jeff passed the milk","Who received the milk? "
"Jeff","Jeff Fred Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill","Who gave the football? "
"Jeff","Fred Jeff Jeff Fred Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill","Who did Bill give the apple to? "
"Bill","Bill. Bill. Jeff. Jeff. Bill. Bill. Bill. Bill. Bill. Bill.","Who did Jeff give the football to? "
"football","football football football football football football football football football football football football football football football football football football football football","What did Mary give to Fred? "
"Fred","Mary gave the apple. Fred picked the apple. Fred picked the apple. Fred picked the apple.","Who gave the apple? "
"Mary","Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,","Who did Bill give the milk to? "
