,target,output,question
0,bedroom,"I have I have I have the first I think I we all the the
 I would
 She",What is the bathroom east of?
1,kitchen,"I'my versa the
 the
 the first,.swinging the
 the first. the first",What is south of the office?
2,garden,"The first time and the
the first time the
the
 the
the
 versa the same",What is north of the office?
3,garden,"He was the woman, the woman, she was she was she was she was to Mr..swing",What is the bedroom north of?
4,garden,"I'my
you're you're you're you'ret the one to you to be it",What is the bathroom south of?
5,office,"The night'st the mountain'st the mountain, the mountain'st the water'st The",What is north of the bedroom?
6,bathroom,"I the one his
 Of the one his one the
 He was the man the one his one",What is north of the garden?
7,bedroom,He was the first. He was he is it. the one the one. He was Mr.,What is west of the office?
8,kitchen,"I believe the
 I
 I the first to what I
 I
 Mr. the first.",What is the garden south of?
9,bathroom,"I was the
the he was the man she was the first..swinging the first..swing",What is the hallway north of?
10,bedroom,"You the first to the other than the other than the other than a man, yous
the",What is south of the hallway?
11,office,"The British soldiers..swinging the British soldiers. The army
 A large the British the British soldiers",What is east of the bedroom?
12,hallway,"I'ms the
 I
you're you
 I
 He
 He
I
I",What is north of the garden?
13,bedroom,"I have you
But I'm that she was she was she was she was she was she was",What is the garden west of?
14,hallway,"I'men you
 the man and the man..swinging you're you're you're you",What is east of the bathroom?
15,bathroom,I was the one the woman. the first..swinging her..swinging trying to be she,What is the office west of?
16,bathroom,"I went a ""I we had a man.. the
 and we all the first. We",What is west of the bedroom?
17,kitchen,"They were they were they were they were they were the
 They were the
 They were the",What is north of the hallway?
18,bathroom,.swinging.swinging.swinging.swinging.swing the.swinging the..swinging.swinging.swing,What is south of the kitchen?
19,office,"He
The
the
The
The
The
The
The
 the
The",What is south of the bedroom?
20,bedroom,"I the
 I the
 Gabriel's the
 the
 the first to them to the",What is west of the hallway?
21,office,"The author, the the trying to be the the the..swing",What is east of the bedroom?
22,bedroom,"I the the man the
The whole the
He was to what to the
 the first the",What is the hallway south of?
23,kitchen,"The head and the head the
 the head of the head of the first and the the
.swing",What is west of the bedroom?
24,bedroom,"I
The
The
The ""I She was she was to the
I
I",What is south of the bathroom?
25,hallway,"he
 He
 The
 He
 He was to the
He had he was he had he",What is west of the bathroom?
26,office,"The first and the
 the
the
 the first and the first to be it was the",What is south of the hallway?
27,bedroom,I'my.swinging the the the the the the the the the the the the the the the,What is east of the office?
28,garden,"The same to the
 to the
to the
 and the same to the same to the",What is west of the bathroom?
29,kitchen,"they were the
 the
 the same the same the them, the them to the
 the same",What is the garden north of?
30,office,"The other light, and the
 the
 the
 the
 The light
 the
 the",What is east of the garden?
31,bathroom,"The first and we were the first the same of the first of the same the
the
 the",What is south of the hallway?
32,garden,"I think the first. the first. I think I
 the first. I have you
the",What is east of the office?
33,bedroom,I have the first time the first time she said she said she to the woman the first time.,What is south of the hallway?
34,garden,the,What is the hallway east of?
35,kitchen,"I have I he was it was I the first I the boy. I was to be
 He",What is south of the hallway?
36,bathroom,"The Great..swinging the
 the the
  The Great. the
The Great the",What is the kitchen west of?
37,kitchen,"I have to the firsts the first time and I have you're you the
 He was I",What is the bathroom west of?
38,bathroom,"The patient the patient
 the patient the same the same the patient, the
to the first the",What is the garden south of?
39,bedroom,"The first of the
 The
 the same time.
 the
 The country the
 The",What is the garden south of?
40,bedroom,"Mr.the first to him to tell them to be it
 Mr. the first to Mr.",What is west of the bathroom?
41,garden,"was the first
 The
 The first the first the
 The
 The
 The
 The",What is west of the office?
