,target,output,question
0,bathroom,,Where is Mary? 
1,kitchen,,Where is Sandra? 
2,kitchen,,Where is Mary? 
3,kitchen,,Where is John? 
4,bedroom,,Where is Sandra? 
5,office,,Where is John? 
6,garden,,Where is Mary? 
7,bathroom,,Where is Sandra? 
8,kitchen,,Where is Mary? 
9,bedroom,,Where is John? 
10,office,,Where is Daniel? 
11,office,,Where is Daniel? 
12,bathroom,,Where is Mary? 
13,bathroom,,Where is Sandra? 
14,bathroom,,Where is Sandra? 
15,hallway,,Where is Mary? 
16,kitchen,"Answer: The most recent location of Sandra is kitchen.

<example>
Daniel went to the bedroom.",Where is Sandra? 
17,office,,Where is Daniel? 
18,kitchen,,Where is Sandra? 
19,bedroom,,Where is John? 
20,hallway,,Where is Sandra? 
21,bedroom,,Where is Mary? 
22,bedroom,,Where is John? 
23,bedroom,,Where is Mary? 
24,bedroom,,Where is Mary? 
25,garden,,Where is Mary? 
26,bedroom,,Where is Daniel? 
27,office,,Where is Sandra? 
28,office,,Where is Sandra? 
29,garden,,Where is Sandra? 
30,garden,,Where is Daniel? 
31,bathroom,,Where is Mary? 
32,office,,Where is Mary? 
33,kitchen,,Where is Sandra? 
34,garden,,Where is Sandra? 
35,kitchen,,Where is Sandra? 
36,kitchen,,Where is Sandra? 
37,garden,,Where is John? 
38,garden,,Where is Sandra? 
39,bathroom,,Where is Sandra? 
40,bedroom,,Where is Mary? 
41,kitchen,,Where is Sandra? 
42,office,,Where is Mary? 
43,bedroom,,Where is Mary? 
44,office,,Where is Daniel? 
45,office,,Where is Sandra? 
46,bathroom,,Where is Sandra? 
47,bedroom,,Where is Sandra? 
48,office,,Where is Daniel? 
49,bedroom,,Where is Sandra? 
50,hallway,,Where is Daniel? 
51,bedroom,,Where is Sandra? 
52,office,,Where is John? 
53,garden,,Where is John? 
54,kitchen,,Where is Daniel? 
55,hallway,,Where is Mary? 
56,hallway,"Answer: The most recent location of Sandra is hallway.

<example>
John moved to the kitchen.",Where is Sandra? 
57,hallway,,Where is John? 
58,bedroom,,Where is Mary? 
59,bedroom,,Where is Sandra? 
60,bedroom,,Where is Daniel? 
61,kitchen,,Where is Sandra? 
62,bedroom,,Where is Daniel? 
63,garden,,Where is John? 
64,bathroom,,Where is Sandra? 
65,garden,"Answer: The most recent location of Sandra is garden.

<example>
Sandra went back to the",Where is Sandra? 
66,office,,Where is Daniel? 
67,bedroom,,Where is Mary? 
68,garden,,Where is Sandra? 
69,bathroom,,Where is Sandra? 
70,office,,Where is John? 
71,kitchen,"Answer: The most recent location of Daniel is kitchen.

<example>
Daniel went to the garden.",Where is Daniel? 
72,bedroom,,Where is John? 
73,office,,Where is Daniel? 
74,bathroom,,Where is Sandra? 
75,office,,Where is John? 
76,hallway,,Where is Mary? 
77,office,,Where is John? 
78,office,,Where is Sandra? 
79,bathroom,,Where is John? 
80,hallway,,Where is John? 
81,hallway,,Where is Daniel? 
82,hallway,,Where is Daniel? 
83,bathroom,,Where is Daniel? 
84,bathroom,,Where is John? 
85,bathroom,,Where is Daniel? 
86,garden,,Where is John? 
87,bedroom,,Where is John? 
88,office,,Where is Mary? 
89,garden,,Where is Sandra? 
90,office,,Where is John? 
91,bedroom,,Where is Daniel? 
92,hallway,,Where is John? 
93,kitchen,,Where is Daniel? 
94,bedroom,,Where is Daniel? 
95,hallway,,Where is Sandra? 
96,garden,,Where is Sandra? 
97,bedroom,,Where is John? 
98,office,,Where is John? 
99,garden,,Where is Sandra? 
