,target,output,question
0,bedroom,"Answer: hallway

Question: What is the bathroom west of? Answer: bedroom

Question: What",What is the bathroom east of?
1,kitchen,,What is south of the office?
2,garden,,What is north of the office?
3,garden,,What is the bedroom north of?
4,garden,"Answer: kitchen

Question: What is the kitchen south of? Answer: bedroom

Question: What",What is the bathroom south of?
5,office,,What is north of the bedroom?
6,bathroom,"Answer: bedroom
</example>
</example>
</example>
</example>
</example>
</",What is north of the garden?
7,bedroom,Answer: The bathroom.,What is west of the office?
8,kitchen,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is the garden south of?
9,bathroom,"Answer: the office

Question: What is the hallway south of? Answer: the bathroom

Question",What is the hallway north of?
10,bedroom,,What is south of the hallway?
11,office,,What is east of the bedroom?
12,hallway,"Answer: hallway
</example>
<example>
The bedroom is west of the kitchen. The hallway",What is north of the garden?
13,bedroom,,What is the garden west of?
14,hallway,,What is east of the bathroom?
15,bathroom,"Answer: bedroom

Question: What is the office south of? Answer: kitchen

Question: What",What is the office west of?
16,bathroom,,What is west of the bedroom?
17,kitchen,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is north of the hallway?
18,bathroom,"Answer: bedroom
</example>
<example>
The garden is west of the bedroom. The bedroom",What is south of the kitchen?
19,office,,What is south of the bedroom?
20,bedroom,,What is west of the hallway?
21,office,,What is east of the bedroom?
22,bedroom,"Answer: bedroom
Question: What is the bedroom west of? Answer: garden",What is the hallway south of?
23,kitchen,,What is west of the bedroom?
24,bedroom,,What is south of the bathroom?
25,hallway,,What is west of the bathroom?
26,office,"Answer: bathroom
</example>
<example>
The hallway is south of the kitchen. The bedroom",What is south of the hallway?
27,bedroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is east of the office?
28,garden,"Answer: garden
</example>
<example>
The garden is west of the bathroom. The bedroom",What is west of the bathroom?
29,kitchen,,What is the garden north of?
30,office,,What is east of the garden?
31,bathroom,"Answer: bathroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the hallway?
32,garden,"Answer: bedroom
</example>
<example>
The bedroom is west of the kitchen. The kitchen",What is east of the office?
33,bedroom,,What is south of the hallway?
