,target,output,question
0,bathroom,". The....
...... the.... the..",Where is Mary? 
1,kitchen,"...... and. and..
..
.......",Where is Sandra? 
2,kitchen,....................,Where is Mary? 
3,kitchen,"...... The...
... The. The....",Where is John? 
4,bedroom,"..
....
 to the......,...
..",Where is Sandra? 
5,office,"to. to. to., in a. the,. the.,.,.,",Where is John? 
6,garden,. The.......... for.......,Where is Mary? 
7,bathroom,".................
.
.
.",Where is Sandra? 
8,kitchen,".,. The. The.,...,. The..
 the,,.",Where is Mary? 
9,bedroom,",...
.
.....
.
.
.,..
 the..
.",Where is John? 
10,office,",. in. and..
.
.
.
.
.
.
.
.
.
.
.
 and.",Where is Daniel? 
11,office,"..
. the. the.. the..
..
..
..
..
.",Where is Daniel? 
12,bathroom,",.,..,..,... of.,,...,",Where is Mary? 
13,bathroom,". The...swing. the.....
... the. versa. the",Where is Sandra? 
14,bathroom,....................,Where is Sandra? 
15,hallway,"..,........,........",Where is Mary? 
16,kitchen,".
.
,.
.
..
.,.,.,.,.....",Where is Sandra? 
17,office,". trying..
..
. versa..
...
. trying. trying.
. versa",Where is Daniel? 
18,kitchen,".,,,, and, and,,,.,., the.. and.",Where is Sandra? 
19,bedroom,".
..
.
.
..
.
.
.
.
.
.
 the.
.swing.
.
.
.",Where is John? 
20,hallway,".swing.
 versa
 the.swing.
.swing versa.://://://://://://://://://://",Where is Sandra? 
21,bedroom,"..swing..swing and.swing, the..swing. versa. versa..swing and..
.swing",Where is Mary? 
22,bedroom,".
.

.

.
.
.
.

.
 and.
 and.
.
.
.
.
.",Where is John? 
23,bedroom,"...,...
..
..
.. The......",Where is Mary? 
24,bedroom,"..swing. versa... trying...
..
..
..
..
.",Where is Mary? 
25,garden,".
..
 trying.
.
. the.
.
.
.
.
.
 versa.
. versa.
 versa",Where is Mary? 
26,bedroom,,Where is Daniel? 
27,office,"............
..
..
...
.",Where is Sandra? 
28,office,"...,................",Where is Sandra? 
29,garden,",,,,,,,,,.,.,., with.
 with with",Where is Sandra? 
30,garden,".................
..,",Where is Daniel? 
31,bathroom,".,. The. The.,., and. The.
.
.
. The and.",Where is Mary? 
32,office,............... the....,Where is Mary? 
33,kitchen,"..
.swing.
 trying in the in the. The..
.swing of the. The.
 the",Where is Sandra? 
34,garden,....................,Where is Sandra? 
35,kitchen,the. The. The. I. I. I. I. I. I. I.,Where is Sandra? 
36,kitchen,".
.
.
.
.
.
.
.
.
 versa,,,,,,,.
 the,",Where is Sandra? 
37,garden,".
. The. The..
. The. The. The. The. The. The.",Where is John? 
38,garden,"..
..
..
....
........
..",Where is Sandra? 
39,bathroom,".,... The..............",Where is Sandra? 
40,bedroom,"“, the, the, the
 “, “, the, the
 “, the",Where is Mary? 
41,kitchen,",,,,,.,.swing,.,.,......,",Where is Sandra? 
42,office,"..........,......,.,",Where is Mary? 
43,bedroom,". the..swing..swing.
..swing..swing..swing..swing..swing..swing.",Where is Mary? 
44,office,. The. “. The. The. The. The. The. The. The. The,Where is Daniel? 
45,office,".....
.,.,..,...
.
.
..
.",Where is Sandra? 
46,bathroom,. I. I. I. I. I. I. I. I. The. I,Where is Sandra? 
47,bedroom,". The. The. The........ The.... """,Where is Sandra? 
48,office,"..swing..swing...
.
.
.
.
..swing..swing..swing..swing.",Where is Daniel? 
49,bedroom,",.
,,,,.,,.
.
,.
.
, and,.
.
.",Where is Sandra? 
50,hallway,"...,,.,.............",Where is Daniel? 
51,bedroom,".... to...,.,.swing...
.....",Where is Sandra? 
52,office,....................,Where is John? 
53,garden,",,.swing,.swing,..
,,.
..
,,,,,,,",Where is John? 
54,kitchen,"... and.
..
..
.
.
,..
.
.
.
.
.
 in",Where is Daniel? 
55,hallway,"in,,.. in, in,,,,,,,,,,,,",Where is Mary? 
56,hallway,. The.... The.... The. versa......,Where is Sandra? 
57,hallway,". to.. and and and and and in. of..., in the, to",Where is John? 
58,bedroom,"..
. in..
..
..
..
..
. in the in..",Where is Mary? 
59,bedroom,"and.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",Where is Sandra? 
60,bedroom,".
.
.
.
. and.
.
.
.
. The.
.
..
.
.
.
.",Where is Daniel? 
61,kitchen,"...............
....,",Where is Sandra? 
62,bedroom,". I. I. "" in. I. I. "".. "". I. The",Where is Daniel? 
63,garden,".
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

.",Where is John? 
64,bathroom,".

.




,,


,, and.",Where is Sandra? 
65,garden,....................,Where is Sandra? 
66,office,".,. the. the..
..
. K...
..
 of the.",Where is Daniel? 
67,bedroom,". that. That. That. that. That. That. that that. That.,.",Where is Mary? 
68,garden,"I..
 He. The.He..
The..
 He..
The. The.",Where is Sandra? 
69,bathroom,".
 the. I.
.,.,.
.
.
.
. The....
.",Where is Sandra? 
70,office,", in the,. the to the,,,, to the to the....",Where is John? 
71,kitchen,for. for. for. for for for for for the for for for. for...,Where is Daniel? 
72,bedroom,the'the. The. The. The. The was the. The. He. The.,Where is John? 
73,office,. I... I. I. I. I. I.. I. I.,Where is Daniel? 
74,bathroom,".

. The.
.
. The. The.",Where is Sandra? 
75,office,",,,,,,,,,,.......
...",Where is John? 
76,hallway,....................,Where is Mary? 
77,office,".. in..
.
 the..
.....
..
..
..swing",Where is John? 
78,office,"..
..
... The. The. The to.. The....",Where is Sandra? 
79,bathroom,",,,. The. of the.,.,.,.,. The. The",Where is John? 
80,hallway,"..,.,....,.... The.....",Where is John? 
81,hallway,,Where is Daniel? 
82,hallway,".
.,. of the, the.
 of the of the. of the..
 of the",Where is Daniel? 
83,bathroom,"S..
S.swinging.
S.
S.
1. I
1.
S.
S",Where is Daniel? 
84,bathroom,"..
..
..
..
..
..........",Where is John? 
85,bathroom,". I.the..
..
. I. I. I. I. I..",Where is Daniel? 
86,garden,....................,Where is John? 
87,bedroom,",.,.,.,.,.,.,., the....",Where is John? 
88,office,. The. that.. The. The..... that. that.. and,Where is Mary? 
89,garden,"...,.,.,.,.,.,.,,,, for",Where is Sandra? 
90,office,".

..swing.swing versa.
..swing.

.

..swing.swing.swing versa.",Where is John? 
91,bedroom,................. the. the,Where is Daniel? 
92,hallway,".......,.,..
.
..
.
..
..",Where is John? 
93,kitchen,"and, the, the.
, the.",Where is Daniel? 
94,bedroom,of. in the. of the of the of the of the. The and. The. The,Where is Daniel? 
95,hallway,".......,.,..
..
...,..",Where is Sandra? 
96,garden,"................
..
..",Where is Sandra? 
97,bedroom,".,.,. The...
..
..
...
.,.,",Where is John? 
98,office,"..
..
.
.
..
., for the,.
..,.,.",Where is John? 
99,garden,....................,Where is Sandra? 
