,target,output,question
0,Jeff,"I have the
 the
 the
He
The same to whom I
the
 the",Who did Fred give the football to? 
1,Bill,He was the first to the first time and the first and the first. the first to the first,Who did Mary give the milk to? 
2,Jeff,"the the.://.swinging the the
 of the the the the the
 and it",Who did Fred give the milk to? 
3,milk,I'mythe first..swinging her..swinging the I'my..swinging,What did Mary give to Fred? 
4,Fred,"I'mythe first, trying to you're you're you're you're you're you're",Who received the milk? 
5,apple,"We were we were we were we had been the
We are we went to the
 the first",What did Mary give to Jeff? 
6,apple,He was he was that he was he was to go to the father and he was he was he,What did Mary give to Jeff? 
7,apple,"I'my
 He was he was she that he that he was I'my the girl,",What did Fred give to Bill? 
8,Jeff,"The boy and the
 the
 the
 the little, the
.swinging the first the",Who gave the milk to Fred? 
9,Fred,"The
 It is
 The
 The
 The
 The first, it is the
 The",Who gave the apple to Mary? 
10,Jeff,"I the first. I the girl, the first to the girl, the girl, I am I",Who received the football? 
11,Jeff,"We, and the first?
We were we had we had we had we the sea, and we",Who did Mary give the football to? 
12,milk,"The
 the
the
The
The same the same the
the others, the
the",What did Mary give to Bill? 
13,Bill,"The the first,.swinging the
 the same the moment the moment, the
they were",Who did Mary give the milk to? 
14,milk,"He,the
He
It is
It is
He is a
I
He is",What did Mary give to Bill? 
15,apple,"The first and the
whether the first and the
 the British to the first and the British",What did Fred give to Mary? 
16,Mary,"The
 We were the first the
 We were the the first to the first time the first time",Who received the football? 
17,apple,"He was he was he was he was he was he was he
he was he was he was",What did Fred give to Bill? 
18,Jeff,"I was she was she was she was she
 She was she was I had been she was she",Who received the apple? 
19,Bill,"She
to
 Mary
 Mary
 Mary..swinging Mary, She
 I
 Mary.",Who did Mary give the football to? 
20,Fred,"I will they all the first one the
But I would you'red I would you the",Who gave the milk to Jeff? 
21,Mary,I the water..swinging the girl..swinging the water..swinging the girl..swing,Who received the milk? 
22,Mary,"I the fact to be they are they are the same the same, and the same the same the",Who gave the milk? 
23,milk,the.swing the.swing the.swing the.swinging.swinging.swinging.swing the.swing.://://://,What did Bill give to Mary? 
24,milk,"It is it the the
.swinging the

the
 able to the
 the
.swing",What did Jeff give to Bill? 
25,football,"The one the one the first the first the first the firsts
 the
and the first",What did Jeff give to Fred? 
