,target,output,question
0,bedroom,"... to..
. The. The.. The.. of.. The.",What is the bathroom east of?
1,kitchen,"..,.....
..
....
..
..
. I",What is south of the office?
2,garden,"and and.,. The..
. The. The.
.,.,...",What is north of the office?
3,garden,....................,What is the bedroom north of?
4,garden,"and
The
The




The
The

 the

.
 influential",What is the bathroom south of?
5,office,".....,.,.,. to. The......",What is north of the bedroom?
6,bathroom,....................,What is north of the garden?
7,bedroom,"and and and, and,,, to the, trying,. The,,,,,",What is west of the office?
8,kitchen,. He. He. He. He. He. He. He. He. He..,What is the garden south of?
9,bathroom,"..
...swing..
.
.
.
.
.
.
..swing,.
.
.
.",What is the hallway north of?
10,bedroom,"of the..
.
..
 and and,. the.. versa. the..
.",What is south of the hallway?
11,office,"“the.
“?
“ is.
“ is.
“.
“ of the.
“ is.",What is east of the bedroom?
12,hallway,",.
 trying,.swing..
..
.
.
 the..
.
.
.
.
.
.",What is north of the garden?
13,bedroom,"..
.
.
..
..
.
.
.
ishment...
..
.
.
.",What is the garden west of?
14,hallway,".......
..
...........",What is east of the bathroom?
15,bathroom,"..
 versa. the.
 versa..swing.
 the..
 the..
.
.
 the.",What is the office west of?
16,bathroom,....................,What is west of the bedroom?
17,kitchen,"..swing..
..
..
..
.. versa. the.
,.
,.",What is north of the hallway?
18,bathroom,"in the in the and and and and.
.swing and, and, the,.swing and,.swing",What is south of the kitchen?
19,office,". I..... I..
. The. I. I. "". I",What is south of the bedroom?
20,bedroom,".. that,,,,. the... that..
..
..,",What is west of the hallway?
21,office,",.
. I. I.
. I.
..
.,. I.,. I",What is east of the bedroom?
22,bedroom,".,.,...............,",What is the hallway south of?
23,kitchen,",,,,,..
.,.swing,. versa,,,,.,,",What is west of the bedroom?
24,bedroom,. the.... trying..swing... the.. the. versa. the,What is south of the bathroom?
25,hallway,"....,.,.,.,.........",What is west of the bathroom?
26,office,",..
..swing..swing..swing..swing..
. The..
..swing.",What is south of the hallway?
27,bedroom,", I. I. I. I, I,,, They, I, I, I",What is east of the office?
28,garden,".
.
. The.
..
.
.
.
.
.
.
.
.
.
.
.
.
.",What is west of the bathroom?
29,kitchen,"the, the, and the, and the and the.
The.
 The of the, of the",What is the garden north of?
30,office,....... I. I. I... I....,What is east of the garden?
31,bathroom,"and..
.
.
....
........,..",What is south of the hallway?
32,garden,".....,.,............",What is east of the office?
33,bedroom,"..swing and..
..swing. the..
..swing..swing..swing. the.",What is south of the hallway?
34,garden,"of. of...
..
...
..
.....
..",What is the hallway east of?
35,kitchen,..swing and..swing..swing..swing..swing..swing..swing..swing..swing.,What is south of the hallway?
36,bathroom,"..
.
..
..
. The,..swing.
..
..
 of that.",What is the kitchen west of?
37,kitchen,". I...
...
..
 trying..
.
.
...",What is the bathroom west of?
38,bathroom,"...
 the..swing. The. versa..swing..swing. trying..swing..swing",What is the garden south of?
39,bedroom,"..
..................",What is the garden south of?
40,bedroom,",,,, I,.swing, I.,.
. I..
.
. I,",What is west of the bathroom?
