,target,output,question
0,kitchen,"The
 the fact in the
 the fact to the
 the
 The fact,",Where is the football? 
1,garden,"and the King, the first, the King, the King, the present the King, the",Where is the milk? 
2,bedroom,.swing.swing.swing.swing.swing.swing.swing.://://://://://://://://://://://://,Where is the apple? 
3,bedroom,I'my the first I'my the first time the first I'm that she I she the,Where is the apple? 
4,kitchen,"the
 the the the the first the first the the the the the
 It was the the same",Where is the apple? 
5,hallway,"The you
The question the woman the
the woman..swinging the man..swinging the",Where is the apple? 
6,kitchen,"I am I am I the fact the fact the
I am I the fact the name the same",Where is the milk? 
7,garden,"It is
 The marriage the
 The marriage the marriage.the
 is the marriage is the",Where is the milk? 
8,bedroom,I have the first. I am I am I was she was she was she is she is she,Where is the milk? 
9,bathroom,"The fact the
the American the American the first to be the first to be the question the second",Where is the milk? 
10,bathroom,"I the
But I the others..swinging him in the
 He was the
The man",Where is the football? 
11,bedroom,.swing..swing.swing://://://://://://://://://://://://://://://://,Where is the milk? 
12,bathroom,"the.swing
 the.swing the.swinging.swinging.swinging.swinging.swinging.swinging.swinging",Where is the apple? 
13,kitchen,"The first in the
that to the first the ""the the first
the
 The the",Where is the football? 
14,bedroom,"He was the other than the same the second time the
 He was the the man..swinging",Where is the apple? 
15,garden,"The

The
The
The



The
The
The
The",Where is the apple? 
16,bedroom,He was he is he was he was he was a man. He was he was a man he,Where is the football? 
17,bedroom,"the
the
the patient to the
the
the
 the
to the
 the",Where is the apple? 
18,garden,"I the man. trying the man the man the the man the man the
 the the man the",Where is the milk? 
19,garden,"I went the the to gether to the first the same the
I was to get to the",Where is the milk? 
20,office,"I am I have you are you
her to you to you
 She is she is she is",Where is the apple? 
21,bedroom,"the
 the one the
 Mr..swinging the
 The man the
 The",Where is the milk? 
22,garden,"I the the woman the girl..swinging the
the
I
 the
I'm I",Where is the milk? 
23,bathroom,"He was he was the same the girl, to the first the first time the first the girl,",Where is the milk? 
24,office,"The first the
 the
 the
 the
the the the
 the
 the the the",Where is the apple? 
25,garden,"The they were the they were the
They were the
They are the
 They were the first",Where is the football? 
26,garden,"The same the same the same the same the same the
 The
 the same the",Where is the football? 
27,bedroom,"The
 When he
 The
 A
   The the
 The
 The
 The",Where is the apple? 
28,hallway,"We were he had he had we went the the
the same..swinging the
 the",Where is the apple? 
29,hallway,"The stomach the patient the patient the stomach the the
 the stomach the
 versa the patient the",Where is the apple? 
30,hallway,the first the versa.://.swinging.swinging the.swinging.swinging.swinging.swinging.swing,Where is the apple? 
31,garden,"She was she was the
 She was she was she was the same the
 She was she was",Where is the football? 
32,hallway,"I have the fact the mother..swinging the mother to the
I am I the fact the",Where is the apple? 
33,kitchen,The first to the first to the first to the first the firsts the best to be the,Where is the football? 
34,hallway,the.swinging.swinging the the the the the the the versa the.swinging.swinging the the,Where is the milk? 
35,kitchen,"I the same the same the
 the
 the same the same the same the same the same the",Where is the apple? 
36,office,"I the
the
 the
the next morning, on the mattering the
You are the",Where is the milk? 
37,hallway,"Ã�yours the the the
I the the the the the
love the
I the",Where is the milk? 
38,bathroom,"the
The
The
The,'d
The, The the mountain'st
The",Where is the milk? 
39,bathroom,"The sword the sword the swordly, The swordly the sword the sword'st the
The",Where is the milk? 
40,bathroom,"I have I the first to me to her to be the
you to be the
 I the",Where is the football? 
41,hallway,We were the,Where is the football? 
42,garden,He was she said he was the first she was she was the same the first time the same the,Where is the apple? 
43,bedroom,"I was the
 She was in the woman
 She was she was she was she was it was",Where is the apple? 
44,kitchen,I'm a man. versa the first.the whole the first I the first the first of the,Where is the milk? 
45,bedroom,"The Britishly the British was the to the
 the to be the the",Where is the milk? 
46,hallway,We were the patient the patient the patient the patient the patient the patient. the patient the patient the,Where is the apple? 
47,garden,"the the the the
 It is
 The rocket, the the the the the the the the the",Where is the milk? 
48,kitchen,"He was he was he was he was the
 He was the moment, he was the moment the",Where is the football? 
49,bathroom,"The man in the
 Mr..swinging the
 Mr..swinging the
 The man in",Where is the football? 
50,garden,They were to the first to the first..swinging the same to her to her to her to,Where is the milk? 
51,bedroom,"He was the
the the
the the
 the
the
 the
them in the",Where is the apple? 
52,hallway,"The King'st the question the question the question the
the
the
The name the",Where is the milk? 
53,hallway,"The ""The ""Mr..swinging the first time the first the ""the first the the first",Where is the milk? 
54,office,"The ""The ""The ""A soldiered the ""the ""The soldiers..swinging the soldiers",Where is the milk? 
55,kitchen,"I have the
I have thet the she is she is the first to be the if the",Where is the apple? 
56,bathroom,"The man the man the the the the
the
the
the the first time to the",Where is the milk? 
57,bathroom,"We are the
the
We were in the
We in the the
 We are the",Where is the milk? 
58,office,The Pope the Pope the Pope the Pope the pope and what the Pope the Pope the Pope the pope,Where is the football? 
59,garden,"The
 The
 He was the
 The moment to the
the
 The
 The",Where is the football? 
60,kitchen,"The same the first the first..swinging the the fish?
The fish.
 the same time the",Where is the apple? 
61,bathroom,"I
the second..swinging the first..swinging the
you're yous I think",Where is the apple? 
62,garden,"I the
 the
 They were I was the
 to the
 the in the",Where is the football? 
63,bathroom,"I'mythe first to be the
I'my
I'mythe first thet",Where is the milk? 
64,bathroom,"I had the next to what I
 the
 to the
I was the the
I",Where is the milk? 
65,hallway,"The
 I
 is
is
the
is the
 1
 to the
 the",Where is the milk? 
66,bedroom,"The present the
 The firsts
 The
 The
 The instrument to the
 The first",Where is the football? 
67,garden,"The first time the first
 the first time to the first, The secondly the",Where is the football? 
68,bedroom,"The
the
 able the the
The same the that the the
the
the
the",Where is the football? 
69,bathroom,She was I She was I She was her I She was I she I was I had been she,Where is the apple? 
70,garden,"The same the same the same the
 The the the one
 the
 the same the same",Where is the milk? 
71,office,"It is the the
the ""to the ""pen the
the ""pen the
the same",Where is the milk? 
72,office,"I have been the same the same the fact the author the first the
the
to the same",Where is the football? 
73,hallway,I the first the fact the first the fact the fact the woman the woman in the woman to the,Where is the football? 
74,garden,"I'my the first in the same the
I'my",Where is the football? 
75,office,".swing
The
the
the
The
The
the gun
The
The
the",Where is the milk? 
76,kitchen,"I the
the
I his other wise, the
The first in the present, the",Where is the football? 
77,office,"The the the the first to the to the the time the first time and the first
The fact",Where is the milk? 
78,kitchen,"I
 To be the question to the question to be a to the
 to the
 Mr.",Where is the apple? 
79,kitchen,,Where is the football? 
80,office,"Mr. the
 John, and Mr. the
 John, and the
being the
 John",Where is the football? 
81,kitchen,"The
 is it is it is the
 the Popey the
they are the",Where is the apple? 
82,office,"The
She was she was she
 She was to be the the
 The one the the the",Where is the apple? 
83,bathroom,The on the same the same on the same on the same the same the same the same the the,Where is the football? 
84,bathroom,He was he was he had he had he had he had he had he had he had he had,Where is the football? 
85,office,I have I am I am I have you're you're you I the first. I am I,Where is the milk? 
86,bathroom,"The
The same
The house the
The house..swinging the the the
the",Where is the apple? 
87,bedroom,I was I am I the I the question the question the first I was I the man he was,Where is the milk? 
88,hallway,He had he had he had the man to the same was the man the man he had he had,Where is the apple? 
