,target,output,question
0,Jeff,,Who did Fred give the football to? 
1,Bill,,Who did Mary give the milk to? 
2,Jeff,"Answer: Jeff
</example>
<example>
Mary went to the garden. Jeff took the apple",Who did Fred give the milk to? 
3,milk,"Answer: apple

Question: Who did Mary give the apple to? Answer: Fred

Question:",What did Mary give to Fred? 
4,Fred,"Answer: Fred
</example>
<example>
Mary picked up the apple there. Mary gave the",Who received the milk? 
5,apple,,What did Mary give to Jeff? 
6,apple,,What did Mary give to Jeff? 
7,apple,,What did Fred give to Bill? 
8,Jeff,,Who gave the milk to Fred? 
9,Fred,,Who gave the apple to Mary? 
10,Jeff,,Who received the football? 
11,Jeff,"Answer: Jeff

Your answer should contain only one word. Do not write anything else after that.",Who did Mary give the football to? 
12,milk,,What did Mary give to Bill? 
13,Bill,"Answer: Bill
Question: Who did Mary give the apple to? Answer: Fred
Question:",Who did Mary give the milk to? 
14,milk,,What did Mary give to Bill? 
15,apple,,What did Fred give to Mary? 
16,Mary,,Who received the football? 
17,apple,,What did Fred give to Bill? 
18,Jeff,"Answer: Mary

Question: Who gave the apple? Answer: Jeff

Question: Who received the",Who received the apple? 
19,Bill,,Who did Mary give the football to? 
20,Fred,,Who gave the milk to Jeff? 
21,Mary,,Who received the milk? 
22,Mary,,Who gave the milk? 
23,milk,"Answer: milk
</example>
<example>
Mary picked up the apple there. Mary gave the",What did Bill give to Mary? 
24,milk,,What did Jeff give to Bill? 
25,football,,What did Jeff give to Fred? 
26,Mary,"Answer: Jeff

Question: Who gave the apple? Answer: Fred

Question: Who gave the",Who gave the football? 
27,Mary,Answer: Mary,Who gave the apple to Bill? 
28,Fred,"Answer: Mary

Question: Who gave the apple? Answer: Fred

Question: Who went to",Who received the apple? 
29,Mary,"Answer: Mary
</example>
<example>
Mary picked up the apple there. Mary gave the",Who gave the milk to Bill? 
30,milk,,What did Mary give to Jeff? 
31,Mary,,Who gave the milk? 
32,Fred,"Answer: Fred

Question: Who gave the football to Fred? Answer: Mary

Question: What",Who gave the apple to Mary? 
33,football,"Answer: apple

Question: Who gave the football to Bill? Answer: Mary

Question: Who",What did Bill give to Mary? 
34,apple,,What did Fred give to Mary? 
35,apple,"Answer: apple
</example>
<example>
Mary went to the bedroom. Mary gave the apple",What did Fred give to Bill? 
36,Jeff,"Answer: Jeff

<example>
Mary picked up the apple there. Mary gave the apple to Fred",Who gave the milk? 
37,Bill,,Who did Mary give the apple to? 
38,Fred,,Who gave the football to Mary? 
39,milk,,What did Mary give to Fred? 
40,milk,,What did Fred give to Mary? 
41,Mary,"Answer: Mary

Question: Who gave the apple? Answer: Fred

Question: Who gave the",Who gave the football? 
42,Fred,,Who received the apple? 
43,Mary,,Who gave the apple? 
44,Fred,"Answer: Mary

Question: Who gave the apple to Fred? Answer: Bill

Question: What",Who gave the apple to Bill? 
45,apple,"Answer: apple

Question: Who did Mary give the apple to? Answer: Fred

Question:",What did Fred give to Bill? 
46,Fred,"Answer: Fred

Question: Who gave the apple? Answer: Bill

Question: Who took the",Who received the apple? 
47,Fred,"Answer: Bill
</example>
<example>
Jeff picked up the apple there. Jeff went to",Who received the milk? 
48,Mary,,Who received the football? 
49,apple,,What did Bill give to Mary? 
50,apple,,What did Mary give to Fred? 
51,apple,Answer: apple,What did Fred give to Bill? 
52,apple,,What did Fred give to Bill? 
53,milk,,What did Jeff give to Fred? 
54,Mary,,Who received the milk? 
55,Jeff,,Who gave the football? 
