,target,output,question
0,kitchen,"""I thethe
.swingingthe baby on the
the woman to the
.swinging the",Where was the football before the garden? 
1,bathroom,"to the the the the the the the
 John to be to the the the the the the the",Where was the apple before the kitchen? 
2,kitchen,"I the girl. the girl. the whole the woman the woman was the girl. the
 Mary",Where was the apple before the garden? 
3,garden,He was the first time I was Mary. the same the she was Mary. I the she was,Where was the apple before the bedroom? 
4,kitchen,"I the man the man that is the man the man the man the man the man the
 John",Where was the football before the bathroom? 
5,office,"I the man thes the man..swinging the man to the
The moment the moment to",Where was the football before the hallway? 
6,garden,"I'm John..swinging that the same the
 versa the
 the
.swinging the",Where was the apple before the bathroom? 
7,office,"I am I am the
 versa the
.swinging the the the
 the the same the",Where was the milk before the bathroom? 
8,hallway,"I the
The fact the
 trying to say he had he was the
 the
the",Where was the apple before the bathroom? 
9,kitchen,"I'm it was
I
the
But I'my the
I the
It was",Where was the milk before the garden? 
10,kitchen,"The first to the
 The first the
 The same time the the the
 The Confederate the",Where was the milk before the bedroom? 
11,garden,"It is the the
 the
 the the
.swinging the
.swinging.swinging trying the",Where was the football before the hallway? 
12,hallway,"The woman
the
The river the
the the the
The the
 the the the the",Where was the milk before the kitchen? 
13,bedroom,"The
 The
 The
 The
 The
 The
 John
 The
 The
 the",Where was the apple before the bathroom? 
14,bedroom,"The King, and the same the
The
the
The first,.swinging the first,",Where was the apple before the bathroom? 
15,kitchen,"I the
I
 the
the first the first
I was the first.
the the the",Where was the milk before the office? 
16,bedroom,"I'ms
I
 John's
 I'my the same the
 John the
 I",Where was the milk before the kitchen? 
17,bathroom,"I the
the moment to the
 the
John. trying to be the
the he had",Where was the football before the kitchen? 
18,garden,"I'my
I'my
I'my
I'my
I'my",Where was the milk before the office? 
19,bathroom,They are the same to the same the same the same as they are in the same the same time,Where was the football before the bedroom? 
20,kitchen,"The the
 the
the
the
the to be it is the
 the
The church",Where was the milk before the office? 
21,kitchen,"""It was Mary,.swinging the
the same day..swinging the
the first and",Where was the apple before the garden? 
22,bedroom,"We are John
 trying to go to the
.swinging the
 the
the ""We are",Where was the milk before the office? 
23,hallway,the the.swinging.swinging.swinging.swinging the versa the.swinging able the.swinging the,Where was the apple before the bedroom? 
24,bedroom,"The same day to the the the the the the the
 The first time.://.swinging the",Where was the apple before the kitchen? 
