,target,output,question
0,kitchen,".
.swing.
.swing.
.swing.
.swing.
.swing.
.swing.
.swing.
.swing.
.swing.
.swing",Where was the football before the garden? 
1,bathroom,".. that.
.
 that. that.
.
.
.
 that.
 that.
 that that that.",Where was the apple before the kitchen? 
2,kitchen,"and and and and and and,,,. in. in, in the in that in the",Where was the apple before the garden? 
3,garden,""" The..swing, The..swing,:// versa, the..swing..ComponentPlacement..swing.",Where was the apple before the bedroom? 
4,kitchen,"..
.
.
.
.
.
.
.
 the..
.
.
 the..swing. versa.",Where was the football before the bathroom? 
5,office,....................,Where was the football before the hallway? 
6,garden,"and the.
 The
 the.
 The
 the.
 The.
 The
 and
 the.
 The",Where was the apple before the bathroom? 
7,office,". to the to.. the.....
.. the....
.",Where was the milk before the bathroom? 
8,hallway,".
.
.
.
.
.
.
.
,.
,.
.
,,.
,.
.
.",Where was the apple before the bathroom? 
9,kitchen,".
.
.
.
.
.
.
.
.
.
.
.
.

.
.
.
.
.",Where was the milk before the garden? 
10,kitchen,"... The. The,.swing...
..
.
.
.
.
.
.
.",Where was the milk before the bedroom? 
11,garden,.. The. The. The.. The... The. The.. The.,Where was the football before the hallway? 
12,hallway,".
 the..
.
.
.
.
..
 the and the and and.
.
..
.",Where was the milk before the kitchen? 
13,bedroom,. to.............. to. to.,Where was the apple before the bathroom? 
14,bedroom,".
..
..


.

.
.
..


.
.
.",Where was the apple before the bathroom? 
15,kitchen,"..swing..swing to...
.
.
.
.
.
.
..
..
.
 the",Where was the milk before the office? 
16,bedroom,".....,..............",Where was the milk before the kitchen? 
17,bathroom,".,. and and and........,,,.,.",Where was the football before the kitchen? 
18,garden,"..
..
..
..
.
.
..
..
..
.
.
.
.",Where was the milk before the office? 
19,bathroom,to to to...... to....... the. the,Where was the football before the bedroom? 
20,kitchen,". versa..
. versa..
..
..
..swing...
..
.",Where was the milk before the office? 
21,kitchen,"........
..
. The.. The.. The. The",Where was the apple before the garden? 
22,bedroom,".
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",Where was the milk before the office? 
23,hallway,".
.
The, the in the in the, the,.swing, the.
.
The, in",Where was the apple before the bedroom? 
24,bedroom,".........
..
.
.
.
.
.
.
.
.
.",Where was the apple before the kitchen? 
25,bathroom,".
.
..
.
.
.
.
.
.
. The.
.
.
.
..
. I",Where was the apple before the hallway? 
26,bathroom,".
.
.

.

.
.
.
.

.
The.
.

.
.
The.",Where was the milk before the office? 
27,office,of. I. I'm. I'm. I'm. I'm. I. I.,Where was the football before the bedroom? 
28,bedroom,",.
..
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",Where was the football before the hallway? 
29,kitchen,"......,...... the...
.
 the.",Where was the apple before the bedroom? 
30,hallway,".
.
.
.
 to..
..
...
. to.
.
.
.
.
.",Where was the football before the bathroom? 
31,kitchen,"..
.
.
.
.
.
.
..
.
.
.
.
.
.
.
..
.",Where was the milk before the garden? 
32,office,",. and,.. to the to the to the.,.swing,...,",Where was the milk before the garden? 
33,bedroom,"and. and,,., that, that, that.,,,,, to,",Where was the milk before the garden? 
34,hallway,".
.
.
 the.
.
 trying the..swing..swing..swing..swing..swing..swing",Where was the football before the bedroom? 
35,hallway,"...
.... in... The in. The. in the in.",Where was the apple before the bathroom? 
36,office,"in the. to to to. to..
 and..
. The..
.. The",Where was the milk before the bathroom? 
37,garden,". I. I...
.. I. I. I. I. I.,",Where was the football before the bedroom? 
38,office,".... The.. The. The. The.....
.
.
.",Where was the milk before the kitchen? 
39,garden,".
.
.
.
.
.
.
.
.
.
.
.
... and and and and and",Where was the milk before the bedroom? 
40,hallway,".
.
.
..
.
.
.
.
.
.
.
.
.
. the. and.
.",Where was the football before the bathroom? 
41,kitchen,".
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",Where was the apple before the bedroom? 
42,garden,"..
...
..
.
.
.
..
..
..
....",Where was the apple before the office? 
43,bedroom,"..
..
.
.
.
..
..
..
..
...swing..",Where was the apple before the garden? 
44,kitchen,"We.
The.
.
.
.
The..
.
.
the.
.
The.
The.
The",Where was the apple before the bedroom? 
45,garden,".swing.
.swing.://://://://://://://://://://://://://://://://",Where was the apple before the bathroom? 
46,office,".
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",Where was the football before the bedroom? 
47,office,"..
....
.
..
..
..
.
.
.
.
.
.
.",Where was the football before the garden? 
48,bathroom,"..
.swing.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",Where was the apple before the kitchen? 
