,target,output,question
0,Jeff,".....
........
.
..
..
..",Who did Fred give the football to? 
1,Bill,".
 trying. I. The. I. The. The. I. The. The. The",Who did Mary give the milk to? 
2,Jeff,"was. He..
. The. The. The. The. The. The. The.",Who did Fred give the milk to? 
3,milk,"the..
,..
..swing,..
..
.. versa,..
.",What did Mary give to Fred? 
4,Fred,".. The.,,......
.
.,...,.",Who received the milk? 
5,apple,....................,What did Mary give to Jeff? 
6,apple,. and..................,What did Mary give to Jeff? 
7,apple,..swing..swing..swing..swing..swing..swing..swing to the to..swing to,What did Fred give to Bill? 
8,Jeff,.. He.................,Who gave the milk to Fred? 
9,Fred,".....
..
.......,.,.swing.,",Who gave the apple to Mary? 
10,Jeff,"by the...,....
..
.
., and..
.
.",Who received the football? 
11,Jeff,"the one, the, the, the
the, the
the of the, I'm you",Who did Mary give the football to? 
12,milk,". The..
..
...
. The. The..
..
..
.",What did Mary give to Bill? 
13,Bill,".
..
..
. was..
..
. was. was. was...",Who did Mary give the milk to? 
14,milk,"................,...",What did Mary give to Bill? 
15,apple,"and to. to the, and to. and, to the to. and and. and.",What did Fred give to Mary? 
16,Mary,". The.
 the.
.
.
. The. The. The. The. The. The.",Who received the football? 
17,apple,. to..................,What did Fred give to Bill? 
18,Jeff,". The..
.swing. The.. the. versa. the. The. The. The",Who received the apple? 
19,Bill,"..swing, the.,. The. the. versa..
..
.,. the",Who did Mary give the football to? 
20,Fred,". He.,. I. I., and.,.swing.,. I.,",Who gave the milk to Jeff? 
21,Mary,"...
..
..
.
.
...........",Who received the milk? 
22,Mary,".
.
 trying the. versa...
.
.
.
.
.
.
.
..
.
.",Who gave the milk? 
23,milk,".
.
.
.
.
.
.
.
.
.
., and, the.
.
.
.
.",What did Bill give to Mary? 
24,milk,",.swing, that, that, that that.
..
..
.
.
..
.
.",What did Jeff give to Bill? 
25,football,". The.,..... The... I. "". The..",What did Jeff give to Fred? 
26,Mary,"..
...
...
..
. trying..
..
..
..swing",Who gave the football? 
27,Mary,".. I. The.. The. The. The. That...
...",Who gave the apple to Bill? 
28,Fred,".,,..............
.
..",Who received the apple? 
29,Mary,"The
It
The
It was the.swing.

The 
It",Who gave the milk to Bill? 
30,milk,".
.
.
 the.
 the.
 the.
.
.
.
.
.
 the.
 the.
.
.",What did Mary give to Jeff? 
31,Mary,"..swing.
.swing.
.swing. the. the..swing..swing..swing..swing of.",Who gave the milk? 
32,Fred,". The...
.
.
.
.
.
.
. I. The in the in the.",Who gave the apple to Mary? 
33,football,"..................,.",What did Bill give to Mary? 
34,apple,that. that..... that. that that that that that that. that..,What did Fred give to Mary? 
35,apple,",.
,.
..
..
..
..,.,....,",What did Fred give to Bill? 
36,Jeff,".
. The..
The. The. The..
..
The. The. The.",Who gave the milk? 
37,Bill,.......... The.........,Who did Mary give the apple to? 
38,Fred,... I. I. He......... I. I,Who gave the football to Mary? 
39,milk,....................,What did Mary give to Fred? 
40,milk,".
.
 the.
..
.
.
.
. the,,,,, and, the.",What did Fred give to Mary? 
41,Mary,"The was the.swing.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",Who gave the football? 
42,Fred,",..
..
.
..
..
..
..
....
.",Who received the apple? 
43,Mary,". versa....
.swing..swing.. The. The. The... the",Who gave the apple? 
44,Fred,"..
.
.
.
.
.
. the..
 trying..swing..swing..
. The",Who gave the apple to Bill? 
45,apple,".
. I.
..
.. I. The.
..
..
. I. and",What did Fred give to Bill? 
46,Fred,". The.
... The. The... The. The...
.",Who received the apple? 
47,Fred,....................,Who received the milk? 
48,Mary,"......... of the........,",Who received the football? 
49,apple,"...,.......,........",What did Bill give to Mary? 
50,apple,"the ""the ""the ""the ""the the ""the ""the ""the the ""the the",What did Mary give to Fred? 
51,apple,"I'm he...swing.
the. I'ms..swing.
the - the..",What did Fred give to Bill? 
52,apple,",. in..
.
.
..
..
..
....
..
,",What did Fred give to Bill? 
53,milk,"...
. trying.............,.",What did Jeff give to Fred? 
54,Mary,".://.ComponentPlacement.
.swing.
.swing.://.ComponentPlacement.://://.swing.
.swing.://.ComponentPlacement.",Who received the milk? 
55,Jeff,".
.
.
.
.
.
 the.
 the.
.
.
.
.
.
..
.
.
.",Who gave the football? 
56,Bill,".. The.. The......... The. The.,",Who gave the football to Fred? 
57,Mary,"..
. trying..swing. the..swing..swing...swing..
..
.",Who received the football? 
58,Mary,".
.
.
...swing..
..
..
..
..
.. the.",Who gave the football to Fred? 
59,Jeff,The. The. versa. trying the. The. The. The was the  the.,Who did Bill give the milk to? 
60,Fred,"......
.............
.",Who gave the football to Jeff? 
61,Jeff,"..
.
.
.
..
...
.
.
.
...
.
.
.
.",Who gave the apple to Fred? 
62,Bill,in the in the in the in the in..swing in..swing in the in..swing in,Who received the milk? 
63,Jeff,....................,Who did Bill give the apple to? 
64,milk,"and.
The.
.
.

.

. The.
 in the.
 The that that.
 The",What did Mary give to Fred? 
65,Jeff,".
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",Who received the apple? 
66,Jeff,".
The.

 as a.
The.
The.",Who gave the apple to Bill? 
67,apple,....................,What did Mary give to Fred? 
68,Bill,"............
..
..
...
.",Who did Fred give the apple to? 
69,Jeff,". The. The..... The...
.
 the.....",Who gave the apple? 
70,Bill,". the...
..
....
..swing..
..
..
.",Who gave the milk to Fred? 
71,Bill,". the..swing..
 the..swing...swing. the..
.swing. trying.",Who did Jeff give the football to? 
72,Fred,".
.swing in the in.
.
.
.
.
.
 versa.
.
 versa.
.swing.
.
.swing",Who gave the milk? 
73,apple,"...
......
..
..
..
..
..
.",What did Mary give to Bill? 
74,Jeff,".
.
.
.
 and.
. and..
..
..
......",Who received the milk? 
75,Bill,"...
..
.
..
.
.
..
.....
. are.",Who did Fred give the milk to? 
76,Bill,"..
 the, versa. The...
.
.
.
.
. The..
.
.",Who gave the apple? 
77,Jeff,"The is the  of the  the. The
 the
 the
 The. The",Who gave the apple? 
78,Fred,"..,. The. The.. "". I. The..,.,.",Who received the football? 
79,football,....................,What did Mary give to Fred? 
80,Mary,,Who did Jeff give the apple to? 
81,football,The..swing..swing..swing..swing. trying..swing..swing..swing..swing.,What did Jeff give to Mary? 
82,Mary,". The. The.. The.
. The.
. The. The. The. The.",Who received the milk? 
83,milk,......... to.. to... to. to.,What did Mary give to Fred? 
84,Mary,. I. I. I. I. I...... I...,Who gave the milk? 
85,Bill,"..
.
. The. The. The. "". The... The. The.",Who gave the milk to Mary? 
