,target,output,question
0,bathroom,"I'my the first time
 I'mythe
 He was he was he was a he",Where is Mary? 
1,kitchen,"I he was I’m
I am I’m they were you were the
 He was he was",Where is Sandra? 
2,kitchen,"to the
The
The
The
his
The
The same to the
The",Where is Mary? 
3,kitchen,"It is the same the same the first the same the
 It is the first one the most of",Where is John? 
4,bedroom,"The the the
the
 the
But they are they are the
 The the the the",Where is Sandra? 
5,office,"He was the mother the
He was the first the
It was to the the
the Alan",Where is John? 
6,garden,"It is the first the first the first time the
 The first the first and Alan what the first",Where is Mary? 
7,bathroom,Gordon. He was he was he was the fact the question the man his the matter the question the,Where is Sandra? 
8,kitchen,"I the father and he to be the father and the
When I
I am I to you",Where is Mary? 
9,bedroom,"The first
 The first
 the first.
.swinging the
 The first
The first.
.swing",Where is John? 
10,office,"He was he was he was he was to which you're he was Imit the
 versa his",Where is Daniel? 
11,office,the the most of which he has been the fact that he had been the same to the fact the,Where is Daniel? 
12,bathroom,"The
The
The name, the
The
 the same the
The
the",Where is Mary? 
13,bathroom,"I have the
 the fate the matter the same to be the girl, and the
 I",Where is Sandra? 
14,bathroom,"The boy, the first the
 the
The first to the first to the
 the
He",Where is Sandra? 
15,hallway,I have been the man. the man. the man. I He was to what I the,Where is Mary? 
16,kitchen,I was,Where is Sandra? 
17,office,"I the first the the the the
to the
The the
The the the the",Where is Daniel? 
18,kitchen,the.swing the.swinging.swing the.swing the.swing the.swing the.swing the.swing the.swing the.swing,Where is Sandra? 
19,bedroom,"I'my.swinging the
But I'my.swinging the
the
But I'm",Where is John? 
20,hallway,I the,Where is Sandra? 
21,bedroom,"The boy'st the
 the
.swinging.swinging versa the
 the
the boy.",Where is Mary? 
22,bedroom,"The whole the
.swinging the
.swinging the
.swinging the
.swinging the",Where is John? 
23,bedroom,"I'my
It is it is it is it is it was I
I
I",Where is Mary? 
24,bedroom,"The same the
 on the most of the same the
the same the same the",Where is Mary? 
25,garden,The water the the the the the the the the the the the the the the the the the the,Where is Mary? 
26,bedroom,"I the
 the
 The ""to the
 on the first and the
you,",Where is Daniel? 
27,office,"He is the

the first time the the

the question, I'my.swinging the the",Where is Sandra? 
28,office,"He’s
The little him,the
I
But the'd he’s
But he’s",Where is Sandra? 
29,garden,"I the
 the
 been the first, the
..swinging the to be the
 been",Where is Sandra? 
30,garden,"The the
I am I
 the and the
 to the
 the",Where is Daniel? 
31,bathroom,"The first.
 It is it is the first, the first to have been the first to the first",Where is Mary? 
32,office,"He was the the the the the the.
 the
The same the
 the
the most of",Where is Mary? 
33,kitchen,"The
The author of which is
also the
The same of which is the the the",Where is Sandra? 
34,garden,"to the
 the to the to the
the patient to the
 the
 the
the patient",Where is Sandra? 
35,kitchen,"to the
 to the same time the
 The question the
that the
 to the",Where is Sandra? 
36,kitchen,I it was I am I the first the first the first. I the first the first. the,Where is Sandra? 
37,garden,I'my you're you're you're you'rent the man to be I'my I,Where is John? 
38,garden,"He was to be the first..swinging..swinging the first..swinging the
The",Where is Sandra? 
39,bathroom,"I the
 She
 I had
 I'my I'm the
He's he
you",Where is Sandra? 
40,bedroom,"to the
and the
the same time, and the next to the
the same time to",Where is Mary? 
41,kitchen,"The stomachs.swinging them, and the stomachs..swinging the same the same the same",Where is Sandra? 
42,office,He was the first the first to hims he was his father to her to be the same her,Where is Mary? 
43,bedroom,"I'my
 She's she's the first of all the first one
 She's the",Where is Mary? 
44,office,"The man..swinging the the the the the
 the man,the the to",Where is Daniel? 
45,office,"I
  (the the.swing the.swing the.swing the.swinging.swinging.swing the.swing.",Where is Sandra? 
46,bathroom,"I'my
 and the
 The first. The
 to the first time",Where is Sandra? 
