"target","output","question"
"Bill","What did the milk do? What did the milk do? What did the milk do? What did","Who did Mary give the milk to? "
"apple","What are the least Every Every Every Every Every Every Every Every Every Every Every Every Every Every Every Every","What did Mary give to Jeff? "
"Fred","Who was the apple to--""  ""Are you? Are you? Are you? Are you?","Who gave the apple to Mary? "
"Bill","Who did Mary give the milk to? Who did Mary give the milk to? Who did Mary give","Who did Mary give the milk to? "
"apple","What did Bill give to Fred? What did they do? What did they do? What did they","What did Fred give to Bill? "
"Mary","What was the milk? What was the milk? What was the milk? What was the milk?","Who received the milk? "
"football","What did Davila Carrington give to Croyden? What did Croyden give to Dav","What did Jeff give to Fred? "
"Mary","Answer: are they they they they they they they they they they they they they they they they they","Who gave the milk to Bill? "
"football","What did Mary give to Bill? What did they do? What did they do? What did they","What did Bill give to Mary? "
"Bill","Barney, Frank, Muriel, Barney, Frank, Muriel, Barney, Frank,","Who did Mary give the apple to? "
"Mary","Who football? Who football? Who football? Who football? Who football? Who football? Who football","Who gave the football? "
"apple","What did Bill give to Fred? What did they they they they they they they they they they they","What did Fred give to Bill? "
"apple","What did Mary do? What did Bill do? What did the apple do? What did the apple","What did Bill give to Mary? "
"milk","What did they do? What did they do? What did they do? What did they do?","What did Jeff give to Fred? "
"Mary","Who received the football? Who received the football? Who received the football? Who received the football?","Who received the football? "
"Jeff","Who was the apple was the apple was the apple was the apple was the apple was the apple was","Who gave the apple to Fred? "
"Jeff","Are you? Are you? Are you? Are you? Are you? Are you? Are you","Who received the apple? "
"Jeff","Are you? Are you? Are you? Are you? Are you? Are you? Are you","Who gave the apple? "
"apple","What did Bill give to Mary? What did the least of the least of the least of the","What did Mary give to Bill? "
"Jeff","Who gave the apple? Who gave the apple? Who gave the apple? Who gave the apple?","Who gave the apple? "
"football","What did Mary give to Heywood? What did Heywood give to Rudolph? What did Rud","What did Jeff give to Mary? "
"Bill","Who gave the milk to Mary? Who gave the milk to Mary? Who gave the milk to Mary","Who gave the milk to Mary? "
"Fred","""I'm not not not not not not not not not not not not not not not not not","Who did Bill give the milk to? "
"Bill","What was the apple? What was the apple? What was the apple? What was the apple?","Who did Jeff give the apple to? "
"Fred","Who milked the milk? Who milked the milk? Who milked the milk? Who milk","Who gave the milk? "
