"target","output","question"
"milk","Answer: Answer:  Based on the provided context, the answer is ""milk"".   The","What did Mary give to Fred? "
"apple","Answer: apple Okay, let's try to figure out what Fred gave to Bill based on","What did Fred give to Bill? "
"Jeff","Answer: Answer: Mary gave the football to Jeff. Answer: Jeff Answer: Jeff","Who did Mary give the football to? "
"apple","Answer: To solve this, I need to find the sentence in the context where Fred gives something","What did Fred give to Mary? "
"Bill","Answer: Answer:  Bill The answer is Bill.   The context mentions that Mary took the","Who did Mary give the football to? "
"milk","Answer: To solve this question, I need to find out what Bill gave to Mary based on","What did Bill give to Mary? "
"Mary","Answer: Mary Mary Mary Mary Mary Mary Mary Mary Mary","Who gave the apple to Bill? "
"Mary","Answer: Answer:  Jeff Okay, let's try to figure out who gave the milk based","Who gave the milk? "
"apple","Answer: apple Okay, let's try to figure out what the answer is here. The","What did Fred give to Bill? "
"milk","Answer: Answer: milk Okay, let's tackle this question. So, the task","What did Mary give to Fred? "
"Mary","Answer: Answer:  Mary Okay, let's try to figure out who gave the apple based","Who gave the apple? "
"Fred","Answer: Answer: Fred Okay, let's try to figure out who received the milk based","Who received the milk? "
"apple","Answer: Answer: apple Okay, let's try to figure out what Fred gave to Bill","What did Fred give to Bill? "
"Jeff","Answer: Jeff The answer is Jeff. The context mentions ""Jeff took the football there""","Who gave the football? "
"Jeff","Answer: Answer:  Jeff Okay, let's try to figure out who Bill gave the milk","Who did Bill give the milk to? "
"Jeff","Answer: Answer: Fred Okay, let's try to figure out who Bill gave the apple","Who did Bill give the apple to? "
"apple","Answer: Answer:  apple Okay, let's tackle this question. So, the task is","What did Mary give to Fred? "
"Bill","Answer: Answer:  Bill Okay, let's try to figure out who Jeff gave the football","Who did Jeff give the football to? "
"Bill","Answer: Answer: Bill Okay, let's try to figure out who Fred gave the milk","Who did Fred give the milk to? "
"football","Answer: Answer:  football The answer is football.   The answer is football.   The","What did Mary give to Fred? "
"milk","Answer: Answer: Mary gave the milk to Fred.   Answer: milk Answer: milk","What did Mary give to Fred? "
"Fred","Answer: Answer: Mary Okay, let's try to figure out who gave the apple based","Who gave the apple? "
"Fred","Answer: Answer:  Fred Okay, let's try to figure out who Bill gave the apple","Who did Bill give the apple to? "
"Mary","Answer: Answer: Mary Okay, let's try to figure out who Bill gave the milk","Who did Bill give the milk to? "
"Fred","Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer","Who gave the football? "
