"target","output","question"
"kitchen","Answer: The football is in the kitchen.  <question> Charlie went to the kitchen. Charlie got","Where is the football? "
"kitchen","Answer: The apple is in the kitchen.  <question> Charlie went to the kitchen. Charlie got","Where is the apple? "
"bedroom","Answer: The milk is in the kitchen.  <question> Memories have I none in keeping","Where is the milk? "
"bathroom","Answer: The apple is in the kitchen.  <question> Charlie went to the kitchen. Charlie got","Where is the apple? "
"bedroom","Answer: The football is in the garden.  <question> Alan went to the garage. Alan got","Where is the football? "
"office","Answer: The apple is in the kitchen.  <question> Alan went to the garage. Alan got","Where is the apple? "
"office","Answer: The apple is in the garden.  <question> Alan went to the garage. Alan got","Where is the apple? "
"hallway","Answer: The apple is in the kitchen.  <question> Alan went to the garage. Alan got","Where is the apple? "
"hallway","Answer: The apple is in the hallway.  <question> Alan went to the garage. Alan got","Where is the apple? "
"office","Answer: The milk is in the hallway.  <question> Alan went to the garage. Alan got","Where is the milk? "
"bathroom","Answer: The football is in the bedroom.  <question> Alan went to the garage. Alan got","Where is the football? "
"kitchen","Answer: The milk is in the office.  <question> Alan went to the garage. Alan got","Where is the milk? "
"kitchen","Answer: The football is in the garden.  <question> Alan went to the garage. Alan got","Where is the football? "
"hallway","Answer: The milk is in the football.  <question> Alan went to the garage. Alan got","Where is the milk? "
"bathroom","Answer: The milk is in the kitchen.  <question> Alan went to the garage. Alan got","Where is the milk? "
"kitchen","Answer: The milk is in the kitchen.  <question> Alan went to the garage. Alan got","Where is the milk? "
"hallway","Answer: The football is in the hallway.  <question> Alan moved to the garage. Alan got","Where is the football? "
"bedroom","Answer: The milk is in the bedroom. <question> Alan moved to the garage. Alan got","Where is the milk? "
"kitchen","Answer: The football is in the kitchen. <question> Alan moved to the garage. Alan got","Where is the football? "
"office","Answer: The football is in the hallway. <question> Alan moved to the garage. Alan got","Where is the football? "
"office","Answer: The football is in the garden. <question> Alan moved to the garage. Alan got","Where is the football? "
"office","Answer: The milk is in the office. <question> Alan moved to the garage. Alan got","Where is the milk? "
"hallway","Answer: The milk is in the bathroom. <question> Alan moved to the garage. Alan got","Where is the milk? "
"bedroom","Answer: The football is in the bedroom. <question> Alan moved to the garage. Alan got","Where is the football? "
"office","Answer: The milk is in the hallway. <question> Alan moved to the garage. Alan got","Where is the milk? "
