"target","output","question"
"bedroom","Answer: The apple is in the apple tree.   The answer is in the apple tree.","Where is the apple? "
"kitchen","(Context: Context: Context: Context: Context: Context: Context: Context: Context: Context","Where is the milk? "
"bathroom","Answer: The football is in the field.   The football is in the field.   The","Where is the football? "
"bedroom","(Context: Context: Context: Context: Context: Context: Context: Context: Context: Context","Where is the apple? "
"garden","(Where is the milk?)  The context is the same as the previous question. The context is the","Where is the milk? "
"garden","Question: Where is the milk?   Question: Where is the milk?   Question: Where","Where is the milk? "
"garden","(Context: The football is the football. The football is the football. The football is the football","Where is the football? "
"hallway","(Note: The apple is the apple. The apple is the apple.)  Question: Where is the","Where is the apple? "
"hallway","(In the context of the context)  Answer: The milk is in the context of the context.","Where is the milk? "
"bathroom","Answer: The milk is in the house.   But the answer is wrong. The answer should","Where is the milk? "
"garden","Answer: The apple is in the kitchen.   Answer: The apple is in the fridge.","Where is the apple? "
"hallway","Options:  -  -  -  -  -  -  -  -","Where is the apple? "
"garden","Answer: The milk is in the refrigerator.  Okay, so the user is asking, ""Where","Where is the milk? "
"office","(In the context of the previous sentences, the word ""milk"" is used as a metaphor","Where is the milk? "
"office","(In the context of the context)  Answer: The football is in the context of the context.","Where is the football? "
"garden","(Where is the football?)  Answer: Where is the football? (Where is the football?)  Answer","Where is the football? "
"bedroom","(In the context of the previous discussion)  Answer: The football is in the context of the previous","Where is the football? "
"garden","Answer: The milk is on the table.   The answer is derived from the context provided,","Where is the milk? "
"garden","Choices:  A) In the chair B) On the floor C) On the","Where is the football? "
"kitchen","(In the context of the question, the apple is mentioned in the context of the question, the","Where is the apple? "
"office","(The apple is the apple of the apple of the apple of the apple of the apple of the","Where is the apple? "
"bathroom","Answer:  Where is the apple?   Answer:  Where is the apple?   Answer","Where is the apple? "
"bedroom","(Note: The apple is a fruit that is commonly found in a tree, and it is also","Where is the apple? "
"bedroom","Choices:  A) In the bathroom  B) In the kitchen  C) In the","Where is the apple? "
"bedroom","(Where is the milk?)  Answer: (The milk is in the bedroom. The milk is in","Where is the milk? "
