"target","output","question"
"garden","Answer: In the moon. Question: Where is the moon? Answer: In the milk.","Where is the milk? "
"hallway","Answer: In the heart of Africa.  Question: What is the heart of Africa? Answer: A","Where is the apple? "
"bathroom","Answer: In the cow. Question: Where is the cow? Answer: In the field.","Where is the milk? "
"kitchen","Answer: In the hands of the Mahdi. Question: Where is the Mahdi? Answer","Where is the football? "
"bedroom","Answer: In the hands of Daniel.  Question: What is the name of the man who wrote the","Where is the apple? "
"bedroom","Answer: In the bottle. Question: Where is the bottle? Answer: In the icebox.","Where is the milk? "
"garden","Answer: In the attic. Question: What is the attic? Answer: The attic is the","Where is the football? "
"hallway","Answer: In the barrel.  Question: Where is the barrel? Answer: In the orchard.","Where is the apple? "
"kitchen","Answer: In the hallway.  Question: What is the smell of burnt gunpowder? Answer:","Where is the football? "
"hallway","Answer: In the cow. Question: Where is the cow? Answer: In the field.","Where is the milk? "
"hallway","Answer: In the middle of the field. Question: Where is the middle of the field?","Where is the football? "
"bedroom","Answer: In the kitchen. Question: Where is the kitchen? Answer: In the house.","Where is the milk? "
"bathroom","Answer: In the </context>  Question: What is the name of the little girl? Answer","Where is the football? "
"hallway","Answer: In the cave.  Question: What is the name of the cave? Answer: The cave","Where is the milk? "
"bathroom","Answer: In the _Ann_.  Question: Where is the _Ann_? Answer: In","Where is the milk? "
"bathroom","Answer: In the tree. Question: Where is the tree? Answer: In the garden. Question","Where is the apple? "
"hallway","Answer: In the bottle. Question: Where is the bottle? Answer: On the table","Where is the milk? "
"bathroom","Answer: In the tree. Question: Where is the tree? Answer: In the orchard.","Where is the apple? "
"hallway","Answer: In the middle of the field.  Question: Where is the goal? Answer: At the","Where is the football? "
"office","Answer: In the date. Question: Where is the butter? Answer: In the date.","Where is the milk? "
"kitchen","Answer: In the tree. Question: Where is the tree? Answer: In the garden.","Where is the apple? "
"office","Answer: In the pail. Question: Where is the pail? Answer: On the","Where is the milk? "
"bedroom","Answer: In the pail. Question: Where is the milk? Answer: In the","Where is the milk? "
"bedroom","Answer: In the hands of the players. Question: Where is the ball? Answer: In the","Where is the football? "
"office","Answer: In the office. Question: Where is the office? Answer: In the street.","Where is the milk? "
