"target","output","question"
"apple","Mary journeyed to the hallway. Mary journeyed to the hallway. Mary journeyed to the hallway","What did Fred give to Bill? "
"apple","apple football football apple football apple football football apple football football apple football football apple football football apple football football","What did Fred give to Mary? "
"milk","Answer: milk. Mary discarded the milk. Mary discarded the milk. Mary discarded the milk. Mary","What did Bill give to Mary? "
"Mary","Mary journeyed to the  castle, and was  received with the most affectionate hospitality by the","Who gave the milk? "
"milk","Mary gave milk to Mary. Mary gave milk to Mary. Mary gave milk to Mary. Mary gave","What did Mary give to Fred? "
"Fred","Mary, Jeff, Bill, Fred. Mary received the milk. Mary received the milk. Mary received","Who received the milk? "
"Jeff","Jeff. Bill. Mary. Mary. Jeff. Mary. Mary. Mary. Mary. Mary.","Who gave the football? "
"Jeff","Mary, Jeff, Bill, Mary, Mary, Mary, Mary, Mary, Mary, Mary,","Who did Bill give the apple to? "
"Bill","Bill. Jeff. Mary. Bill and Mary. Mary and Jeff.  Question: Mary went to the","Who did Jeff give the football to? "
"football","football football football football football football football football football football football football football football football football football football football football","What did Mary give to Fred? "
"Fred","Mary picked the apple. Mary gave the apple to Mary. Mary gave the apple to Mary. Mary","Who gave the apple? "
"Mary","Mary. Mary. Mary. Mary. Mary. Mary. Mary. Mary. Mary. Mary.","Who did Bill give the milk to? "
