"target","output","question","orig_chunk","full_chunk"
"milk","Answer: the milk. Question: What did Macloud say about the two who passed them? Answer","What did Mary give to Fred? ","{29}","{27}"
"apple","Answer: An apple.

Question: What did Fred give to Bill? Answer: An apple.

Question","What did Fred give to Bill? ","{27}","{27}"
"Jeff","Mary gave the football to Jeff.

Question: Who did Jeff give the football to? Jeff discarded the","Who did Mary give the football to? ","{23}","{19, 21}"
"apple","Answer: the apple. Mary travelled to the hallway. 136;
      his boys' letters,","What did Fred give to Mary? ","{25}","{25}"
"Bill","Answer: Bill. Question: What did Angeline do when Asaph was threatened with a severe fever","Who did Mary give the football to? ","{22}","{20}"
"milk","A. the milk B. the milk and the milk and the milk and the milk and the milk","What did Bill give to Mary? ","{26}","{23}"
"Mary","Answer: Mary. Question: Who handed the apple to Bill? Answer: Mary. Question: Who","Who gave the apple to Bill? ","{17}","{17, 15}"
"Mary","Answer: Jeff.

Question: Who took the milk there? Answer: Jeff.

Question: Who took","Who gave the milk? ","{27}","{27}"
"apple","A. The apple. B. The apple to Bill. C. The apple to Bill. D","What did Fred give to Bill? ","{15}","{10}"
"milk","What did Owen do to accomplish the same object?

Question: What did Owen do to accomplish the same","What did Mary give to Fred? ","{29}","{29}"
"Mary","What was the result?

Question: What was the result?

Question: What was the result?

Question","Who gave the apple? ","{27}","{25}"
"Fred","Fred. Jeff handed the milk to Fred. Fred handed the milk to Jeff. Fred handed the milk","Who received the milk? ","{25, 26}","{24, 26}"
"apple","Answer: the apple.

Question: What did Eli say she wished? Answer: it were summer.","What did Fred give to Bill? ","{27}","{27}"
"Jeff","Answer: Jeff. Why is a man who wears a wig like a poem of Tennyson's","Who gave the football? ","{26}","{22}"
"Jeff","""I have been thinking,"" I said, ""and I have come to the conclusion
that you","Who did Bill give the milk to? ","{30}","{30}"
"Jeff","""I mean that, instead of leaving the country, Mr. Clavering has
not left","Who did Bill give the apple to? ","{28}","{28}"
"apple","[Footnote 184: _The
Australian bush all your days. Poor, dear Dolly","What did Mary give to Fred? ","{29}","{29}"
"Bill","Answer: Bill. Jeff gave the football to Bill. 'Tis enough to have laid one of","Who did Jeff give the football to? ","{26}","{26}"
"Bill","Answer: Bill. Question: What did Fred give to Bill? Answer: The milk. Question:","Who did Fred give the milk to? ","{28}","{27}"
"football","What was the figure of a bird, decked with party-feathers, so as to resemble a","What did Mary give to Fred? ","{27}","{22}"
"milk","What did she do with the milk?

Answer: Mary gave the milk to Fred. She passed the","What did Mary give to Fred? ","{29}","{29, 23}"
"Fred","Answer: Mary O'Shaughnessy gave the apple. Question: Who gave the apple to","Who gave the apple? ","{23}","{23}"
"Fred","Fred. Fred. Fred. Fred. Fred. Fred. Fred. Fred. Fred. Fred.","Who did Bill give the apple to? ","{28}","{28}"
"Mary","_Publius_ _Publius_ _Publius_ _Publius_ _Publius_","Who did Bill give the milk to? ","{23}","{21}"
"Fred","Answer: Fred handed the football to Bill. The young fellow’s heart has gone out with one of","Who gave the football? ","{23}","{23}"
