"target","output","question","orig_chunk","full_chunk"
"Jeff","Mary went back to the hallway. She had become larger, and more powerful, somehow, than the","Who did Fred give the milk to? ","{25}","{25}"
"apple","What did she give to Arne? What did she give to the girl? What did she give","What did Mary give to Jeff? ","{27}","{26}"
"Jeff","Answer: Jeff. he! Mary gave the football to Jeff. he!

Question: Who is the","Who received the football? ","{19}","{19}"
"milk","A. the milk B. the butter C. the cream D. the cheese

Question: What","What did Mary give to Bill? ","{29}","{29}"
"Jeff","Answer: Sidney

Question: What was the name of the village eight miles from Redfield? Answer","Who received the apple? ","{27}","{23}"
"Mary","Mary handed the milk to Fred. Mary handed the milk to Fred. Mary handed the milk to Fred","Who gave the milk? ","{28}","{28, 23}"
"Mary","Answer: Ruby red.

Question: Who gave the football to Jack Kirke? Answer: Ruby red","Who gave the football? ","{27}","{16}"
"milk","A. a pot of beer B. a pot of milk C. a pot of tea D.","What did Mary give to Jeff? ","{23}","{23}"
"apple","A. The apple. B. The apple and the milk. C. The apple and the milk","What did Fred give to Mary? ","{24}","{24}"
"Fred","""Fred."" ""Mary."" ""The major."" ""The colonel."" Answer: ""Fred.""","Who gave the football to Mary? ","{28, 30}","{30}"
"Fred","Fred or Jeff?

Question: What is the name of the periodical mentioned in the text?

Question","Who received the apple? ","{25}","{11}"
"Fred","Mary. Mary went to the bathroom. _Hul_ is the
tempest, the whirl","Who received the apple? ","{29}","{29}"
"apple","""I'll go with you,"" said Mathilde. and, with their arms round each other's","What did Mary give to Fred? ","{26}","{26}"
"Mary","Jerry, Jerry, Jerry, Jerry, Jerry, Jerry, Jerry, Jerry, Jerry, Jerry,","Who received the milk? ","{29}","{29}"
"Mary","Mary gave the football to Fred. Mary gave the football to Fred. Mary gave the football to Fred","Who gave the football to Fred? ","{26}","{26}"
"Bill","Bill. They were planning that Henry Sydney should be appointed Lord of Misrule, or ordained Abbot","Who received the milk? ","{29, 5}","{29}"
"Jeff","The answer is Fez. The
answer is Fez. The answer is Fez. The","Who gave the apple to Bill? ","{30}","{30}"
"Bill","Answer: Bill.

Question: Who was the voice of a female in great terror and distress? Answer","Who gave the milk to Fred? ","{30}","{20}"
"Jeff","Bill gave the milk to Jeff.

Question: Who was the housekeeper? The housekeeper was the","Who received the milk? ","{22}","{15}"
"Fred","Mary gave the football to Fred.

Question: What was the name of the lawyer? Horace.","Who received the football? ","{27}","{27}"
"Mary","Answer: Georgiana.

Question: Who was the man who pulled the horse's nose-bag over","Who received the milk? ","{26}","{20}"
"Mary","Mary. Why is the palace of the Louvre the cheapest ever erected? Because it was built for","Who received the football? ","{12}","{12}"
"Jeff","1. Alfred","Who gave the apple? ","{25}","{25}"
"milk","Question: What was the name of the Carthaginian captive?




Question: What was","What did Mary give to Bill? ","{26}","{26}"
"Bill","Bill. Mary passed the milk to Bill. The companions of Abd-el-Kader in a storm,","Who received the milk? ","{27}","{27}"
