"target","output","question"
"kitchen",",,,,,,,,,,,,,,,,,,,,","Where is Mary? "
"garden",", and,,,,,,,,,,,,,,,,,,","Where is Mary? "
"office",",,,,,,,,,,,,,,,,,,,,","Where is Daniel? "
"bathroom",", and,,,,,,,,,,,,,,,,,,","Where is Sandra? "
"kitchen",", sir,, sir, and, sir, sir, sir, sir, sir, sir,","Where is Sandra? "
"bedroom",",,,,,,,,,,,,,,,,,,,,","Where is John? "
"bedroom",",,,,,,,,,,,,,,,,,,,,","Where is Daniel? "
"garden",",,,,,,,,,,,,,,,,,,,,","Where is Daniel? "
"garden",",.,,,,,,,,,,,,,,,,,,","Where is Sandra? "
"garden",",  1,  1,  and,,,,,,,,,","Where is Sandra? "
"office","What, and, and, and, and, and, and, and, and, and,","Where is Mary? "
"bathroom",",,,,,,,,,,,,,,,,,,,,","Where is Sandra? "
"hallway","What, and how, is it possible, to, and,,,,,,,,","Where is Daniel? "
"kitchen",",,,,,,,,,,,,,,,,,,,,","Where is Daniel? "
"bedroom",",,,,,,,,,,,,,,,,,,,,","Where is Mary? "
"bedroom","ye, ye, ye, ye, ye, ye, ye, ye, ye, ye,","Where is Daniel? "
"office",", _Ku_, _the name of the, _Ku_, _the name of the","Where is Daniel? "
"office",",,,,,,,,,,,,,,,,,,,,","Where is John? "
"bathroom",",,,,,,,,,,,,,,,,,,,,","Where is Sandra? "
"office",".,,,,,,,,,,,,,,,,,,,","Where is Sandra? "
"hallway",",,,,,,,,,,,,,,,,,,,,","Where is Daniel? "
"garden","What's the matter with him? What's the matter with him? What's the use of","Where is John? "
"office",", and,,,,,,,,,,,,,,,,,,","Where is John? "
"bedroom",",.,,,,,,,,,,,,,,,,,,","Where is Daniel? "
"office",", and, and, and, and, and, and, and, and, and, and","Where is John? "
