"target","output","question"
"kitchen","Answer: In the kitchen, making a cake. Question: What is Sandra making? Answer: A","Where is Sandra? "
"office","Answer: He is in the woods, looking for Ben.  Question: Where is Ben? Answer:","Where is John? "
"bedroom","Answer: In the bedroom. Question: Where is John? Answer: In the bedroom. Question:","Where is John? "
"bathroom","Answer: She is in the Temple, waiting for the execution of Garat. Question: What","Where is Sandra? "
"office","Answer: He is in the barn, milking. Question: Where is Patience? Answer:","Where is Daniel? "
"bedroom","Answer: She is in bed with Johnnie.  Question: Where is Johnnie? Answer: He","Where is Mary? "
"garden","Answer: She is in the kitchen, washing the dishes. Question: Where is John?","Where is Mary? "
"garden","Answer: She is in the machine. Question: Where is Sandra? Answer: She is in","Where is Sandra? "
"kitchen","Answer: She is in the kitchen. Question: What is she doing? Answer: She is","Where is Sandra? "
"garden","Answer: In the kitchen. Question: Where is Allan? Answer: In the kitchen. Question:","Where is John? "
"kitchen","Answer: Sandra is in the pantry. Question: What is she doing there? Answer: She is","Where is Sandra? "
"office","Answer: Exiled. Sandra, the daughter of the painter, has been exiled from the","Where is Sandra? "
"bedroom","Answer: She is in the kitchen, sir, making the tea. Uncle Jim--Making the","Where is Sandra? "
"garden","Answer: In the garden. Question: Where is Sandra? Answer: In the kitchen. Question:","Where is John? "
"hallway","Answer: In the garden, with the body of the late Mrs. Sturgeon. Question:","Where is John? "
"kitchen","Answer: She is in the kitchen. Question: Where is John? Answer: He is in","Where is Sandra? "
"garden","Answer: In the garden.  Question: What is Sandra doing? Answer: Nothing.  Question: What","Where is Sandra? "
"bathroom","Answer: In the bathroom. Question: Where is Daniel? Answer: In the office. Question:","Where is Sandra? "
"office","Answer: In the kitchen, eating a piece of pie. Question: Where is the pie?","Where is Daniel? "
"office","Answer: In the churchyard. Question: Where is John? Answer: In the churchyard","Where is John? "
"hallway","Answer: In the garden. Question: Where is Daniel? Answer: In the garden. Question","Where is Daniel? "
"bathroom","Answer: In the Bible. Question: Where is Daniel? Answer: In the Bible. Question","Where is Daniel? "
"garden","Answer: She is in the kitchen, making sandwiches. Question: Where is Hilary","Where is Sandra? "
"kitchen","Answer: In the hallway. Question: Where is the bathroom? Answer: In the hallway.","Where is Daniel? "
"bedroom","Answer: In the carton of St. Ann, in the church of the Annunzi","Where is John? "
