"target","output","question"
"Jeff","Fred gave the football to Bill. Question: What did Fred give the football to? Fred gave the","Who did Fred give the football to? "
"Bill","garden Question: Who did Mary give the milk to? garden Question: Who did Mary give","Who did Mary give the milk to? "
"Jeff","Jeff. Question: Who did Fred give the milk to? Jeff. Question: Who did Fred give","Who did Fred give the milk to? "
"milk","milk. Jeff got the milk there. How are you to get free, that's the question now","What did Mary give to Fred? "
"Fred","Fred Mary Question: Who passed the milk? Mary Fred Question: Who drank the milk?","Who received the milk? "
"apple","garden tools. Jeff gave Mary a garden tools. Mary gave Jeff a garden tools.","What did Mary give to Jeff? "
"apple","Mary Jeff gave Mary to Bill Bill to Mary Mary to Jeff? Jeff to Mary","What did Mary give to Jeff? "
"apple","a kitchen knife. Bill gave to Fred a kitchen knife. Fred gave to Bill","What did Fred give to Bill? "
"Jeff","Mary Question: Who gave the milk to Fred? Mary Question: Who gave the milk to","Who gave the milk to Fred? "
"Fred","and she took the apple from Mary? and she took the apple from Mary? and she","Who gave the apple to Mary? "
"Jeff","she Answer: Who had the football? he Answer: Who had the football? he","Who received the football? "
"Jeff","Bill Black Bill. And she was to be the servant, the slave of this new favorite","Who did Mary give the football to? "
"milk","apple Question: What did Mary give to Bill? apple","What did Mary give to Bill? "
"Bill","Mary gave the milk to? Mary gave the milk to? Mary gave","Who did Mary give the milk to? "
"milk","milk Question: What did Mary give to Bill? milk Question: What did Mary give to","What did Mary give to Bill? "
"apple","apple Question: What did Fred give to Mary? apple Question: What did Fred give to","What did Fred give to Mary? "
"Mary","Mary. And yet,"" she cried, ""if you Yankees push us as far as war, Mr","Who received the football? "
"apple","A book. Question: What did Fred give to Bill? A book. Question: What did Fred","What did Fred give to Bill? "
"Jeff","Fred Question: Who received the apple? Fred","Who received the apple? "
"Bill","Bill Who did Mary give the football to? Bill Who did Mary give the football to?","Who did Mary give the football to? "
"Fred","Mary Question: Who gave the milk to Jeff? Mary","Who gave the milk to Jeff? "
"Mary","Mary Question: Who was the owner of the castle? Mary Question: Who was the owner","Who received the milk? "
"Mary","Fred or Mary Question: Who drank the milk? Fred or Mary Question: Who drank the","Who gave the milk? "
"milk","apple","What did Bill give to Mary? "
"milk","milk","What did Jeff give to Bill? "
"football","Macloud, so, you'll pardon me if I decline to discuss the subject."" X","What did Jeff give to Fred? "
"Mary","Smith Question: Who got the football? Duff Question: Who got the football? Smith","Who gave the football? "
"Mary","Smith had gave it to him. ""Why, Miss Maggie, it--I--I","Who gave the apple to Bill? "
"Fred","Fred. Question: Who gave the apple? General. Question: Who received the apple? Fred.","Who received the apple? "
"Mary","Mary","Who gave the milk to Bill? "
"milk","milk Question: What did Mary give to Jeff? milk Said Fred: I'm Fred","What did Mary give to Jeff? "
"Mary","Jeff Question: Who took the milk? Jeff Question: Who slept in the hay loft?","Who gave the milk? "
"Fred","Fred I saw a man come out of Moffatt's house, muffled up with a mask","Who gave the apple to Mary? "
"football","A apple. Question: What did Bill give to Mary? A apple. Question: What did Bill","What did Bill give to Mary? "
"apple","apple","What did Fred give to Mary? "
"apple","a bottle of milk Question: What did Fred give to Bill? a bottle of milk Question","What did Fred give to Bill? "
"Jeff","Jeff Question: Who took the milk? Fred Schummel modifies the eccentricity","Who gave the milk? "
"Bill","Fred Question: Who did Mary give the apple to? Fred","Who did Mary give the apple to? "
"Fred","Fred Question: Who gave the football to Mary? Fred Question: Who gave the football to","Who gave the football to Mary? "
"milk","milk I think, generally, more completion is permitted (though this often because more was possible)","What did Mary give to Fred? "
"milk","milk Question: What did Fred give to Mary? milk","What did Fred give to Mary? "
"Mary","Bill. Question: Who gave the football? Bill. Question: Who gave the football? Bill.","Who gave the football? "
"Fred","Mary Question: Who received the apple? Mary Question: Who received the apple? Mary","Who received the apple? "
"Mary","The boy Question: Who bought the apple? The boy Question: Who sold the apple?","Who gave the apple? "
"Fred","Mary Question: Who gave the apple to Bill? Mary Question: Who gave the apple to","Who gave the apple to Bill? "
"apple","apple","What did Fred give to Bill? "
"Fred","Fred Suggestion: Bill Suggestion: Fred Suggestion: Bill Suggestion:","Who received the apple? "
"Fred","Mary Question: Who drank the milk? Mary Question: Who drank the milk? Mary","Who received the milk? "
"Mary","Mary. I: Who passed the football? Fred. I: Who designed a campanile?","Who received the football? "
"apple","apple Question: What did Mary take from Bill? apple Question: What did Bill give to","What did Bill give to Mary? "
"apple","apple Question: What did Mary give to Fred? apple Question: What did Mary give to","What did Mary give to Fred? "
"apple","milk there. ¶ The seven chapters of the book treat in succession of Colonial Literature, The","What did Fred give to Bill? "
"apple","garden village. And now again he read it in the face of her cousin","What did Fred give to Bill? "
"milk","milk","What did Jeff give to Fred? "
"Mary","Mary. I'm a little bit of a thing, but I'm a good bit of a wife","Who received the milk? "
"Jeff","Bill Question: Who gave the football? Bill","Who gave the football? "
"Bill",""" Bill handed the football to Fred. I cannot get anything out of those with whom he talks so","Who gave the football to Fred? "
"Mary","""I"" ""And now suppose you don't interrupt my story again."" Clouds began to gather","Who received the football? "
"Mary","Mary. Question: Who was chased around by a canoe? Frank. Question: Who was hunted by","Who gave the football to Fred? "
"Jeff","Jeff. Question: Who did Jeff give the milk to? Bill. Question: Who did Bill give","Who did Bill give the milk to? "
"Fred","--_The Squire._--_The Squire._--_The Squire._--_","Who gave the football to Jeff? "
"Jeff","John Ready sprang to the assistance of his brother, but too late; and although","Who gave the apple to Fred? "
"Bill","Bill. Question: Who passed the milk? Jeff. Question: Who drank the milk? Bill.","Who received the milk? "
"Jeff","Mary Question: Who did Bill give the apple to? Mary Question: Who did Bill give","Who did Bill give the apple to? "
"milk","Fred was Mary gave to Fred. Fred was Mary gave to Fred. Fred was Mary","What did Mary give to Fred? "
"Jeff","Fred gave the apple. Fred gave the apple. Fred gave the apple","Who received the apple? "
