"target","output","question"
"kitchen","What is the weather like? What is the time? What is the date? What is the day","Where is Sandra? "
"office","Answer: John is in the forest. Question: Where is Ben? Answer: Ben is in the","Where is John? "
"bedroom","Answer: In the bedroom. The last date in it is June 7, 1654;","Where is John? "
"bathroom","(a) In the room (b) In the garden (c) In the street (d","Where is Sandra? "
"office","Answer: He's in the kitchen. Question: Where is Patience? Answer: She's in","Where is Daniel? "
"bedroom","Answer: She is in the kitchen. Question: Where is John? Answer: He is in","Where is Mary? "
"garden","Answer: She is in the kitchen, and she is sitting there, and she is waiting","Where is Mary? "
"garden","Answer: Sandra is in the kitchen. Question: What is Sandra doing? Answer: Sandra is cooking","Where is Sandra? "
"kitchen","I have not seen her for a long time. I have not seen her for a long time","Where is Sandra? "
"garden","--where is Allan?--where is the man who slew my brother?--where is the man","Where is John? "
"kitchen","(1) In the pantry. (2) In the pantry. (3) In the pantry","Where is Sandra? "
"office","Answer: Sandra is in the Latin Quarter. Question: What is Sandra? Answer: Sandra is a","Where is Sandra? "
"bedroom","Answer: Sandra is in the kitchen. Question: Where is Sandra? Answer: Sandra is in the","Where is Sandra? "
"garden","Answer: In the garden. Question: Where is Sandra? Answer: In the hallway. Question:","Where is John? "
"hallway","Answer: He is here, accordingly, while Heywood stooped over a tumbled object on the","Where is John? "
"kitchen","Answer: Sandra is in the kitchen. Question: What is Sandra doing? Answer: Sandra is eating","Where is Sandra? "
"garden","Where is Sandra? Where is Sandra? Where is Sandra? Where is Sandra? Where is Sandra?","Where is Sandra? "
"bathroom","Answer: Sandra is in the bathroom. Question: Where is Sandra? Answer: Sandra is in the","Where is Sandra? "
"office","Answer: He is in the library. Question: Where is the Dutchess? Answer:","Where is Daniel? "
"office","Answer: He is in the churchyard. Question: Where is John? Answer: He is in","Where is John? "
"hallway","Where is Sandra? Where is the garden? Where is the kitchen? Where is the house? Where","Where is Daniel? "
"bathroom","Answer: In the lion's den. The Lion's Den  The lion's den is a place","Where is Daniel? "
"garden","(1) In the kitchen. (2) In the living room. (3) In the","Where is Sandra? "
"kitchen","Answer: He is in the hallway. Question: What is he doing? Answer: He is drinking","Where is Daniel? "
"bedroom","Answer: In the house of the painter. Question: What is he doing? Answer: He is","Where is John? "
