arm,label,core6,aux4_raw,mmlu,aux5_raw,mmlu_above_chance_recovery,ppl,core6_path,know_path
base_full,"base full (OLMo-2-7B, 32L)",0.703684,0.678342,0.605256,0.663725,1.000000,7.3981,paperB/data/raw/olmo2_downstream_results/7B_base_full/summary.json,paperB/data/raw/olmo2_downstream_results/7B_base_full_know/summary.json
keep8_step121000,keep8 @121k (headline),0.523775,0.472719,0.253525,0.428881,0.009923,13.3332,olmo2_downstream_results/7B_keep8_step121000/summary.json,olmo2_downstream_results/7B_keep8_step121000_know/summary.json
keep8_step110000,keep8 @110k (traj),0.521836,0.472949,0.249964,0.428352,-0.000100,,olmo2_downstream_results/7B_keep8_step110000/summary.json,olmo2_downstream_results/7B_keep8_step110000_know/summary.json
keep8_step100000,keep8 @100k (traj),0.516788,0.481430,0.249039,0.434952,-0.002706,,olmo2_downstream_results/7B_keep8_step100000/summary.json,olmo2_downstream_results/7B_keep8_step100000_know/summary.json
keep10_step83500,"keep10 @83.5k (headline, plateau=~200k)",0.530294,0.493444,0.271756,0.449106,0.061241,,paperB/data/raw/olmo2_downstream_results/7B_keep10_step83500/summary.json,paperB/data/raw/olmo2_downstream_results/7B_keep10_step83500_know/summary.json
keep12_step124000,"keep12 @124k (headline, plateau=~200k)",0.566935,0.507263,0.275174,0.460845,0.070863,,paperB/data/raw/olmo2_downstream_results/7B_keep12_step124000/summary.json,paperB/data/raw/olmo2_downstream_results/7B_keep12_step124000_know/summary.json
keep14_step200000,keep14 @200k (headline),0.593756,0.537078,0.319114,0.493485,0.194547,10.5613,olmo2_downstream_results/7B_keep14_step200000/summary.json,olmo2_downstream_results/7B_keep14_step200000_know/summary.json
shortgpt16_step200000,"ShortGPT-16 @200k (trained, headline)",0.621495,0.581087,0.473864,0.559643,0.630149,,paperB/data/raw/olmo2_downstream_results/7B_shortgpt16_step200000/summary.json,paperB/data/raw/olmo2_downstream_results/7B_shortgpt16_step200000_know/summary.json
shortgpt_step0,"ShortGPT-16 @0 (no-heal baseline, keep16 fresh0)",0.421211,0.278013,0.262000,0.274811,0.033778,401.1242,paperB/data/raw/olmo2_downstream_results/7B_shortgpt_step0/summary.json,paperB/data/raw/olmo2_downstream_results/7B_shortgpt_step0_know/summary.json
freezefront_step200000,frozen-front @200k,0.563093,0.492822,0.262783,0.446815,0.035983,12.7973,paperB/data/raw/olmo2_downstream_results/7B_freezefront_step200000/summary.json,paperB/data/raw/olmo2_downstream_results/7B_freezefront_step200000_know/summary.json
scratch16L_step200000,random-init (from-scratch 16L) @200k,0.558440,0.490891,0.246119,0.441937,-0.010925,11.4983,paperB/data/raw/olmo2_downstream_results/7B_scratch16L_step200000/summary.json,paperB/data/raw/olmo2_downstream_results/7B_scratch16L_step200000_know/summary.json
