"target","output","question"
"milk","(answer: milk)  Mary journeyed to the office. Mary journeyed to the kitchen. Mary","What did Mary give to Fred? "
"apple","(answer: apple)  Mary journeyed to the office. Jeff journeyed to the garden. Mary","What did Fred give to Bill? "
"Jeff","(answer: Jeff)","Who did Mary give the football to? "
"apple","Answer: apple","What did Fred give to Mary? "
"Bill","Do not answer with the word ""Bill"". Do not answer with the word ""Jeff"". Do not","Who did Mary give the football to? "
"milk","Do not answer with a question. Do not answer with a word that is not in the text.","What did Bill give to Mary? "
"Mary","Do not answer with Jeff. Do not answer with Mary. Do not answer with Bill. Do not","Who gave the apple to Bill? "
"Mary","Do not answer with Mary. Do not answer with Jeff. Do not answer with Bill. Do not","Who gave the milk? "
"apple","Do not answer with a question. Do not answer with a sentence. Do not answer with a question","What did Fred give to Bill? "
"milk","Do not answer with a question. Do not answer with a sentence. Do not answer with a question","What did Mary give to Fred? "
"Mary","Do not answer with Mary.","Who gave the apple? "
"Fred","Do not answer with Jeff. Do not answer with Mary. Do not answer with Fred. Do not","Who received the milk? "
"apple","Do not answer with a question. Do not answer with a sentence. Do not answer with a question","What did Fred give to Bill? "
"Jeff","Do not answer with a question. Do not answer with a sentence. Do not answer with a question","Who gave the football? "
"Jeff","Do not answer with Jeff. Do not answer with Mary. Do not answer with Fred. Do not","Who did Bill give the milk to? "
"Jeff","Do not answer with Mary. Do not answer with Jeff. Do not answer with Fred. Do not","Who did Bill give the apple to? "
"apple","Do not answer with a question. Do not answer with a sentence. Do not answer with a question","What did Mary give to Fred? "
"Bill","Do not answer with Jeff. Do not answer with Mary. Do not answer with Bill. Do not","Who did Jeff give the football to? "
"Bill","Do not answer with Jeff.","Who did Fred give the milk to? "
"football","Do not answer with a question. Do not answer with a sentence. Do not answer with a question","What did Mary give to Fred? "
"milk","Do not answer with a question. Do not answer with a sentence. Do not answer with a question","What did Mary give to Fred? "
"Fred","Do not answer with Mary. Do not answer with Fred. Do not answer with Jeff. Do not","Who gave the apple? "
"Fred","Do not answer with Mary.","Who did Bill give the apple to? "
"Mary","Do not answer with Mary.","Who did Bill give the milk to? "
"football","Do not answer with Mary. Do not answer with milk. Do not answer with apple. Do not","What did Mary give to Bill? "
