"target","output","question"
"kitchen","Where is Jack? Where is Jack? Where is Jack? Where is Jack? Where is Jack?","Where is John? "
"bathroom","Answer: Sandra is in the office.  In Glasgow she is in the office.  In Edinburgh she is","Where is Sandra? "
"office","Where is Daniel? Where is Daniel? Where is Daniel? Where is Daniel? Where is Daniel?","Where is Daniel? "
"hallway","What was her her her her her her her her her her her her her her her her her her","Where is Mary? "
"bedroom","Mary travelled to the bathroom. John travelled to the kitchen. Mary went to the bathroom. John went","Where is John? "
"bedroom","journeyed journeyed journeyed journeyed journeyed journeyed journeyed journeyed journeyed journeyed","Where is Mary? "
"office","Where is Douglas? Where is Douglas? Where is Douglas? Where is Douglas? Where is Douglas?","Where is Sandra? "
"bathroom","What is Eleanore? What is the water? What is the water? What is the water","Where is Mary? "
"kitchen","Where is Sandra? Where is Sandra? Where is Sandra? Where is Sandra? Where is Sandra?","Where is Sandra? "
"bathroom","Johnstone's tippet, a cap with h Answer: Shaw, a cap with h","Where is Sandra? "
"bedroom","Mary went to the hallway. Mary went to the hallway. Mary went to the hallway. Mary went","Where is Mary? "
"bedroom","What was Aunt Katy's hermit Will? What was Aunt Katy's hermit Will? What was","Where is Sandra? "
"bedroom","ANSWER.--Adam travelled to the garden. What water Falconer travelled to the garden. What water","Where is Sandra? "
"hallway","Answer: in the hallway. Farther west, the water64 water64 water64 water64 water","Where is Mary? "
"bedroom","What is her her her her her her her her her her her her her her her her her her","Where is Sandra? "
"garden","What does Chantel do? What does Wutzler do? What does Heywood do?","Where is John? "
"bedroom","What was the water? What was the water? What was the water? What was the water?","Where is Mary? "
"kitchen","Mary journeyed. Our dear R. E. knows twice as much as ----, and five times","Where is Daniel? "
"office","Answer: In the office. In ignorance of the water. In ignorance of the water. In ignorance","Where is John? "
"bathroom","What did he do? What did he do? What did he do? What did he do?","Where is John? "
"bathroom","[Illustration]     [Illustration]     [Illustration]     [I","Where is Daniel? "
"bedroom","What is the water? How does the water help the blood? How does the blood help the","Where is John? "
"bedroom","Answer: Daniel went to the bedroom. ""Well, if his stomach's knocked out I pity him","Where is Daniel? "
"hallway","What is Minster-Boyce? What is Thessaly? What is hyphen-Boy","Where is Sandra? "
"garden","She is hungry. She is hungry. She is hungry. She is hungry. She is hungry.","Where is Sandra? "
