target,output,question
kitchen,"Answer, the",Where is the football? 
garden,Answer of the the the the the the the the the the the the the the the the the the,Where is the milk? 
bedroom,Answer,Where is the apple? 
bedroom,Answer,Where is the apple? 
kitchen,Answer the,Where is the apple? 
hallway,Answer. The the,Where is the apple? 
kitchen,Answer of the the the the the the the the take the take the take the take the take the,Where is the milk? 
garden,Answer,Where is the milk? 
bedroom,Answer the the,Where is the milk? 
bathroom,Answer,Where is the milk? 
bathroom,Answer,Where is the football? 
bedroom,Answer,Where is the milk? 
bathroom,"Answer, the",Where is the apple? 
kitchen,Answer,Where is the football? 
bedroom,Answer,Where is the apple? 
garden,Answer,Where is the apple? 
bedroom,Answer,Where is the football? 
bedroom,Answer,Where is the apple? 
garden,Answer,Where is the milk? 
garden,Answer,Where is the milk? 
office,Answer,Where is the apple? 
bedroom,Answer of the the the the,Where is the milk? 
garden,Answer of the the the the the take the take the take the take the take the take the take,Where is the milk? 
bathroom,Answer the the the the the,Where is the milk? 
office,"Answer, the",Where is the apple? 
garden,Answer. The the,Where is the football? 
garden,Answer. The the,Where is the football? 
bedroom,Answer,Where is the apple? 
hallway,"Answer. The the



























import and",Where is the apple? 
hallway,Answer,Where is the apple? 
hallway,Answer. The the,Where is the apple? 
garden,Answer,Where is the football? 
hallway,Answer,Where is the apple? 
kitchen,Answer,Where is the football? 
hallway,Answer,Where is the milk? 
kitchen,Answer,Where is the apple? 
office,Answer,Where is the milk? 
hallway,Answer the the,Where is the milk? 
bathroom,Answer,Where is the milk? 
bathroom,Answer. The,Where is the milk? 
bathroom,Answer,Where is the football? 
hallway,Answer,Where is the football? 
garden,Answer,Where is the apple? 
bedroom,Answer,Where is the apple? 
kitchen,Answer,Where is the milk? 
bedroom,Answer the the the the the,Where is the milk? 
hallway,"Answer, the",Where is the apple? 
garden,Answer,Where is the milk? 
kitchen,Answer,Where is the football? 
bathroom,"Answer, the",Where is the football? 
garden,Answer,Where is the milk? 
bedroom,Answer of the,Where is the apple? 
hallway,Answer,Where is the milk? 
hallway,"Answer



































import",Where is the milk? 
office,Answer,Where is the milk? 
kitchen,Answer,Where is the apple? 
bathroom,Answer the the the,Where is the milk? 
bathroom,Answer the the,Where is the milk? 
office,"Answer

































import and",Where is the football? 
garden,"Answer, the the the the the the the the the the the take the take the take the take",Where is the football? 
kitchen,Answer,Where is the apple? 
bathroom,Answer,Where is the apple? 
garden,"Answer, the",Where is the football? 
bathroom,Answer,Where is the milk? 
bathroom,Answer,Where is the milk? 
hallway,Answer,Where is the milk? 
bedroom,Answer,Where is the football? 
garden,"Answer, the",Where is the football? 
bedroom,Answer,Where is the football? 
bathroom,Answer,Where is the apple? 
garden,"Answer, the the the the the the the the the the the the take the take the take the",Where is the milk? 
office,"Answer, the the the



























import",Where is the milk? 
office,Answer of the,Where is the football? 
hallway,Answer,Where is the football? 
garden,Answer,Where is the football? 
office,Answer. The,Where is the milk? 
kitchen,"Answer, the",Where is the football? 
office,Answer,Where is the milk? 
kitchen,Answer,Where is the apple? 
kitchen,"Answer of the































import",Where is the football? 
office,Answer,Where is the football? 
kitchen,Answer,Where is the apple? 
office,Answer,Where is the apple? 
bathroom,Answer,Where is the football? 
bathroom,Answer,Where is the football? 
office,"Answer, the",Where is the milk? 
bathroom,"Answer, the the the the the take the take the take the take the take the take the take",Where is the apple? 
bedroom,Answer,Where is the milk? 
hallway,Answer,Where is the apple? 
bedroom,Answer,Where is the milk? 
bedroom,Answer,Where is the apple? 
bathroom,"Answer, the",Where is the football? 
bedroom,Answer,Where is the football? 
bedroom,Answer,Where is the football? 
bedroom,Answer,Where is the apple? 
kitchen,Answer,Where is the football? 
garden,Answer,Where is the milk? 
office,"Answer, the the the the the the the the the take the take the take the take the take",Where is the milk? 
bedroom,"Answer, the the the the the the the the the the take the take the take the take the",Where is the milk? 
kitchen,Answer. The,Where is the apple? 
