"target","output","question"
"Jeff","Answer: Jeff. Came to visit me, Mr. Brisbane, Secretary to the Admiralty, a","Who did Fred give the football to? "
"Fred","Answer: Mary. Cheered by her own resolution, she answered the woman composedly, and went","Who received the milk? "
"Jeff","Answer: Jeff. Question: Who took the football there? Answer: Bill. Question: Who took","Who gave the milk to Fred? "
"milk","----  Answer: Just count up--November, December, January, February, March, April, May","What did Mary give to Bill? "
"Mary","Jeff handed the football to Mary. As the charging column pell-mell, in hot pursuit,","Who received the football? "
"Fred","What did Fred do? What did Flint's reputation as a man of his word suffer? What did","Who gave the milk to Jeff? "
"milk","Answer: The milk. Question: What did Jeff take from the peasant? Answer: The milk.","What did Jeff give to Bill? "
"Fred","Answer: Mary. Question: Who went to the bathroom? Answer: Jeff. Question: Who went","Who received the apple? "
"Fred","<answer>Bill</answer> Question: Who travelled to the office? <answer>Bill</","Who gave the apple to Mary? "
"Jeff","Answer: Jeff. Jeff went to the bathroom. ""Yes, sir; if he has to hob","Who gave the milk? "
"milk","Answer: The milk. Question: What did Mary journeyed to the garden. Answer: The milk","What did Fred give to Mary? "
"Fred","Bill travelled to the kitchen. The boys clustered eagerly about the carriage and a lively chat took place.","Who gave the apple to Bill? "
"Mary","Answer: Mary. If Fred passed the apple to Mary. If Fred passed the apple to Mary.","Who received the football? "
"apple","What did Rosendo do to Diego? What did Jeff do to Diego? What did Rosendo do","What did Fred give to Bill? "
"Bill","Answer: Bill. Question: Who poses, awakens, awakens, awakens, awakens","Who gave the football to Fred? "
"Fred","Quickly she kissed her mother. Quickly she kissed her mother. Quickly she kissed her mother. Quickly she","Who gave the football to Jeff? "
"milk","Bill went back to the bedroom. Is it any wonder that such a woman should have insisted upon her","What did Mary give to Fred? "
"Bill","Mary discarded the milk there. Bill discarded the milk there. Jeff discarded the milk there. Mary discarded","Who did Fred give the apple to? "
"Fred","[See BIRDS AND ALL NATURE, Vol. Fred travelled to the bathroom. Jeff travelled","Who gave the milk? "
"Bill","Bill handed the apple to Mary. Bill grabbed the apple there. Bill got the apple there. Bill","Who gave the apple? "
"Mary","Mary travelled to the hallway. questioned Jimmy, wondering how Alfred could confine himself to any","Who did Jeff give the apple to? "
"Mary","Bill travelled to the hallway. Jeff went back to the bathroom. Fred went back to the kitchen.","Who gave the milk? "
"Bill","Bill travelled to the hallway. Jeff went to the bathroom. Bill went to the bathroom. Jeff went","Who gave the milk to Fred? "
"Fred","Jeff travelled to the garden. _Reg._                             I know 'twill grieve thy gentle heart","Who did Mary give the apple to? "
"football","What did Bill give to Jeff? What did Bill give to Jeff? What did Jeff give to Bill","What did Jeff give to Bill? "
