"target","output","question"
"kitchen","Answer: He’s waiting for Ruby.  Ruby: Where is Ruby? Answer: She’s waiting for","Where is John? "
"bathroom","Answer: She is in the hospital. Question: Where is Sandra? Answer: She is in the","Where is Sandra? "
"office","Answer: Where is Daniel? Question: Where is Daniel? Answer: Where is Daniel? Question:","Where is Daniel? "
"hallway","Answer: She is in the kitchen. Question: Where is Mary? Answer: She is in","Where is Mary? "
"bedroom","Answer: In the bathroom. Question: Where is Georgiana? Answer: In the kitchen","Where is John? "
"bedroom","Answer: She is in the garden. Question: Where is Mary? Answer: She is in","Where is Mary? "
"office","Answer: She is in the office. Question: Where is Cyril? Answer: He is in the","Where is Sandra? "
"bathroom","Answer: She is in the kitchen. Question: Where is Eleanore? Answer: She is","Where is Mary? "
"kitchen","Answer: Sandra is in the kitchen. Question: Where is Sandra? Answer: Sandra is in the","Where is Sandra? "
"bathroom","Answer: Where is Sandra? Question: Where is Sandra? Answer: Where is Sandra? Question:","Where is Sandra? "
"bedroom","Answer: She is in the meadow, eating grass. Question: Where is John? Answer:","Where is Mary? "
"bedroom","Answer: She is in the bathroom. Question: Where is Sandra? Answer: She is in the","Where is Sandra? "
"bedroom","ANSWER.--We have never come across anything satisfactory on the cultivation of the blueberry except in Le","Where is Sandra? "
"hallway","Answer: In the hallway. Question: Where is Mary? Answer: In the hallway. Question:","Where is Mary? "
"bedroom","Answer: Sandra is in the office. Question: Where is Sandra? Answer: Sandra is in","Where is Sandra? "
"garden","Answer: In the garden. Question: Where is Chantel? Answer: In the garden.","Where is John? "
"bedroom","Answer: She is in the kitchen, and she is lying on the floor, with her head","Where is Mary? "
"kitchen","Answer: In the kitchen. Question: Where is Mary? Answer: In the bedroom. Question:","Where is Daniel? "
"office","Answer: In the office. Question: Where is Calvin? Answer: In the pulpit","Where is John? "
"bathroom","Answer: He is in the bathroom. Question: Where is the bathroom? Answer: It is in","Where is John? "
"bathroom","Answer: Where is Daniel? Question: Where is Daniel? Answer: Where is Daniel? Question","Where is Daniel? "
"bedroom","Answer: In the bedroom. Question: How long has John been in the bedroom? Answer: All","Where is John? "
"bedroom","Answer: In the bathroom. Question: Where is Daniel? Answer: In the bathroom. Question:","Where is Daniel? "
"hallway","Answer: Where is Sandra? Sandra moved to the hallway. The farmers when they came in gazed","Where is Sandra? "
"garden","Answer: She is in the parlor. Question: Where is Sandra? Answer: She is in","Where is Sandra? "
