"target","output","question"
"Jeff","Answer: Answer:  Fred Okay, let's try to figure out who Fred gave the football","Who did Fred give the football to? "
"Fred","(Answer with ""unanswerable"" if it's not possible to answer) The answer should","Who received the milk? "
"Jeff","Answer: Answer:  Fred The answer is Fred. The text mentions that ""Fred discarded the","Who gave the milk to Fred? "
"milk","Answer: Answer: Mary gave the milk to Bill. Okay, let's tackle this question.","What did Mary give to Bill? "
"Mary","Options:   A. Mary   B. Fred   C. Jeff   D. Bill","Who received the football? "
"Fred","Answer: Answer:  Jeff Okay, let's try to figure out who gave the milk to","Who gave the milk to Jeff? "
"milk","Answer: Answer:  Jeff gave the milk to Bill. The answer is Jeff gave the milk to","What did Jeff give to Bill? "
"Fred","The answer is Mary. The answer is Mary. The answer is Mary. The answer is Mary.","Who received the apple? "
"Fred","Answer: Answer:  Fred The answer is Fred.  Okay, let's try to figure out","Who gave the apple to Mary? "
"Jeff","Answer:  Answer:  Mary  Okay, let's try to figure out who gave the milk based","Who gave the milk? "
"milk","Answer: Answer: Mary  Okay, let's tackle this question. So, the user is","What did Fred give to Mary? "
"Fred","Answer: Answer:  Fred The answer is Fred.  Okay, let's try to figure out","Who gave the apple to Bill? "
"Mary","Options:   A. Amy   B. Amy and Amy   C. Fred   D.","Who received the football? "
"apple","Answer: Answer: Fred handed the apple to Bill. Okay, let's tackle this question.","What did Fred give to Bill? "
"Bill","Answer: Answer:  Assistant: The answer is Bill.   The answer is Bill.   The","Who gave the football to Fred? "
"Fred","Answer: Answer:  Jeff Okay, let's try to figure out who gave the football to","Who gave the football to Jeff? "
"milk","What is the answer to the question: What did Brice receive in the parcel? The answer is","What did Mary give to Fred? "
"Bill","Answer: Answer:  Fred  Okay, let's try to figure out who Fred gave the apple","Who did Fred give the apple to? "
"Fred","Answer: Answer:  Fred  Okay, let's try to figure out who gave the milk based","Who gave the milk? "
"Bill","The answer should be one of the following: Fred, Bill, Mary, or Jeff.  Answer:","Who gave the apple? "
"Mary","The answer should be one word. Answer:  Assistant: Fred  Okay, let's try to figure","Who did Jeff give the apple to? "
"Mary","Choices: - Mary - Fred - Mandy - Inspector - Cameron -","Who gave the milk? "
"milk","Options:   A) milk   B) apple   C) jam   D) spoon","What did Fred give to Bill? "
"Bill","Answer: Answer:  Assistant: The answer is Carl.  Okay, let's try to figure out","Who gave the football to Jeff? "
"Mary","The answer should be in the text. Answer: Mary The answer is Mary. Okay, let","Who gave the milk to Jeff? "
