"target","output","question"
"Bill","A. The Superintendent. B. The Superintendent. C. The Superintendent. D. The Superintendent.","Who did Mary give the milk to? "
"apple","Jeff, who was the first to give to the first? Jeff, who was the first to give","What did Mary give to Jeff? "
"Fred","A: The answer is that the one of all others to do this; and though it is difficult","Who gave the apple to Mary? "
"Bill","A: The answer is that the one of all others to do this; and still adhering to","Who did Mary give the milk to? "
"apple","A: The answer is that the one of all others to do this; and still adhering to","What did Fred give to Bill? "
"Mary","A: The answer is that the one of all others to do this; and if the young lady","Who received the milk? "
"football","A: The answer is that the one of all others to do this; and if the man had","What did Jeff give to Fred? "
"Mary","A: The answer is that the one of all others to do this; and if fancy leads them","Who gave the milk to Bill? "
"football","A: The answer is that the one of all others to do this; and if I could not","What did Bill give to Mary? "
"Bill","A: The answer is that the one of all others to do this; and if we let you","Who did Mary give the apple to? "
"Mary","A: The answer is that the one of all others to do this; and if he ever spoke","Who gave the football? "
"apple","A: The answer is that the one of all others to do this; and if or not he","What did Fred give to Bill? "
"apple","A: The answer is that the one of all others to do this; and if or not,","What did Bill give to Mary? "
"milk","A: The answer is that the one of all others to do this; and if what he told","What did Jeff give to Fred? "
"Mary","A: The answer is that the one of all others to do this; and if he makes any","Who received the football? "
"Jeff","A: The answer is that the one of all others to do this; and although his mother might","Who gave the apple to Fred? "
"Jeff","A: The answer is that the one of all others to do this; and they declared they hoped","Who received the apple? "
"Jeff","A: The answer is that the one of all others to do this; and they said, with","Who gave the apple? "
"apple","A: The answer is that the one of all others to do this; and they said, ""","What did Mary give to Bill? "
"Jeff","A: The answer is that the one of all others to do this; and that prove faithless","Who gave the apple? "
"football","A: The answer is that the one of all others to do this; and that he was master","What did Jeff give to Mary? "
"Bill","A: The answer is that the one of all others to do this; and that he was,","Who gave the milk to Mary? "
"Fred","A: The answer is that the one of all others to do this; and that he was","Who did Bill give the milk to? "
"Bill","A: The answer is that the one of all others to do this; and that he was nearly","Who did Jeff give the apple to? "
"Fred","A: The answer is that the one of all others to do this; and that he was the","Who gave the milk? "
