"target","output","question"
"Jeff","Answer: Fred gave the football to the man who gave him the football. Question: Who did","Who did Fred give the football to? "
"Fred","Answer: The milkman. Question: Who received the milk? Answer: The milkman.","Who received the milk? "
"Jeff","Answer: The cow. Question: Who gave the milk to Fred? Answer: The cow","Who gave the milk to Fred? "
"milk","Answer: A pair of shoes. Question: What did Bill give to Mary? Answer: A pair","What did Mary give to Bill? "
"Mary","Answer: Mary. Question: Who passed the football? Answer: Jeff. Question: Who packed the","Who received the football? "
"Fred","Answer: Jeff gave the milk to Jeff.  </context>  Question: Who gave the milk to Jeff","Who gave the milk to Jeff? "
"milk","Answer: Nothing. Question: What did Bill give to Jeff? Answer: Nothing. Question:","What did Jeff give to Bill? "
"Fred","Answer: The horse. Question: Who received the apple? Answer: The horse. Question:","Who received the apple? "
"Fred","Answer: The apple was given to Mary by the man who brought her. Question: Who gave","Who gave the apple to Mary? "
"Jeff","Answer: The cow.  Question: Who gave the butter? Answer: The cow.  Question: Who","Who gave the milk? "
"milk","Answer: A pair of shoes. Question: What did Mary give to Fred? Answer: A pair","What did Fred give to Mary? "
"Fred","Answer: Bill gave the apple to Bill.  </question>  </poem>  </poem>","Who gave the apple to Bill? "
"Mary","Answer: The devil. Question: Who kicked it? Answer: The devil. Question: Who caught","Who received the football? "
"apple","Answer: Nothing. Question: What did Bill give to Fred? Answer: Nothing. Question:","What did Fred give to Bill? "
"Bill","Answer: Fred gave the football to Fred.  Question: Who gave the football to Fred? Answer:","Who gave the football to Fred? "
"Fred","Answer: Jeff gave the football to Jeff.  Question: Who gave the football to Jeff? Answer:","Who gave the football to Jeff? "
"milk","Answer: A. Mary gave Fred a. Mary gave Fred a. Mary gave Fred a. Mary","What did Mary give to Fred? "
"Bill","Answer: Fred gave the apple to the priest. Question: Who did Fred give the apple to","Who did Fred give the apple to? "
"Fred","Answer: The Confederates. Question: Who gave the cream? Answer: The Confederates. Question","Who gave the milk? "
"Bill","Answer: Bill.  Question: Who killed the fox? Answer: Arne.  Question: Who killed","Who gave the apple? "
"Mary","Answer:. The apple was given to Jeff. Question: Who did Jeff give the apple to","Who did Jeff give the apple to? "
"Mary","Answer: The milkman. Question: Who made the butter? Answer: The butterman.","Who gave the milk? "
"milk","Answer: A pair of boots. Question: What did Bill give to Fred? Answer: A pair","What did Fred give to Bill? "
"Bill","Answer: The King. Question: Who gave the football to Jeff? Answer: The King","Who gave the football to Jeff? "
"Mary","Answer: The cow. Question: Who gave the milk to Jeff? Answer: The cow. Question","Who gave the milk to Jeff? "
