run_id,provenance_level,protocol_group,protocol_status,status,model_name,model_path,model_revision,num_layers,method,adapter_enabled,adapter_path,adapter_hash,benchmark,task,split,context_length,n_planned,n_valid,seed,resume_j,j_fraction,selector,topk,chunk_size,metric,score,score_scale,stderr,ci95_low,ci95_high,code_commit,run_date,gpu,config_path,predictions_path,scorer_output_path,log_path,source_summary_path,source_disk,notes
locomo/qcmem_j12/overall/em,A,qcmem_adapter033L_n500,,complete,Qwen3-8B,/apdcephfs_wzc1/share_304376610/pighzliu_code/models/Qwen--Qwen3-8b,,36,qcmem,True,outputs/qcmem_distill_qwen_j12_r32_4k/final,6fe9e53fb439,LoCoMo,overall,full,,,1986,,12,0.333,bm25,8,512,em,0.352,0-100,,,,,2026-07-10,,locomo_results/qcmem_j12/eval_config_shard2of6.json,,locomo_results/qcmem_j12/scores.json,,locomo_results/qcmem_j12/scores.json,wzc1,
locomo/qcmem_j12/overall/substring_acc,A,qcmem_adapter033L_n500,,complete,Qwen3-8B,/apdcephfs_wzc1/share_304376610/pighzliu_code/models/Qwen--Qwen3-8b,,36,qcmem,True,outputs/qcmem_distill_qwen_j12_r32_4k/final,6fe9e53fb439,LoCoMo,overall,full,,,1986,,12,0.333,bm25,8,512,substring_acc,24.068,0-100,,,,,2026-07-10,,locomo_results/qcmem_j12/eval_config_shard2of6.json,,locomo_results/qcmem_j12/scores.json,,locomo_results/qcmem_j12/scores.json,wzc1,"INTERNAL substring proxy, NOT official LLM-judge"
locomo/qcmem_j12/overall/token_f1,A,qcmem_adapter033L_n500,,complete,Qwen3-8B,/apdcephfs_wzc1/share_304376610/pighzliu_code/models/Qwen--Qwen3-8b,,36,qcmem,True,outputs/qcmem_distill_qwen_j12_r32_4k/final,6fe9e53fb439,LoCoMo,overall,full,,,1986,,12,0.333,bm25,8,512,token_f1,9.05,0-100,,,,,2026-07-10,,locomo_results/qcmem_j12/eval_config_shard2of6.json,,locomo_results/qcmem_j12/scores.json,,locomo_results/qcmem_j12/scores.json,wzc1,SQuAD token-F1 (LoCoMo-paper comparable)
locomo/qcmem_tk2/overall/em,A,qcmem_adapter033L_n500,,complete,Qwen3-8B,/apdcephfs_wzc1/share_304376610/pighzliu_code/models/Qwen--Qwen3-8b,,36,qcmem,True,outputs/qcmem_distill_qwen_j12_r32_4k/final,6fe9e53fb439,LoCoMo,overall,full,,,1986,,12,0.333,bm25,2,512,em,0.403,0-100,,,,,2026-07-09,,locomo_results/qcmem_tk2/eval_config.json,,locomo_results/qcmem_tk2/scores.json,,locomo_results/qcmem_tk2/scores.json,wzc1,
locomo/qcmem_tk2/overall/substring_acc,A,qcmem_adapter033L_n500,,complete,Qwen3-8B,/apdcephfs_wzc1/share_304376610/pighzliu_code/models/Qwen--Qwen3-8b,,36,qcmem,True,outputs/qcmem_distill_qwen_j12_r32_4k/final,6fe9e53fb439,LoCoMo,overall,full,,,1986,,12,0.333,bm25,2,512,substring_acc,24.22,0-100,,,,,2026-07-09,,locomo_results/qcmem_tk2/eval_config.json,,locomo_results/qcmem_tk2/scores.json,,locomo_results/qcmem_tk2/scores.json,wzc1,"INTERNAL substring proxy, NOT official LLM-judge"
locomo/qcmem_tk2/overall/token_f1,A,qcmem_adapter033L_n500,,complete,Qwen3-8B,/apdcephfs_wzc1/share_304376610/pighzliu_code/models/Qwen--Qwen3-8b,,36,qcmem,True,outputs/qcmem_distill_qwen_j12_r32_4k/final,6fe9e53fb439,LoCoMo,overall,full,,,1986,,12,0.333,bm25,2,512,token_f1,9.16,0-100,,,,,2026-07-09,,locomo_results/qcmem_tk2/eval_config.json,,locomo_results/qcmem_tk2/scores.json,,locomo_results/qcmem_tk2/scores.json,wzc1,SQuAD token-F1 (LoCoMo-paper comparable)
locomo/qcmem_tk4/overall/em,A,qcmem_adapter033L_n500,,complete,Qwen3-8B,/apdcephfs_wzc1/share_304376610/pighzliu_code/models/Qwen--Qwen3-8b,,36,qcmem,True,outputs/qcmem_distill_qwen_j12_r32_4k/final,6fe9e53fb439,LoCoMo,overall,full,,,1986,,12,0.333,bm25,4,512,em,0.453,0-100,,,,,2026-07-09,,locomo_results/qcmem_tk4/eval_config.json,,locomo_results/qcmem_tk4/scores.json,,locomo_results/qcmem_tk4/scores.json,wzc1,
locomo/qcmem_tk4/overall/substring_acc,A,qcmem_adapter033L_n500,,complete,Qwen3-8B,/apdcephfs_wzc1/share_304376610/pighzliu_code/models/Qwen--Qwen3-8b,,36,qcmem,True,outputs/qcmem_distill_qwen_j12_r32_4k/final,6fe9e53fb439,LoCoMo,overall,full,,,1986,,12,0.333,bm25,4,512,substring_acc,25.227,0-100,,,,,2026-07-09,,locomo_results/qcmem_tk4/eval_config.json,,locomo_results/qcmem_tk4/scores.json,,locomo_results/qcmem_tk4/scores.json,wzc1,"INTERNAL substring proxy, NOT official LLM-judge"
locomo/qcmem_tk4/overall/token_f1,A,qcmem_adapter033L_n500,,complete,Qwen3-8B,/apdcephfs_wzc1/share_304376610/pighzliu_code/models/Qwen--Qwen3-8b,,36,qcmem,True,outputs/qcmem_distill_qwen_j12_r32_4k/final,6fe9e53fb439,LoCoMo,overall,full,,,1986,,12,0.333,bm25,4,512,token_f1,9.585,0-100,,,,,2026-07-09,,locomo_results/qcmem_tk4/eval_config.json,,locomo_results/qcmem_tk4/scores.json,,locomo_results/qcmem_tk4/scores.json,wzc1,SQuAD token-F1 (LoCoMo-paper comparable)
longbench/qcmem_0p6b_j3/2wikimqa,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-0.6B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-0.6b,,28,qcmem,False,,,LongBench,2wikimqa,full,,,200,,3,0.107,bm25,12,512,qa_f1,6.532,0-100,,,,,2026-07-14,,longbench_results/qcmem_0p6b_j3/eval_config_0.json,,longbench_results/qcmem_0p6b_j3/scores.json,,longbench_results/qcmem_0p6b_j3/scores.json,diskB,
longbench/qcmem_0p6b_j3/AVERAGE,A,qcmem_zs_recalloptimal_nNA,,complete,Qwen3-0.6B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-0.6b,,28,qcmem,False,,,LongBench,AVERAGE,full,,,,,3,0.107,bm25,12,512,qa_f1,4.507,0-100,,,,,2026-07-14,,longbench_results/qcmem_0p6b_j3/eval_config_0.json,,longbench_results/qcmem_0p6b_j3/scores.json,,longbench_results/qcmem_0p6b_j3/scores.json,diskB,macro-avg over datasets
