"target","output","question","recall"
"7935787","7935787. 30:34 And Laban said, Let it be according to thy word. 30:35 And Laban divided the flocks, and the herds, and","What is the special magic number for ffrjdxbz-nywfmqd mentioned in the provided text? The special magic number for ffrjdxbz-nywfmqd mentioned in the provided text is","1.0"
"3624255","3624255.   The special magic number for umghdv-dcvaipcw mentioned in the provided text is 1621928.   The special magic number for farjr-mj","What is the special magic number for mftznd-ossmz mentioned in the provided text? The special magic number for mftznd-ossmz mentioned in the provided text is","1.0"
"6786497",": 6786497. 30:34 And Laban said, Let it be according to thy word. 30:35 And he divided the flocks, that they might be marked,","What is the special magic number for oehbzyid-xuwm mentioned in the provided text? The special magic number for oehbzyid-xuwm mentioned in the provided text is","1.0"
"6944544",": 6944544.   The special magic number for svmzar-dgeev is: 9492492.   The special magic number for fvfkhqwn-ohwf is:","What is the special magic number for robf-gkzhq mentioned in the provided text? The special magic number for robf-gkzhq mentioned in the provided text is","1.0"
"6188749",": 6188749. 30:34 And Laban said, Let it be according to thy word. 30:35 And Laban divided the flocks, and the herds,","What is the special magic number for qvuu-ifuawe mentioned in the provided text? The special magic number for qvuu-ifuawe mentioned in the provided text is","1.0"
"6193929",": 6193929. 30:34 And Laban said, Let it be according to thy word. 30:35 And Laban divided the flocks, and set before them the","What is the special magic number for bjhywn-inhzf mentioned in the provided text? The special magic number for bjhywn-inhzf mentioned in the provided text is","1.0"
"5451807","5451807. The special magic number for sfqklo-isxh mentioned in the provided text is 6839456. The special magic number for nwijjyej-yelt","What is the special magic number for vcpzjz-jmzj mentioned in the provided text? The special magic number for vcpzjz-jmzj mentioned in the provided text is","1.0"
"4752801",": 4752801. 30:34 And Laban said, Let it be according to thy word. And he divided the flocks, that they might be separated. 30:35","What is the special magic number for axhej-towwiq mentioned in the provided text? The special magic number for axhej-towwiq mentioned in the provided text is","1.0"
"4291916",": 4291916. 30:34 And Laban said, Let it be according to thy word. And he divided the flocks, dividing the sheep and the goats, the camels and the","What is the special magic number for uewfpr-ucsdsa mentioned in the provided text? The special magic number for uewfpr-ucsdsa mentioned in the provided text is","1.0"
"6465171","6465171. The special magic number for mgbvrpc-lhcrlqsb mentioned in the provided text is 9342652. The special magic number for wtkxv-es","What is the special magic number for upjng-ejlcb mentioned in the provided text? The special magic number for upjng-ejlcb mentioned in the provided text is","1.0"
"3003845",": 3003845. 30:34 And Laban said, Let it be according to thy word. 30:35 And he divided the flocks, that they might be before and","What is the special magic number for tidsp-lkkvxz mentioned in the provided text? The special magic number for tidsp-lkkvxz mentioned in the provided text is","1.0"
"7652233",": 7652233.   The special magic number for xmobt-nacyeei mentioned in the provided text is: 5549809.   The special magic number for lxyaq","What is the special magic number for vzxryf-zlfkkc mentioned in the provided text? The special magic number for vzxryf-zlfkkc mentioned in the provided text is","1.0"
"8708443",": 8708443. 30:34 And Laban said, The hire of thy hire is that thou shalt feed my flock. 30:35 And Jacob said, Let me pass through","What is the special magic number for laujqi-izaih mentioned in the provided text? The special magic number for laujqi-izaih mentioned in the provided text is","1.0"
"3444560","3444560. 30:34 And Laban said unto him, Let it be according to thy word. 30:35 And he divided the flocks, dividing the sheep and the","What is the special magic number for iwvdd-xqjf mentioned in the provided text? The special magic number for iwvdd-xqjf mentioned in the provided text is","1.0"
"6588352",": 6588352. 30:34 And Laban said unto him, Let it be according to thy word. 30:35 And he divided the flocks, dividing the sheep and","What is the special magic number for srma-hxdtyzh mentioned in the provided text? The special magic number for srma-hxdtyzh mentioned in the provided text is","1.0"
"1721328","1721328.   The special magic number for cxllhtq-aiggu is: 1827881.  The special magic number for atzeyqk-blbfiwsf","What is the special magic number for rczwjmdk-csqr mentioned in the provided text? The special magic number for rczwjmdk-csqr mentioned in the provided text is","1.0"
