"target","output","question"
"kitchen","I can't find her.  Answer: She is in the kitchen, cooking.  Question: What is","Where is Sandra? "
"office","He is not in the house. He is not in the garden. He is not in","Where is John? "
"bedroom","--Answer: He is in the house.--Question: Where is John?--Answer: He","Where is John? "
"bathroom","I am not sure if she is in the hospital, but I am sure she is not in","Where is Sandra? "
"office","He is not here. He is in the garden. He is sitting on the bench.","Where is Daniel? "
"bedroom","I can't find her. She's not in the house, and she's not in the","Where is Mary? "
"garden","Is she in the house? Is she in the garden? Is she in the stable? Is she","Where is Mary? "
"garden","I have not seen her for a long time. I have not seen her for a long time","Where is Sandra? "
"kitchen","She is not in the house, and I don’t see her anywhere. I don’t","Where is Sandra? "
"garden","Answer: He is in the library. Question: What is he doing? Answer: He is reading","Where is John? "
"kitchen","I can't find her. I'm going to go to the river and see if she's","Where is Sandra? "
"office","She is in the kitchen, and she is serving the guests.  Answer: She is in","Where is Sandra? "
"bedroom","_Reg._                   I know thee not, thou art a stranger. _Reg._ (_aside._","Where is Sandra? "
"garden","""I don't know,"" said Eleanor. ""I think he's gone to the kitchen","Where is John? "
"hallway","I have not seen him since he left the house. I have not seen him since he left","Where is John? "
"kitchen","Answer: She is in the kitchen. Question: What is she doing? Answer: She is","Where is Sandra? "
"garden","[Goes to the window.] [Looks out.] [Returns.] She is not at home","Where is Sandra? "
"bathroom","Is she in the bathroom? Is she in the kitchen? Is she in the living-room","Where is Sandra? "
"office","--""I'm not sure.  I'll ask him, and I'll tell you,","Where is Daniel? "
"office","He is not here. He is in the garden. He is not here. He is in","Where is John? "
"hallway","[Footnote 1: The   answer is ""in the garden.""] [Footnote","Where is Daniel? "
"bathroom","I can't find him. I'm sure he's here somewhere. He's not in the kitchen","Where is Daniel? "
"garden","She is     A. in the kitchen.     B. in the garden.     C.","Where is Sandra? "
"kitchen","Answer: In the Castle.  The     question is answered by the answer, and the","Where is Daniel? "
"bedroom","--""I'm here, ladies, and I've got you the same carriage and the same","Where is John? "
