"target","output","question"
"Jeff","What did Mary go back to the hallway? What did she become? What did she take in each","Who did Fred give the milk to? "
"apple","(2017.12.11)  Answer: Mary gave Jeff a ring. (2017.","What did Mary give to Jeff? "
"Jeff","(from this source)  Answer: The football? (from this source)  Question: Who received the","Who received the football? "
"milk","- 1717, 8vo. In the Preface to the Lady's Recreation, by","What did Mary give to Bill? "
"Jeff","Answer: The apple was received by the little wanderer. Question: What did the little wanderer","Who received the apple? "
"Mary","Answer: The cow. The most common answer to this question is the cow. The fact is that","Who gave the milk? "
"Mary","Answer: The football was given by the footballer. Question: Who gave the football? Answer:","Who gave the football? "
"milk","2","What did Mary give to Jeff? "
"apple","(1914. 1914.)","What did Fred give to Mary? "
"Fred","(1849-1850)","Who gave the football to Mary? "
"Fred","Answer: The apple was received by the boy. Question: Who received the apple? Answer: The","Who received the apple? "
"Fred","(2006-12-09)  Answer: The apple was received by Fred. (2006","Who received the apple? "
"apple","What did she give to Fred?  Answer: Mary gave to Fred a little book of verses, and","What did Mary give to Fred? "
"Mary","Answer: The doctor.","Who received the milk? "
"Mary","(see page 1)  Answer: Mary gave the football to Fred. (see page 1","Who gave the football to Fred? "
"Bill","Answer: The milkman. Question: Who received the cream? Answer: The creamer.","Who received the milk? "
"Jeff","(see thesaurus)  Answer: Thesaurus  Question: Who gave the apple to Bill","Who gave the apple to Bill? "
"Bill","(show all questions)  Question: Who gave the milk to Fred? (show all questions)  Question","Who gave the milk to Fred? "
"Jeff","Answer: The milkman.","Who received the milk? "
"Fred","Answer: Fred.","Who received the football? "
"Mary","Answer: The horse. Question: Who received the sugar? Answer: The horse. Question:","Who received the milk? "
"Mary","(the following from: http://www.football.org.uk/)  The following from: http://","Who received the football? "
"Jeff","(select all that apply) A. The apple. B. The apple. C. The apple","Who gave the apple? "
"milk","- 2016-08-08 10:00:00","What did Mary give to Bill? "
"Bill","(from: www.","Who received the milk? "
