,target,output,question
0,kitchen,"Answer: In the kitchen. Do not write anything else after that.

Question: Where is the milk",Where is the football? 
1,garden,,Where is the milk? 
2,bedroom,"Answer: The apple is in the porch.

Question: Where is the valise? Answer: The",Where is the apple? 
3,bedroom,Answer: In the barn. Question: Where is the milk? Answer: In the barn. Question,Where is the apple? 
4,kitchen,,Where is the apple? 
5,hallway,"Answer: In the hallway. Do not write anything else after that.

Question: Where is the bottle",Where is the apple? 
6,kitchen,Where is the apple? Where is the dog? Where is the girl? Where is the old man,Where is the milk? 
7,garden,"Answer: The milk is in the kitchen.

Question: Where is the milk? Answer: The milk",Where is the milk? 
8,bedroom,"Answer: The milk is in the bedroom.

Question: Where is the milk? Answer: The milk",Where is the milk? 
9,bathroom,"Answer: The milk is in the kitchen.

Question: Where is the trousers? Answer: The trousers",Where is the milk? 
10,bathroom,"Answer: In the bedroom. Do not write anything else after that.

<example>
The football is",Where is the football? 
11,bedroom,"Answer: The milk is in the kitchen.

Question: Where is the bottle? Answer: The bottle",Where is the milk? 
12,bathroom,"Answer: The apple is in the kitchen.

Question: Where is the milk? Answer: The milk",Where is the apple? 
13,kitchen,,Where is the football? 
14,bedroom,"Answer: The apple is in the kitchen.

Question: Where is the bottle? Answer: The bottle",Where is the apple? 
15,garden,"Answer: The apple is in the garden.

Question: Where is the football? Answer: The football",Where is the apple? 
16,bedroom,"Answer: In the hallway.

Question: Where is the apple? Answer: In the kitchen.

Question",Where is the football? 
17,bedroom,"Answer: In the bedroom.

Question: Where is the apple? Answer: In the kitchen.

Question",Where is the apple? 
18,garden,Answer: The milk is in the kitchen. Question: Where is the milk? Answer: The milk,Where is the milk? 
19,garden,"Answer: The milk is in the kitchen.

Question: Where is the milk? Answer: The milk",Where is the milk? 
20,office,,Where is the apple? 
21,bedroom,"Answer: The milk is in the kitchen.
Question: Where is the cake? Answer: The cake",Where is the milk? 
22,garden,"Answer: In the kitchen.

Question: Where is the bottle? Answer: In the balcony.

Question",Where is the milk? 
23,bathroom,"Answer: In the kitchen.

Question: Where is the apple? Answer: In the garden.

Question",Where is the milk? 
24,office,"Answer: In the kitchen.

Question: Where is the bottle? Answer: In the balcony.

Question",Where is the apple? 
25,garden,Answer: The football is in the kitchen.,Where is the football? 
26,garden,"Answer: In the kitchen. Do not write anything else after that.

Question: Where is the milk",Where is the football? 
27,bedroom,"Answer: In the hallway. Do not write anything else after that.

<example>
Charlie went to",Where is the apple? 
28,hallway,,Where is the apple? 
29,hallway,"Answer: The apple is in the apple tree.
</context>

Question: Where is the apple?",Where is the apple? 
30,hallway,"Answer: The apple is in the kitchen.
</question>

<example>
Charlie went to the kitchen",Where is the apple? 
31,garden,Answer: In the kitchen.,Where is the football? 
32,hallway,"Answer: In the hallway.

Question: Where is the milk? Answer: In the kitchen.

Question",Where is the apple? 
33,kitchen,"Answer: The football is in the hallway.
</question>

Question: Where is the apple? Answer",Where is the football? 
34,hallway,"Answer: The milk is in the kitchen.

Question: Where is the milk? Answer: The milk",Where is the milk? 
35,kitchen,"Answer: In the kitchen.

Question: Where is the milk? Answer: In the bedroom.

Question",Where is the apple? 
36,office,"Answer: The milk is in the kitchen.

Question: Where is the apple? Answer: The apple",Where is the milk? 
37,hallway,"Answer: The milk is in the kitchen.

Question: Where is the football? Answer: The football",Where is the milk? 
38,bathroom,"Answer: In the bathroom.

Question: Where is the apple? Answer: In the kitchen.

Question",Where is the milk? 
39,bathroom,"Answer: The milk is in the kitchen.

Question: Where is the apple? Answer: The apple",Where is the milk? 
40,bathroom,,Where is the football? 
41,hallway,"Answer: In the hallway. Do you mean that the nations should live without any religion, and do",Where is the football? 
42,garden,"Answer: The apple is in the garden.

Question: Where is the football? Answer: The football",Where is the apple? 
43,bedroom,"Answer: The apple is in the kitchen.

Question: Where is the milk? Answer: The milk",Where is the apple? 
44,kitchen,"Answer: The milk is in the kitchen.

Question: Where is the 32-pounder? Answer",Where is the milk? 
45,bedroom,"Answer: The milk is in the kitchen.

Question: Where is the football? Answer: The football",Where is the milk? 
46,hallway,"Answer: The apple is in the kitchen.

Question: Where is the ring? Answer: The ring",Where is the apple? 
47,garden,"Answer: The milk is in the bedroom.

Question: Where is the bottle? Answer: The bottle",Where is the milk? 
48,kitchen,Answer: In the garden. Question: Where is the milk? Answer: In the office. Question,Where is the football? 
49,bathroom,"Answer: In the bathroom. Do not write anything else after that.

<example>
Jack Kirke",Where is the football? 
50,garden,Answer: In the milk wagon. Where is the milk? Answer: In the milk wagon. Where,Where is the milk? 
51,bedroom,"Answer: In the garden.

Question: Where is the apple? Answer: In the garden.

Question",Where is the apple? 
52,hallway,"Answer: In the kitchen.

Question: Where is the handkerchief? Answer: In the library",Where is the milk? 
53,hallway,"Answer: The milk is in the bathroom. Do not write anything else after that.

Question: Where",Where is the milk? 
54,office,"Answer: In the kitchen. Do not write anything else after that.

<example>
John went to",Where is the milk? 
55,kitchen,,Where is the apple? 
56,bathroom,"Answer: The milk is in the kitchen.

Question: Where is the screw driver? Answer: The",Where is the milk? 
57,bathroom,"Answer: The milk is in the kitchen.

Question: Where is the football? Answer: The football",Where is the milk? 
58,office,"Answer: In the kitchen.

Question: Where is the screw driver? Answer: In the kitchen.",Where is the football? 
59,garden,"Answer: The football is in the hallway.

Question: Where is the apple? Answer: The apple",Where is the football? 
60,kitchen,Answer: In the drawer. The drawer is in the bathroom. The drawer is in the bathroom.,Where is the apple? 
61,bathroom,"Answer: The apple is in the kitchen. Do not write anything else after that.

Question: Where",Where is the apple? 
62,garden,"Answer: The football is in the kitchen.

Question: Where is the apple? Answer: The apple",Where is the football? 
63,bathroom,"Answer: The milk is in the kitchen.
Question: Where is the bottle? Answer: The bottle",Where is the milk? 
64,bathroom,"Answer: The milk is in the kitchen.
Question: Where is the apple? Answer: The apple",Where is the milk? 
65,hallway,"Answer: The milk is in the kitchen.
Question: Where is the bottle? Answer: The bottle",Where is the milk? 
66,bedroom,Answer: In the garden.,Where is the football? 
67,garden,"Answer: In the kitchen. Do not write anything else after that.

Question: Where is the monkey",Where is the football? 
68,bedroom,"Answer: The football is in the kitchen.

Question: Where is the screw driver? Answer: The",Where is the football? 
69,bathroom,"Answer: The apple is in the garden.

Question: Where is the apple? Answer: The apple",Where is the apple? 
