,target,output,question
0,bedroom,What is the bedroom west of? What is the kitchen south of? What is the kitchen north of,What is the bathroom east of?
1,kitchen,"Answer: kitchen

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the office?
2,garden,"Answer: bedroom

Question: What is west of the office? Answer: garden

Question: What",What is north of the office?
3,garden,What is the kitchen south of? What is the garden west of? What is the nave east of,What is the bedroom north of?
4,garden,"Answer: kitchen
</context>

Question: What is the kitchen north of? Answer: bedroom",What is the bathroom south of?
5,office,,What is north of the bedroom?
6,bathroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is north of the garden?
7,bedroom,"Answer: garden
</example>
</example>
</example>
</example>
</example>
</",What is west of the office?
8,kitchen,What is the kitchen north of? What is the bedroom west of? What is the kitchen west of,What is the garden south of?
9,bathroom,,What is the hallway north of?
10,bedroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the hallway?
11,office,,What is east of the bedroom?
12,hallway,"Answer: kitchen
</question>

Question: What is west of the bedroom? Answer: garden",What is north of the garden?
13,bedroom,"Answer: garden
</question>

Question: What is the bedroom east of? Answer: bedroom",What is the garden west of?
14,hallway,,What is east of the bathroom?
15,bathroom,"Answer: office
</example>
</context>

Question: What is the office east of? Answer",What is the office west of?
16,bathroom,,What is west of the bedroom?
17,kitchen,,What is north of the hallway?
18,bathroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the kitchen?
19,office,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the bedroom?
20,bedroom,"Answer: bedroom

Question: What is west of the kitchen? Answer: garden

Question: What",What is west of the hallway?
21,office,"Answer: garden
Question: What is west of the bedroom? Answer: garden
Question: What",What is east of the bedroom?
22,bedroom,"Answer: bedroom

Question: What is the bedroom west of? Answer: garden

Question: What",What is the hallway south of?
23,kitchen,"Answer: garden

Question: What is west of the kitchen? Answer: garden

Question: What",What is west of the bedroom?
24,bedroom,"Answer: bedroom
</context>

Question: What is west of the bedroom? Answer: garden",What is south of the bathroom?
25,hallway,"Answer: bedroom

Question: What is south of the kitchen? Answer: hallway

Question: What",What is west of the bathroom?
26,office,,What is south of the hallway?
27,bedroom,"Answer: bedroom

Question: What is west of the office? Answer: garden

Question: What",What is east of the office?
28,garden,"Answer: garden

Question: What is south of the kitchen? Answer: bedroom

Question: What",What is west of the bathroom?
29,kitchen,What is the kitchen south of? What is the bedroom west of? What is the kitchen west of,What is the garden north of?
30,office,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is east of the garden?
31,bathroom,"Answer: bedroom
</context>

Question: What is west of the bedroom? Answer: garden",What is south of the hallway?
32,garden,"Answer: garden

Question: What is north of the garden? Answer: bedroom

Question: What",What is east of the office?
33,bedroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the hallway?
34,garden,,What is the hallway east of?
35,kitchen,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the hallway?
36,bathroom,,What is the kitchen west of?
37,kitchen,"Answer: the garden

Question: What is the kitchen east of? Answer: the bedroom

Question",What is the bathroom west of?
38,bathroom,"Answer: garden

Question: What is the kitchen west of? Answer: kitchen

Question: What",What is the garden south of?
39,bedroom,,What is the garden south of?
40,bedroom,,What is west of the bathroom?
41,garden,,What is west of the office?
42,bathroom,,What is west of the hallway?
43,hallway,,What is north of the kitchen?
44,bathroom,"Answer: kitchen
</question>

Question: What is the bedroom west of? Answer: garden",What is the hallway north of?
45,office,"Answer: kitchen

Question: What is the kitchen west of? Answer: garden

Question: What",What is the bedroom south of?
46,kitchen,"Answer: garden

Question: What is west of the garden? Answer: bedroom

Question: What",What is west of the office?
47,bedroom,,What is south of the office?
48,office,"Answer: office
</question>

</example>
<example>
The office is west of the garden",What is the kitchen east of?
49,hallway,"Answer: bedroom

<example>
The garden is west of the bedroom. The bedroom is west of",What is south of the bathroom?
50,hallway,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is east of the bathroom?
51,bathroom,What is the kitchen north of? What is the bedroom west of? What is the garden east of,What is the office south of?
52,office,What is the bedroom west of? What is the kitchen south of? What is the garden west of,What is the hallway east of?
53,kitchen,"Answer: kitchen

Question: What is the kitchen west of? Answer: garden

Question: What",What is the bedroom south of?
54,kitchen,What is the kitchen east of? What is the bedroom north of? What is the garden south of,What is the hallway west of?
55,bathroom,"Answer: the kitchen
Question: What is the kitchen west of? Answer: the bathroom
Question",What is the bedroom east of?
56,bedroom,,What is the kitchen south of?
57,office,"Answer: garden

Question: What is the garden west of? Answer: kitchen

Question: What",What is the kitchen west of?
58,kitchen,What is the kitchen north of? What is the bedroom west of? What is the garden east of,What is the hallway south of?
59,office,,What is the bedroom east of?
60,bathroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is east of the kitchen?
61,kitchen,"Answer: kitchen

Question: What is the kitchen west of? Answer: bedroom

Question: What",What is the bathroom south of?
62,bedroom,"Answer: bedroom

Question: What is the kitchen south of? Answer: bathroom

Question: What",What is the kitchen north of?
63,kitchen,,What is the garden east of?
64,kitchen,,What is south of the hallway?
65,kitchen,"Answer: garden

Question: What is the garden west of? Answer: garden

Question: What",What is the garden east of?
66,hallway,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is north of the garden?
67,garden,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is the bedroom south of?
68,garden,What is the bedroom north of? What is west of the bedroom? What is east of the bedroom,What is the hallway south of?
69,office,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is west of the kitchen?
70,bedroom,,What is east of the office?
71,hallway,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the kitchen?
72,bedroom,,What is east of the garden?
73,bedroom,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is west of the kitchen?
74,kitchen,What is the kitchen south of? What is the bedroom north of? What is the garden west of,What is the office west of?
75,bathroom,,What is the bedroom west of?
76,office,"Answer: office

Question: What is the office north of? Answer: bathroom

Question: What",What is the bathroom south of?
77,hallway,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is north of the garden?
78,bathroom,,What is west of the bedroom?
79,kitchen,,What is the bedroom north of?
80,bedroom,"Answer: garden
</context>

Question: What is the garden west of? Answer: kitchen",What is the kitchen east of?
81,garden,"Answer: kitchen
Question: What is the bedroom west of? Answer: garden
Question: What",What is the bathroom east of?
82,hallway,"Answer: garden

Question: What is the bedroom west of? Answer: garden

Question: What",What is the garden west of?
83,kitchen,,What is the office north of?
84,bedroom,"Answer: kitchen
</context>

Question: What is west of the bathroom? Answer: garden",What is east of the bathroom?
85,kitchen,What is the kitchen west of? What is the bedroom north of? What is the hallway south of,What is the garden east of?
86,kitchen,"Answer: garden

Question: What is the bedroom north of? Answer: kitchen

Question: What",What is the hallway west of?
87,bathroom,,What is east of the garden?
88,hallway,,What is the office north of?
89,bathroom,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is east of the office?
90,bathroom,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is north of the garden?
91,hallway,,What is east of the bedroom?
92,kitchen,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the hallway?
93,hallway,"Answer: The kitchen

Question: What is west of the bedroom? Answer: The garden

Question",What is north of the garden?
94,kitchen,"Answer: kitchen
</context>

Question: What is the kitchen east of? Answer: bedroom",What is the bathroom west of?
95,bathroom,What is the bedroom south of? What is the kitchen west of? What is the kitchen south of,What is the garden north of?
96,bathroom,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the bedroom?
97,bathroom,"Answer: garden

Question: What is west of the kitchen? Answer: garden

Question: What",What is west of the bedroom?
98,bedroom,"Answer: kitchen

Question: What is the bedroom west of? Answer: garden

Question: What",What is the hallway south of?
99,kitchen,"Answer: kitchen

<example>
The garden is west of the bedroom. The bedroom is west of",What is north of the bedroom?
