,target,output,question
0,Jeff,,Who did Fred give the football to? 
1,Bill,,Who did Mary give the milk to? 
2,Jeff,,Who did Fred give the milk to? 
3,milk,,What did Mary give to Fred? 
4,Fred,,Who received the milk? 
5,apple,,What did Mary give to Jeff? 
6,apple,,What did Mary give to Jeff? 
7,apple,,What did Fred give to Bill? 
8,Jeff,,Who gave the milk to Fred? 
9,Fred,"Answer: Fred

Question: Who gave the apple to Fred? Answer: Mary

Question: Who",Who gave the apple to Mary? 
10,Jeff,,Who received the football? 
11,Jeff,"Answer: Jeff

<example>
Mary picked up the apple there. Mary gave the apple to Fred",Who did Mary give the football to? 
12,milk,,What did Mary give to Bill? 
13,Bill,"Answer: Bill

Question: Who did Mary give the apple to? Answer: Fred

Question:",Who did Mary give the milk to? 
14,milk,,What did Mary give to Bill? 
15,apple,,What did Fred give to Mary? 
16,Mary,,Who received the football? 
17,apple,,What did Fred give to Bill? 
18,Jeff,"Answer: Mary

<example>
Mary picked up the apple there. Mary gave the apple to Fred",Who received the apple? 
19,Bill,"Answer: Bill

<example>
Jeff took the football there. Jeff passed the football to Fred.",Who did Mary give the football to? 
20,Fred,,Who gave the milk to Jeff? 
21,Mary,"Answer: Fred

Question: What did Fred give to Bill? Answer: the apple

Question:",Who received the milk? 
22,Mary,,Who gave the milk? 
23,milk,"Answer: milk

Question: What did Mary give to Bill? Answer: milk

Question: What",What did Bill give to Mary? 
24,milk,,What did Jeff give to Bill? 
25,football,,What did Jeff give to Fred? 
26,Mary,,Who gave the football? 
27,Mary,,Who gave the apple to Bill? 
28,Fred,,Who received the apple? 
29,Mary,,Who gave the milk to Bill? 
30,milk,,What did Mary give to Jeff? 
31,Mary,"Answer: Jeff

<example>
Mary picked up the apple there. Mary gave the apple to Fred",Who gave the milk? 
32,Fred,,Who gave the apple to Mary? 
33,football,,What did Bill give to Mary? 
34,apple,,What did Fred give to Mary? 
35,apple,,What did Fred give to Bill? 
36,Jeff,,Who gave the milk? 
37,Bill,"Answer: Fred

Question: Who did Jeff give the football to? Answer: Jeff

Question:",Who did Mary give the apple to? 
38,Fred,,Who gave the football to Mary? 
39,milk,,What did Mary give to Fred? 
40,milk,,What did Fred give to Mary? 
41,Mary,,Who gave the football? 
42,Fred,,Who received the apple? 
43,Mary,,Who gave the apple? 
44,Fred,,Who gave the apple to Bill? 
45,apple,,What did Fred give to Bill? 
46,Fred,,Who received the apple? 
47,Fred,,Who received the milk? 
48,Mary,"Answer: Mary
</question>
<example>
Mary picked up the apple there. Mary gave the",Who received the football? 
49,apple,,What did Bill give to Mary? 
50,apple,,What did Mary give to Fred? 
51,apple,,What did Fred give to Bill? 
52,apple,,What did Fred give to Bill? 
53,milk,,What did Jeff give to Fred? 
54,Mary,"Answer: Mary

Question: Who gave the apple to Fred? Answer: Mary

Question: Who",Who received the milk? 
55,Jeff,,Who gave the football? 
56,Bill,,Who gave the football to Fred? 
57,Mary,"Answer: Fred
</question>

<example>
Mary gave the apple to Jeff. Jeff journeyed",Who received the football? 
58,Mary,,Who gave the football to Fred? 
59,Jeff,,Who did Bill give the milk to? 
60,Fred,,Who gave the football to Jeff? 
61,Jeff,,Who gave the apple to Fred? 
62,Bill,,Who received the milk? 
63,Jeff,"Answer: Mary

Question: Who did Mary give the apple to? Answer: Fred

Question:",Who did Bill give the apple to? 
64,milk,,What did Mary give to Fred? 
65,Jeff,,Who received the apple? 
66,Jeff,,Who gave the apple to Bill? 
67,apple,,What did Mary give to Fred? 
68,Bill,,Who did Fred give the apple to? 
69,Jeff,,Who gave the apple? 
70,Bill,,Who gave the milk to Fred? 
71,Bill,,Who did Jeff give the football to? 
72,Fred,"Answer: Jeff

<example>
Mary picked up the apple there. Mary gave the apple to Fred",Who gave the milk? 
73,apple,,What did Mary give to Bill? 
74,Jeff,,Who received the milk? 
75,Bill,"Answer: Bill

<example>
Mary picked up the apple there. Mary gave the apple to Fred",Who did Fred give the milk to? 
76,Bill,"Answer: Fred

Question: Who gave the football? Answer: Jeff

Question: Who gave the",Who gave the apple? 
77,Jeff,,Who gave the apple? 
78,Fred,,Who received the football? 
79,football,,What did Mary give to Fred? 
80,Mary,"Answer: Mary
</question>
<example>
Mary picked up the apple there. Mary gave the",Who did Jeff give the apple to? 
81,football,,What did Jeff give to Mary? 
82,Mary,"Answer: Mary
</question>
</example>
</context>",Who received the milk? 
83,milk,,What did Mary give to Fred? 
84,Mary,,Who gave the milk? 
85,Bill,,Who gave the milk to Mary? 
86,Mary,,Who received the football? 
87,Fred,,Who gave the apple? 
88,milk,,What did Fred give to Bill? 
89,Fred,,Who did Bill give the milk to? 
90,Jeff,,Who gave the apple? 
91,Fred,"Answer: Fred

<example>
Mary picked up the apple there. Mary gave the apple to Fred",Who did Bill give the apple to? 
92,Bill,,Who gave the football to Jeff? 
93,Bill,,Who did Jeff give the apple to? 
94,milk,"Answer: milk
Question: Who did Mary give the apple to? Answer: Fred
Question:",What did Mary give to Bill? 
95,Mary,"Answer: Mary

Question: Who did Mary give the apple to? Answer: Fred

Question:",Who did Bill give the milk to? 
96,Mary,"Answer: Bill

<example>
Mary went to the office. Mary went to the kitchen. Mary",Who gave the milk to Jeff? 
97,Fred,"Answer: Mary
</question>

<example>
Mary picked up the apple there. Mary gave the",Who gave the milk? 
98,Bill,"Answer: Bill

Question: Who gave the football? Answer: Fred

Question: Who gave the",Who received the milk? 
99,Fred,"Answer: Fred
</question>
</example>
<example>
Mary picked up the apple there.",Who gave the football? 
