,target,output,question
0,Jeff,"Answer: Jeff

Question: What did Fred give to Jeff? Answer: the football

Question:",Who did Fred give the football to? 
1,Bill,"Answer: Bill

Question: Who did Mary give the apple to? Answer: Fred

Question:",Who did Mary give the milk to? 
2,Jeff,"Answer: Bill

Question: Who did Mary give the apple to? Answer: Fred

Question:",Who did Fred give the milk to? 
3,milk,,What did Mary give to Fred? 
4,Fred,"Answer: Mary

Question: Who gave the football to Fred? Answer: Jeff

Question: Who",Who received the milk? 
5,apple,,What did Mary give to Jeff? 
6,apple,,What did Mary give to Jeff? 
7,apple,"Answer: apple

Question: What did Bill give to Jeff? Answer: football

Question: What",What did Fred give to Bill? 
8,Jeff,"Answer: Bill

Question: Who gave the football to Jeff? Answer: Fred

Question: Who",Who gave the milk to Fred? 
9,Fred,,Who gave the apple to Mary? 
10,Jeff,,Who received the football? 
11,Jeff,,Who did Mary give the football to? 
12,milk,,What did Mary give to Bill? 
13,Bill,"Answer: Bill

Question: Who did Fred give the apple to? Answer: Jeff

Question:",Who did Mary give the milk to? 
14,milk,"Answer: milk
</context>

Question: What did Fred give to Bill? Answer: apple",What did Mary give to Bill? 
15,apple,,What did Fred give to Mary? 
16,Mary,,Who received the football? 
17,apple,,What did Fred give to Bill? 
18,Jeff,,Who received the apple? 
19,Bill,"Answer: Bill

Question: Who did Mary give the apple to? Answer: Fred

Question:",Who did Mary give the football to? 
20,Fred,"Answer: Jeff
</question>

Question: Who gave the milk to Bill? Answer: Bill",Who gave the milk to Jeff? 
21,Mary,"Answer: Mary
</context>

Question: Who gave the milk to Fred? Answer: Mary",Who received the milk? 
22,Mary,,Who gave the milk? 
23,milk,"Answer: milk

Question: Who did Mary give the apple to? Answer: Fred

Question:",What did Bill give to Mary? 
24,milk,"Answer: milk

Question: What did Mary give to Fred? Answer: apple

Question: What",What did Jeff give to Bill? 
25,football,,What did Jeff give to Fred? 
26,Mary,"Answer: Jeff

Question: Who did Mary give the apple to? Answer: Fred

Question:",Who gave the football? 
27,Mary,,Who gave the apple to Bill? 
28,Fred,"Answer: Fred

Question: Who gave the apple to Mary? Answer: Bill

Question: Who",Who received the apple? 
29,Mary,,Who gave the milk to Bill? 
30,milk,Answer: The apple. Mary gave the apple to Fred. Mary gave the apple to Bill. Mary,What did Mary give to Jeff? 
31,Mary,"Answer: Mary

Question: Who gave the apple? Answer: Fred

Question: Who gave the",Who gave the milk? 
32,Fred,,Who gave the apple to Mary? 
33,football,,What did Bill give to Mary? 
34,apple,,What did Fred give to Mary? 
35,apple,"Answer: apple

<example>
Mary picked up the apple there. Mary gave the apple to Fred",What did Fred give to Bill? 
36,Jeff,"Answer: Fred
</question>

</context>",Who gave the milk? 
37,Bill,,Who did Mary give the apple to? 
38,Fred,,Who gave the football to Mary? 
39,milk,,What did Mary give to Fred? 
40,milk,"Answer: Fred gave the milk to Mary.

Question: Who did Mary give the apple to? Answer",What did Fred give to Mary? 
41,Mary,"Answer: Fred

Question: Who did Mary give the apple to? Answer: Bill

Question:",Who gave the football? 
42,Fred,"Answer: Fred
</question>
</example>
</context>

<example>
Mary gave the apple",Who received the apple? 
43,Mary,,Who gave the apple? 
44,Fred,"Answer: Fred
</context>

Question: Who gave the apple to Bill? Answer: Fred",Who gave the apple to Bill? 
45,apple,,What did Fred give to Bill? 
46,Fred,"Answer: Fred

Question: Who gave the apple to Bill? Answer: Fred

Question: Who",Who received the apple? 
47,Fred,"Answer: Fred

Question: Who gave the apple to Mary? Answer: Jeff

Question: Who",Who received the milk? 
48,Mary,"Answer: Fred

Question: Who gave the apple to Jeff? Answer: Mary

Question: Who",Who received the football? 
49,apple,"Answer: apple

Question: Who did Mary give the apple to? Answer: Fred

Question:",What did Bill give to Mary? 
50,apple,"Answer: apple
</context>

Question: Who did Mary give the apple to? Answer: Fred",What did Mary give to Fred? 
51,apple,"Answer: The milk

<example>
Jeff took the football there. Jeff handed the football to Fred",What did Fred give to Bill? 
52,apple,,What did Fred give to Bill? 
53,milk,,What did Jeff give to Fred? 
54,Mary,,Who received the milk? 
55,Jeff,,Who gave the football? 
56,Bill,"Answer: Jeff

Question: Who gave the football to Bill? Answer: Jeff

Question: Who",Who gave the football to Fred? 
57,Mary,"Answer: Mary

Question: Who gave the apple to Fred? Answer: Bill

Question: Who",Who received the football? 
58,Mary,,Who gave the football to Fred? 
