,target,output,question
0,kitchen,"Answer: In the bedroom.
Question: Where is the milk? Answer: In the kitchen.
Question",Where is the football? 
1,garden,"Answer: The milk is in the kitchen.

Question: Where is the football? Answer: The football",Where is the milk? 
2,bedroom,"Answer: The apple is in the bedroom.

Question: Where is the milk? Answer: The milk",Where is the apple? 
3,bedroom,"Answer: In the bedroom.

Question: Where is the milk? Answer: In the bathroom.

Question",Where is the apple? 
4,kitchen,,Where is the apple? 
5,hallway,"Answer: The apple is in the hallway.

Question: Where is the milk? Answer: The milk",Where is the apple? 
6,kitchen,"Answer: The milk is in the kitchen.

Question: Where is the apple? Answer: The apple",Where is the milk? 
7,garden,"Answer: In the milkman's house.
Question: Where is the milkman? Answer: In",Where is the milk? 
8,bedroom,"Answer: In the kitchen.

Question: Where is the milk? Answer: In the kitchen.

Question",Where is the milk? 
9,bathroom,"Answer: The milk is in the kitchen.

Question: Where is the apple? Answer: The apple",Where is the milk? 
10,bathroom,"Answer: The football is in the kitchen.

Question: Where is the milk? Answer: The milk",Where is the football? 
11,bedroom,"Answer: The milk is in the kitchen.

Question: Where is the football? Answer: The football",Where is the milk? 
12,bathroom,"Answer: The apple is in the kitchen.

Question: Where is the milk? Answer: The milk",Where is the apple? 
13,kitchen,"Answer: In the kitchen.

Question: Where is the apple? Answer: In the bedroom.

Question",Where is the football? 
14,bedroom,"Answer: In the apple tree.

Question: Where is the apple? Answer: In the apple tree",Where is the apple? 
15,garden,"Answer: The apple is in the garden.

Question: Where is the screw driver? Answer: The",Where is the apple? 
16,bedroom,"Answer: The football is in the kitchen.
</question>

Question: Where is the dipper?",Where is the football? 
17,bedroom,"Answer: The apple is in the bedroom.
</question>

Question: Where is the bandage?",Where is the apple? 
18,garden,"Answer: The milk is in the kitchen.

Question: Where is the screw driver? Answer: The",Where is the milk? 
19,garden,"Answer: The milk is in the kitchen.

Question: Where is the milk? Answer: The milk",Where is the milk? 
20,office,"Answer: The apple is in the kitchen.

Question: Where is the bottle? Answer: The bottle",Where is the apple? 
21,bedroom,"Answer: In the kitchen.

Question: Where is the laundry? Answer: In the kitchen.

Question",Where is the milk? 
22,garden,,Where is the milk? 
23,bathroom,Answer: The milk is in the kitchen. Question: Where is the milk? Answer: The milk,Where is the milk? 
