,target,output,question
0,bedroom,,What is the bathroom east of?
1,kitchen,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the office?
2,garden,"Answer: garden

Question: What is west of the office? Answer: garden

Question: What",What is north of the office?
3,garden,"Answer: kitchen
</question>

Question: What is the kitchen south of? Answer: bedroom",What is the bedroom north of?
4,garden,"Answer: kitchen

Question: What is the kitchen north of? Answer: bathroom

Question: What",What is the bathroom south of?
5,office,,What is north of the bedroom?
6,bathroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is north of the garden?
7,bedroom,,What is west of the office?
8,kitchen,,What is the garden south of?
9,bathroom,"Answer: office

Question: What is the hallway south of? Answer: bedroom

Question: What",What is the hallway north of?
10,bedroom,,What is south of the hallway?
11,office,,What is east of the bedroom?
12,hallway,,What is north of the garden?
13,bedroom,,What is the garden west of?
14,hallway,,What is east of the bathroom?
15,bathroom,,What is the office west of?
16,bathroom,,What is west of the bedroom?
17,kitchen,,What is north of the hallway?
18,bathroom,,What is south of the kitchen?
19,office,,What is south of the bedroom?
20,bedroom,,What is west of the hallway?
21,office,,What is east of the bedroom?
22,bedroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is the hallway south of?
23,kitchen,,What is west of the bedroom?
24,bedroom,,What is south of the bathroom?
25,hallway,,What is west of the bathroom?
26,office,,What is south of the hallway?
27,bedroom,,What is east of the office?
28,garden,,What is west of the bathroom?
29,kitchen,"Answer: garden
</question>

Question: What is the kitchen south of? Answer: bedroom",What is the garden north of?
30,office,,What is east of the garden?
31,bathroom,,What is south of the hallway?
32,garden,,What is east of the office?
33,bedroom,,What is south of the hallway?
34,garden,"Answer: garden

Question: What is the garden west of? Answer: hallway

Question: What",What is the hallway east of?
35,kitchen,,What is south of the hallway?
36,bathroom,,What is the kitchen west of?
37,kitchen,,What is the bathroom west of?
38,bathroom,"Answer: garden

Question: What is the kitchen south of? Answer: kitchen

Question: What",What is the garden south of?
39,bedroom,"Answer: garden
</question>
</example>
<example>
The garden is west of the bedroom",What is the garden south of?
40,bedroom,,What is west of the bathroom?
41,garden,,What is west of the office?
42,bathroom,,What is west of the hallway?
43,hallway,,What is north of the kitchen?
44,bathroom,"Answer: kitchen

Question: What is the bedroom west of? Answer: garden

Question: What",What is the hallway north of?
45,office,,What is the bedroom south of?
46,kitchen,"Answer: garden

Question: What is west of the kitchen? Answer: garden

Question: What",What is west of the office?
47,bedroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the office?
48,office,,What is the kitchen east of?
49,hallway,,What is south of the bathroom?
50,hallway,,What is east of the bathroom?
51,bathroom,,What is the office south of?
52,office,What is the bedroom west of? What is the garden west of? What is the kitchen west of,What is the hallway east of?
53,kitchen,,What is the bedroom south of?
54,kitchen,,What is the hallway west of?
55,bathroom,"Answer: garden

Question: What is the garden west of? Answer: bedroom

Question: What",What is the bedroom east of?
56,bedroom,,What is the kitchen south of?
57,office,,What is the kitchen west of?
58,kitchen,,What is the hallway south of?
59,office,,What is the bedroom east of?
60,bathroom,,What is east of the kitchen?
61,kitchen,,What is the bathroom south of?
62,bedroom,,What is the kitchen north of?
63,kitchen,"Answer: garden
</question>

Question: What is the kitchen west of? Answer: kitchen",What is the garden east of?
64,kitchen,,What is south of the hallway?
65,kitchen,,What is the garden east of?
66,hallway,,What is north of the garden?
67,garden,,What is the bedroom south of?
68,garden,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is the hallway south of?
69,office,,What is west of the kitchen?
70,bedroom,,What is east of the office?
71,hallway,,What is south of the kitchen?
72,bedroom,"Answer: garden
</context>

Question: What is west of the bedroom? Answer: garden",What is east of the garden?
73,bedroom,,What is west of the kitchen?
74,kitchen,,What is the office west of?
75,bathroom,,What is the bedroom west of?
76,office,"Answer: office

</question>

<example>
The garden is west of the office. The office",What is the bathroom south of?
77,hallway,"Answer: kitchen

Question: What is south of the kitchen? Answer: bedroom

Question: What",What is north of the garden?
78,bathroom,"Answer: garden

<example>
The garden is west of the bedroom. According to Eckhard,[",What is west of the bedroom?
79,kitchen,,What is the bedroom north of?
80,bedroom,,What is the kitchen east of?
81,garden,"Answer: kitchen

<example>
The garden is west of the bathroom. 9, which is",What is the bathroom east of?
82,hallway,,What is the garden west of?
83,kitchen,,What is the office north of?
84,bedroom,,What is east of the bathroom?
85,kitchen,,What is the garden east of?
86,kitchen,,What is the hallway west of?
87,bathroom,,What is east of the garden?
88,hallway,,What is the office north of?
89,bathroom,,What is east of the office?
90,bathroom,,What is north of the garden?
91,hallway,,What is east of the bedroom?
92,kitchen,,What is south of the hallway?
93,hallway,,What is north of the garden?
94,kitchen,,What is the bathroom west of?
95,bathroom,,What is the garden north of?
96,bathroom,,What is south of the bedroom?
97,bathroom,,What is west of the bedroom?
98,bedroom,,What is the hallway south of?
99,kitchen,,What is north of the bedroom?
