,target,output,question
0,Jeff,"Answer: Jeff

Question: Who did Jeff give the football to? Answer: Fred

Question:",Who did Fred give the football to? 
1,Bill,"Answer: Fred
</context>

Question: Who did Mary give the milk to? Answer: Fred",Who did Mary give the milk to? 
2,Jeff,Answer: Fred gave the milk to Jeff.,Who did Fred give the milk to? 
3,milk,"Answer: Fred gave the apple to Mary.

Question: What did Jeff take the football to? Answer",What did Mary give to Fred? 
4,Fred,"Answer: Mary, my lord, but this is too insulting! Do you, my uncle and",Who received the milk? 
5,apple,Answer: The apple. The answer to the question is: Mary gave the apple to Jeff. The,What did Mary give to Jeff? 
6,apple,Answer: The apple. Question: What did Fred give to Mary? Answer: The apple. Question,What did Mary give to Jeff? 
7,apple,"Answer: apple

Question: What did Mary give to Jeff? Answer: apple

Question: What",What did Fred give to Bill? 
8,Jeff,"Answer: Mary

Question: Who gave the milk to Fred? Answer: Mary

Question: Who",Who gave the milk to Fred? 
9,Fred,"Answer: Fred
Question: Who gave the apple to Mary? Answer: Fred
Question: Who",Who gave the apple to Mary? 
10,Jeff,"Answer: Jeff

Question: Who gave the apple to Fred? Answer: Mary

Question: Who",Who received the football? 
11,Jeff,"Answer: Fred
Question: Who did Jeff go to the bathroom to? Answer: Bill
Question",Who did Mary give the football to? 
12,milk,"Answer: The milk.

Question: Who did Mary give the apple to? Answer: Fred.

Question",What did Mary give to Bill? 
13,Bill,"Answer: Bill

Question: Who did Fred give the apple to? Answer: Mary

Question:",Who did Mary give the milk to? 
14,milk,"Answer: milk
</context>

Question: What did Fred give to Bill? Answer: apple",What did Mary give to Bill? 
15,apple,"Answer: The apple

Question: What did Mary give to Fred? Answer: The apple

Question",What did Fred give to Mary? 
16,Mary,"Answer: Mary

Question: Who gave the football to Mary? Answer: Jeff

Question: Who",Who received the football? 
17,apple,"Answer: The apple.

Question: What did Slyme give to Easton? Answer: The apple",What did Fred give to Bill? 
