,target,output,question
0,bedroom,What is the bedroom west of? What is the kitchen south of? What is the kitchen north of,What is the bathroom east of?
1,kitchen,"Answer: kitchen

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the office?
2,garden,Answer: garden. Question: What is west of the bedroom? Answer: garden. Question: What,What is north of the office?
3,garden,"Answer: kitchen
</question>

Question: What is the kitchen south of? Answer: bedroom",What is the bedroom north of?
4,garden,"Answer: kitchen
</context>

Question: What is the kitchen north of? Answer: bedroom",What is the bathroom south of?
5,office,Answer: kitchen. Question: What is south of the kitchen? Answer: bedroom. Question: What,What is north of the bedroom?
6,bathroom,"Answer: the bedroom
</context>

Question: What is south of the garden? Answer: the",What is north of the garden?
7,bedroom,"Answer: bedroom
Question: What is west of the bedroom? Answer: garden
Question: What",What is west of the office?
8,kitchen,What is the bedroom north of? What is the kitchen west of? What is the future? What,What is the garden south of?
9,bathroom,What is the bedroom south of? What is the kitchen south of? What is the kitchen north of,What is the hallway north of?
10,bedroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the hallway?
11,office,"Answer: garden
</question>

Question: What is west of the bedroom? Answer: garden",What is east of the bedroom?
12,hallway,"Answer: bedroom
Question: What is west of the bedroom? Answer: garden
Question: What",What is north of the garden?
13,bedroom,"Answer: garden

Question: What is the kitchen south of? Answer: bedroom

Question: What",What is the garden west of?
14,hallway,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is east of the bathroom?
15,bathroom,,What is the office west of?
16,bathroom,"Answer: garden

Question: What is south of the kitchen? Answer: hallway

Question: What",What is west of the bedroom?
17,kitchen,"Answer: bedroom
Question: What is west of the bedroom? Answer: garden
Question: What",What is north of the hallway?
18,bathroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the kitchen?
19,office,"Answer: The kitchen.

Question: What is west of the bedroom? Answer: The garden.

Question",What is south of the bedroom?
20,bedroom,"Answer: bedroom

Question: What is west of the kitchen? Answer: garden

Question: What",What is west of the hallway?
21,office,"Answer: garden

Question: What is west of the bedroom? Answer: kitchen

Question: What",What is east of the bedroom?
22,bedroom,What is the bedroom north of? What is the kitchen west of? What is the garden east of,What is the hallway south of?
23,kitchen,"Answer: garden

Question: What is west of the kitchen? Answer: garden

Question: What",What is west of the bedroom?
24,bedroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the bathroom?
25,hallway,"Answer: garden

Question: What is east of the bathroom? Answer: bedroom

Question: What",What is west of the bathroom?
26,office,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the hallway?
27,bedroom,"Answer: garden
</context>

Question: What is west of the office? Answer: bedroom",What is east of the office?
28,garden,"Answer: garden

Question: What is north of the kitchen? Answer: bedroom

Question: What",What is west of the bathroom?
29,kitchen,"Answer: garden

Question: What is the bedroom south of? Answer: bedroom

Question: What",What is the garden north of?
30,office,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is east of the garden?
31,bathroom,"Answer: bedroom

Question: What is west of the kitchen? Answer: garden

Question: What",What is south of the hallway?
32,garden,"Answer: garden
Question: What is west of the office? Answer: bedroom
Question: What",What is east of the office?
33,bedroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the hallway?
34,garden,"Answer: bedroom

Question: What is the kitchen west of? Answer: garden

Question: What",What is the hallway east of?
35,kitchen,Answer: The bedroom is south of the kitchen. Question: What is west of the bedroom? Answer,What is south of the hallway?
36,bathroom,"Answer: garden

Question: What is the garden north of? Answer: bedroom

Question: What",What is the kitchen west of?
37,kitchen,,What is the bathroom west of?
38,bathroom,What is the kitchen north of? What is the bedroom west of? What is the kitchen east of,What is the garden south of?
39,bedroom,"Answer: bedroom
</context>

the war, the women of the country were called on to do",What is the garden south of?
40,bedroom,"Answer: bedroom

Question: What is south of the kitchen? Answer: hallway

Question: What",What is west of the bathroom?
41,garden,,What is west of the office?
42,bathroom,"Answer: The bedroom.

Question: What is south of the kitchen? Answer: The hallway.

Question",What is west of the hallway?
43,hallway,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is north of the kitchen?
44,bathroom,Answer: bedroom. Question: What is the kitchen south of? Answer: garden. Question: What,What is the hallway north of?
45,office,Answer: The bedroom is north of the kitchen. The kitchen is south of the bedroom. The kitchen,What is the bedroom south of?
46,kitchen,"Answer: garden

Question: What is north of the kitchen? Answer: bedroom

Question: What",What is west of the office?
47,bedroom,"Answer: bedroom

Question: What is west of the kitchen? Answer: garden

Question: What",What is south of the office?
48,office,"Answer: bedroom
</question>

Question: What is the bedroom west of? Answer: garden",What is the kitchen east of?
49,hallway,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the bathroom?
50,hallway,"Answer: kitchen
</question>
</example>
<example>
The kitchen is east of the garden",What is east of the bathroom?
51,bathroom,What is the kitchen north of? What is the bedroom west of? What is the garden east of,What is the office south of?
52,office,"Answer: bedroom

Question: What is the kitchen south of? Answer: kitchen

Question: What",What is the hallway east of?
53,kitchen,"Answer: the kitchen

Question: What is the kitchen north of? Answer: the bedroom

Question",What is the bedroom south of?
54,kitchen,"Answer: the kitchen
</question>

Question: What is the bedroom north of? Answer: the",What is the hallway west of?
55,bathroom,"Answer: kitchen
Question: What is the kitchen north of? Answer: bathroom
Question: What",What is the bedroom east of?
56,bedroom,"Answer: bedroom

Question: What is the kitchen west of? Answer: garden

Question: What",What is the kitchen south of?
57,office,"Answer: garden
</context>

Question: What is the kitchen south of? Answer: bedroom",What is the kitchen west of?
58,kitchen,What is the bedroom north of? What is the kitchen west of? What is the garden east of,What is the hallway south of?
59,office,What is the kitchen west of? What is the kitchen north of? What is the kitchen south of,What is the bedroom east of?
60,bathroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is east of the kitchen?
61,kitchen,"Answer: kitchen
</context>

Question: What is the kitchen north of? Answer: the bathroom",What is the bathroom south of?
62,bedroom,"Answer: bedroom

Question: What is the bedroom south of? Answer: kitchen

Question: What",What is the kitchen north of?
63,kitchen,"Answer: kitchen

Question: What is the kitchen west of? Answer: garden

Question: What",What is the garden east of?
64,kitchen,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the hallway?
65,kitchen,"Answer: garden
</question>

Question: What is the kitchen south of? Answer: bedroom",What is the garden east of?
66,hallway,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is north of the garden?
67,garden,"Answer: kitchen
</context>

Question: What is the kitchen north of? Answer: bedroom",What is the bedroom south of?
68,garden,"Answer: bedroom

Question: What is the garden west of? Answer: bedroom

Question: What",What is the hallway south of?
69,office,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is west of the kitchen?
70,bedroom,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is east of the office?
71,hallway,"Answer: bedroom.

Question: What is west of the bedroom? Answer: garden.

Question: What",What is south of the kitchen?
72,bedroom,Answer: the hallway. Question: What is west of the garden? Answer: the bedroom. Question,What is east of the garden?
73,bedroom,"Answer: garden

Question: What is north of the kitchen? Answer: bedroom

Question: What",What is west of the kitchen?
74,kitchen,"Answer: kitchen
Question: What is the office east of? Answer: bedroom
Question: What",What is the office west of?
75,bathroom,"Answer: garden

Question: What is the kitchen south of? Answer: bedroom

Question: What",What is the bedroom west of?
76,office,"Answer: kitchen
Question: What is the bedroom north of? Answer: kitchen
Question: What",What is the bathroom south of?
77,hallway,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is north of the garden?
78,bathroom,"Answer: garden

Question: What is west of the kitchen? Answer: garden

Question: What",What is west of the bedroom?
79,kitchen,"Answer: kitchen

Question: What is the kitchen south of? Answer: bedroom

Question: What",What is the bedroom north of?
80,bedroom,Answer: the kitchen is east of the hallway.,What is the kitchen east of?
81,garden,"Answer: bedroom
</context>

Question: What is the kitchen south of? Answer: bedroom",What is the bathroom east of?
82,hallway,,What is the garden west of?
83,kitchen,Answer: The kitchen. Question: What is the office south of? Answer: The bedroom. Question,What is the office north of?
84,bedroom,"Answer: the bedroom

Question: What is west of the bedroom? Answer: the kitchen

Question",What is east of the bathroom?
85,kitchen,"Answer: The kitchen
</context>

Question: What is the garden west of? Answer: The",What is the garden east of?
86,kitchen,What is the garden east of? What is the kitchen north of? What is the bedroom south of,What is the hallway west of?
87,bathroom,Answer: The garden is east of the kitchen. The kitchen is east of the garden. The garden,What is east of the garden?
88,hallway,Answer: The kitchen is north of the office. Question: What is the office south of? Answer,What is the office north of?
