,target,output,question
0,bathroom,"Answer: Mary is in the bathroom. She is washing her hands. She is
washing her hands",Where is Mary? 
1,kitchen,,Where is Sandra? 
2,kitchen,"Answer: The most recent location of Mary is the kitchen.

Question: Where is John? Answer:",Where is Mary? 
3,kitchen,,Where is John? 
4,bedroom,Answer: She is in the bedroom. Question: Where is Sandra? Answer: She is in the,Where is Sandra? 
5,office,"Answer: He is in the office.

Question: Where is Sandra? Answer: She is in the",Where is John? 
6,garden,"Answer: The most recent location of Mary is the office.

Question: Where is Alan? Answer:",Where is Mary? 
7,bathroom,,Where is Sandra? 
8,kitchen,,Where is Mary? 
9,bedroom,"Answer: The most recent location of John is the bedroom.
</question>

<example>
The most",Where is John? 
10,office,"Answer: The most recent location of Daniel is the office.

<example>
Daniel went to the office",Where is Daniel? 
11,office,Answer: The most recent location of Daniel is the office.,Where is Daniel? 
12,bathroom,What is the most recent location of Mary? What is the most recent location of Aggie? What,Where is Mary? 
13,bathroom,Answer: The most recent location of Sandra is bathroom.,Where is Sandra? 
14,bathroom,,Where is Sandra? 
15,hallway,,Where is Mary? 
16,kitchen,"Answer: The most recent location of Sandra is the bathroom.
</question>

Question: Where is Daniel",Where is Sandra? 
17,office,What is the most recent location of Daniel?,Where is Daniel? 
18,kitchen,"Answer: The most recent location of Sandra is the hallway.

Question: Where is Mary? Answer:",Where is Sandra? 
19,bedroom,"Answer: The most recent location of John is the kitchen.

Question: Where is Charlie? Answer:",Where is John? 
20,hallway,"Answer: The most recent location of Sandra is the hallway.

Question: Where is Daniel? Answer:",Where is Sandra? 
21,bedroom,,Where is Mary? 
22,bedroom,"Answer: The most recent location of John is the bedroom.

Question: Where is Agricola?",Where is John? 
23,bedroom,,Where is Mary? 
24,bedroom,"Answer: The most recent location of Mary is the bedroom.
</context>

Question: Where is Daniel",Where is Mary? 
25,garden,"Answer: The most recent location of Mary is the hallway.

Question: Where is Judith? Answer:",Where is Mary? 
26,bedroom,What is the most recent location of Daniel?,Where is Daniel? 
27,office,"Answer: The most recent location of Sandra is the hallway.

Question: Where is Graves? Answer:",Where is Sandra? 
28,office,"Answer: The most recent location of Sandra is the office.

Question: Where is Alan? Answer:",Where is Sandra? 
29,garden,,Where is Sandra? 
30,garden,Answer: The most recent location of Daniel is the garden.,Where is Daniel? 
31,bathroom,Answer: The most recent location of Mary is the kitchen.,Where is Mary? 
32,office,,Where is Mary? 
33,kitchen,Answer: Sandra is in the garden. Sandra is in the garden. Sandra is in the garden.,Where is Sandra? 
