,target,output,question
0,bedroom,"Answer: kitchen
</context>

Question: What is the kitchen west of? Answer: bedroom",What is the bathroom east of?
1,kitchen,"Answer: kitchen

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the office?
2,garden,What is south of the office? What is west of the office? What is east of the office,What is north of the office?
3,garden,"Answer: garden
</context>

Question: What is the kitchen south of? Answer: bedroom",What is the bedroom north of?
4,garden,"Answer: kitchen

Question: What is the kitchen north of? Answer: bedroom

Question: What",What is the bathroom south of?
5,office,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is north of the bedroom?
6,bathroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is north of the garden?
7,bedroom,"Answer: bedroom
</question>

Question: What is west of the kitchen? Answer: bedroom",What is west of the office?
8,kitchen,"Answer: garden

Question: What is the bedroom west of? Answer: garden

Question: What",What is the garden south of?
9,bathroom,"Answer: The office
Question: What is the kitchen south of? Answer: The bedroom
Question",What is the hallway north of?
10,bedroom,What is west of the bedroom? What is north of the kitchen? What is east of the kitchen,What is south of the hallway?
11,office,"Answer: the kitchen

Question: What is west of the bedroom? Answer: the garden

Question",What is east of the bedroom?
12,hallway,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is north of the garden?
13,bedroom,"Answer: garden
</context>

Question: What is the bedroom west of? Answer: bedroom",What is the garden west of?
14,hallway,"Answer: the garden
</context>

Question: What is west of the bathroom? Answer: the",What is east of the bathroom?
15,bathroom,"Answer: office

Question: What is the office east of? Answer: office

Question: What",What is the office west of?
16,bathroom,"Answer: garden

Question: What is west of the kitchen? Answer: garden

Question: What",What is west of the bedroom?
17,kitchen,"Answer: bedroom
</question>
</example>
</context>
</example>
</example>
</",What is north of the hallway?
18,bathroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the kitchen?
19,office,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the bedroom?
20,bedroom,"Answer: bedroom

Question: What is south of the kitchen? Answer: garden

Question: What",What is west of the hallway?
21,office,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is east of the bedroom?
22,bedroom,"Answer: bedroom
Question: What is west of the bedroom? Answer: garden
Question: What",What is the hallway south of?
23,kitchen,"Answer: garden
Question: What is west of the kitchen? Answer: garden
Question: What",What is west of the bedroom?
24,bedroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the bathroom?
25,hallway,"Answer: garden

Question: What is south of the kitchen? Answer: bedroom

Question: What",What is west of the bathroom?
26,office,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the hallway?
27,bedroom,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is east of the office?
28,garden,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is west of the bathroom?
29,kitchen,"Answer: garden

Question: What is the bedroom west of? Answer: bedroom

Question: What",What is the garden north of?
30,office,"Answer: the kitchen
Question: What is west of the garden? Answer: the bedroom
Question",What is east of the garden?
31,bathroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the hallway?
32,garden,"Answer: garden

Question: What is west of the office? Answer: bedroom

Question: What",What is east of the office?
33,bedroom,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the hallway?
34,garden,What is the kitchen west of? What is the bedroom north of? What is the garden south of,What is the hallway east of?
35,kitchen,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the hallway?
36,bathroom,Answer: The hallway is west of the kitchen. The bedroom is north of the kitchen. What is,What is the kitchen west of?
37,kitchen,"Answer: the garden

Question: What is the garden west of? Answer: the kitchen

Question",What is the bathroom west of?
38,bathroom,"Answer: garden
</question>

Question: What is the kitchen west of? Answer: kitchen",What is the garden south of?
39,bedroom,"Answer: garden

Question: What is the kitchen south of? Answer: bedroom

Question: What",What is the garden south of?
40,bedroom,"Answer: bedroom
</context>

Question: What is south of the kitchen? Answer: hallway",What is west of the bathroom?
41,garden,"Answer: garden

Question: What is west of the bedroom? Answer: garden

Question: What",What is west of the office?
42,bathroom,"Answer: garden

Question: What is south of the kitchen? Answer: bedroom

Question: What",What is west of the hallway?
43,hallway,"Answer: bedroom
Question: What is west of the bedroom? Answer: garden
Question: What",What is north of the kitchen?
44,bathroom,What is the kitchen south of? What is the bedroom west of? What is the garden east of,What is the hallway north of?
45,office,"Answer: the kitchen

Question: What is the kitchen north of? Answer: the bedroom

Question",What is the bedroom south of?
46,kitchen,"Answer: kitchen
Question: What is west of the kitchen? Answer: office
Question: What",What is west of the office?
47,bedroom,"Answer: bedroom

Question: What is south of the hallway? Answer: kitchen

Question: What",What is south of the office?
48,office,"Answer: the office

Question: What is the office west of? Answer: the kitchen

Question",What is the kitchen east of?
49,hallway,"Answer: bedroom

Question: What is west of the bedroom? Answer: garden

Question: What",What is south of the bathroom?
50,hallway,"Answer: hallway

Question: What is west of the bathroom? Answer: bedroom

Question: What",What is east of the bathroom?
51,bathroom,"Answer: The garden
</context>

Question: What is the kitchen west of? Answer: The",What is the office south of?
52,office,What is the garden west of? What is the bedroom north of? What is the kitchen south of,What is the hallway east of?
53,kitchen,What is the kitchen north of? What is the garden west of? What is the Lizard Point,What is the bedroom south of?
