,target,output,question
0,Jeff,"Answer: Jeff

Question: Who did Mary give the apple to? Answer: Fred

Question:",Who did Fred give the football to? 
1,Bill,"Answer: Bill

Question: Who did Mary give the apple to? Answer: Fred

Question:",Who did Mary give the milk to? 
2,Jeff,"Answer: Bill

Question: Who did Mary give the apple to? Answer: Jeff

Question:",Who did Fred give the milk to? 
3,milk,"Answer: apple
Question: Who did Mary give the apple to? Answer: Bill
Question:",What did Mary give to Fred? 
4,Fred,"Answer: Mary

Question: Who gave the milk to Fred? Answer: Fred

Question: Who",Who received the milk? 
5,apple,"Answer: apple

Question: What did Fred give to Mary? Answer: apple

Question: What",What did Mary give to Jeff? 
6,apple,"Answer: The apple

Question: What did Fred give to Mary? Answer: The apple

Question",What did Mary give to Jeff? 
7,apple,"Answer: Bill

Question: What did Jeff give to Fred? Answer: Jeff

Question: What",What did Fred give to Bill? 
8,Jeff,"Answer: Jeff

Question: Who gave the football to Bill? Answer: Jeff

Question: Who",Who gave the milk to Fred? 
9,Fred,Fred. Mary gave the apple to Fred. Bill gave the apple to Mary. Fred gave the apple,Who gave the apple to Mary? 
10,Jeff,"Answer: Jeff

Question: Who gave the apple to Mary? Answer: Fred

Question: Who",Who received the football? 
11,Jeff,,Who did Mary give the football to? 
12,milk,"Answer: milk

Question: Who did Mary give the apple to? Answer: Fred

Question:",What did Mary give to Bill? 
13,Bill,"Answer: Bill
Question: Who did Mary give the apple to? Answer: Fred
Question:",Who did Mary give the milk to? 
14,milk,"Answer: milk

Question: What did Fred give to Bill? Answer: apple

Question: What",What did Mary give to Bill? 
15,apple,,What did Fred give to Mary? 
16,Mary,"Answer: Mary

Question: Who gave the football to Mary? Answer: Jeff

Question: Who",Who received the football? 
17,apple,"Answer: apple
</context>

Question: What did Bill give to Fred? Answer: apple",What did Fred give to Bill? 
18,Jeff,"Answer: Fred
</context>

Question: Who gave the football to Jeff? Answer: Bill",Who received the apple? 
19,Bill,"Answer: Fred

Question: Who did Mary give the apple to? Answer: Bill

Question:",Who did Mary give the football to? 
20,Fred,"Answer: Bill

Question: Who did Mary give the apple to? Answer: Fred

Question:",Who gave the milk to Jeff? 
21,Mary,"Answer: Mary
</question>

Question: Who gave the milk to Fred? Answer: Mary",Who received the milk? 
22,Mary,"Answer: Fred

Question: Who gave the milk? Answer: Mary

Question: Who gave the",Who gave the milk? 
23,milk,"Answer: The milk

Question: What did Mary give to Fred? Answer: The apple

Question",What did Bill give to Mary? 
24,milk,Answer: Bill journeyed to the kitchen. Jeff gave the milk there.,What did Jeff give to Bill? 
25,football,"Answer: football

Question: Who did Mary give the apple to? Answer: Fred

Question:",What did Jeff give to Fred? 
26,Mary,"Answer: Jeff

Question: Who gave the apple to Bill? Answer: Mary

Question: Who",Who gave the football? 
27,Mary,"Answer: Mary
Question: Who gave the football to Mary? Answer: Jeff
Question: Who",Who gave the apple to Bill? 
