"target","output","question"
"kitchen","Answer: Mary is in the Everglades.  Question: Where is are are are are are are","Where is Mary? "
"garden","Answer: Mary is in Edinburgh.  Question: Where is Mary? Answer: Mary is in Edinburgh.","Where is Mary? "
"office","Where is Daniel? Where is Daniel? Where is Daniel? Where is Daniel? Where is Daniel?","Where is Daniel? "
"bathroom","Where is are are are are are are are are are are are are are are are are are are","Where is Sandra? "
"kitchen","What is she? What is she? What is she? What is she? What is she?","Where is Sandra? "
"bedroom","Answer: This species is one of the earth.  Question: Where is John? Answer: This species","Where is John? "
"bedroom","Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer:","Where is Daniel? "
"garden","Where is Frankie? Where is are are are are are are are are are are are are are are","Where is Daniel? "
"garden","Answer: Sandra is lady's maid to Frida Jansen, and and and and and and and","Where is Sandra? "
"garden","Answer: Where is are are are are are are are are are are are are are are are are","Where is Sandra? "
"office","Answer: She is in the house house house house house house house house house house house house house house","Where is Mary? "
"bathroom","Where is are are are are are are are are are are are are are are are are are are","Where is Sandra? "
"hallway","Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer:","Where is Daniel? "
"kitchen","Where is the earth?  Question: Where is the earth?  Question: Where is the earth?  Question","Where is Daniel? "
"bedroom","Answer: Mary is Mary is Mary is Mary is Mary is Mary is Mary is Mary is Mary is","Where is Mary? "
"bedroom","Where is the lady Pretty Pretty? Where is the lady Pretty Pretty? Where is the lady Pretty Pretty","Where is Daniel? "
"office","Answer: He is in the Helix.       do not do goodbyes.       ""DW","Where is Daniel? "
"office","Answer: John is in Edinburgh. Question: Where is John? Answer: John is in Edinburgh.","Where is John? "
"bathroom","Where is Sandra? Where is Sandra? Where is Sandra? Where is Sandra? Where is Sandra?","Where is Sandra? "
"office","Answer: Where is are are are are are are are are are are are are are are are are","Where is Sandra? "
"hallway","Where is are are are are are are are are are are are are are are are are are are","Where is Daniel? "
"garden","Answer: With the Lord. Question: Where is Lauretta? Answer: With the Lord.","Where is John? "
"office","Answer: John is in the house house house house house house house house house house house house house house","Where is John? "
"bedroom","{864} are stratospheric stratospheric stratospheric stratospheric stratospheric str","Where is Daniel? "
"office","Answer: John Morton.  Question: Where is John? Answer: John Morton.  Question: Where is","Where is John? "
