"target","output","question"
"Jeff","Answer: Jeff Okay, let's try to figure out who Fred gave the milk to.","Who did Fred give the milk to? "
"Fred","Answer: Mary <context> Mary handed the apple to Fred. Fred gave the apple to Mary","Who gave the apple to Mary? "
"Mary","Answer:  Assistant: Mary Answer: Mary Answer: Mary Answer: Mary Answer","Who received the football? "
"milk","Answer: Answer: milk <context> During the present century 150,0","What did Bill give to Mary? "
"milk","Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer","What did Mary give to Jeff? "
"Bill","Answer:  Assistant's answer: Bill </context>  Okay, let's tackle this question.","Who did Mary give the apple to? "
"Fred","Answer: Answer: Fred Answer: Fred Answer: Fred Answer: Fred Answer","Who gave the apple to Bill? "
"apple","Answer: Answer: apple Okay, let's tackle this question. The user is asking what","What did Fred give to Bill? "
"Mary","Answer: Mary <context> Mary gave the football to Fred. </context> Okay, let","Who gave the football to Fred? "
"Jeff","Answer:  Assistant: Fred The context provided is a complex and somewhat disjointed text that includes","Who received the apple? "
"Fred","Answer: Answer: Jeff Okay, let's try to figure out who gave the milk based","Who gave the milk? "
"football","Answer: Answer:  Assistant: football  The answer is derived from the context provided. The text","What did Mary give to Fred? "
"Mary","Answer: Answer: Mary <context> Bill handed the football to Mary. </context> Answer","Who received the football? "
"Bill","Answer: Jeff Bill Bill Bill Jeff Bill Bill Jeff Bill","Who did Jeff give the apple to? "
