"target","output","question"
"kitchen","1","Where is the football? "
"garden","bathroom","Where is the milk? "
"bedroom","Jeff","Where is the apple? "
"bedroom","Jeff","Where is the apple? "
"kitchen","Mary","Where is the apple? "
"hallway","Jeff","Where is the apple? "
"kitchen","office","Where is the milk? "
"garden","office","Where is the milk? "
"bedroom","office","Where is the milk? "
"bathroom","Jeff","Where is the milk? "
"bathroom","bathroom","Where is the football? "
"bedroom","Mary picked up the milk there. Mary discarded the milk. </context>  Question: Where is the","Where is the milk? "
"bathroom","garden","Where is the apple? "
"kitchen","Mary","Where is the football? "
"bedroom","Jeff","Where is the apple? "
"garden","Jeff","Where is the apple? "
"bedroom","garden","Where is the football? "
"bedroom","garden","Where is the apple? "
"garden","Jeff","Where is the milk? "
"garden","office","Where is the milk? "
"office","Jeff","Where is the apple? "
"bedroom","Jeff","Where is the milk? "
"garden","Jeff","Where is the milk? "
"bathroom","office","Where is the milk? "
"office","office","Where is the apple? "
"garden","Mary","Where is the football? "
"garden","office","Where is the football? "
"bedroom","office","Where is the apple? "
"hallway","office","Where is the apple? "
"hallway","garden","Where is the apple? "
"hallway","bathroom","Where is the apple? "
"garden","office","Where is the football? "
"hallway","Jeff","Where is the apple? "
"kitchen","garden","Where is the football? "
"hallway","office","Where is the milk? "
"kitchen","Jeff","Where is the apple? "
"office","office","Where is the milk? "
"hallway","milk","Where is the milk? "
"bathroom","Jeff","Where is the milk? "
"bathroom","bathroom","Where is the milk? "
"bathroom","Jeff","Where is the football? "
"hallway","garden","Where is the football? "
"garden","office","Where is the apple? "
"bedroom","Mary","Where is the apple? "
"kitchen","Jeff","Where is the milk? "
"bedroom","bathroom","Where is the milk? "
"hallway","Jeff","Where is the apple? "
"garden","office","Where is the milk? "
"kitchen","Jeff","Where is the football? "
"bathroom","office","Where is the football? "
"garden","bathroom","Where is the milk? "
"bedroom","bathroom","Where is the apple? "
"hallway","bathroom","Where is the milk? "
"hallway","Jeff","Where is the milk? "
"office","garden","Where is the milk? "
"kitchen","Jeff","Where is the apple? "
"bathroom","office","Where is the milk? "
"bathroom","Jeff","Where is the milk? "
"office","office","Where is the football? "
"garden","office","Where is the football? "
"kitchen","Jeff","Where is the apple? "
"bathroom","office","Where is the apple? "
"garden","bathroom","Where is the football? "
"bathroom","office","Where is the milk? "
"bathroom","bathroom","Where is the milk? "
"hallway","Jeff","Where is the milk? "
"bedroom","office","Where is the football? "
"garden","Mary","Where is the football? "
"bedroom","garden","Where is the football? "
"bathroom","Mary","Where is the apple? "
"garden","Jeff","Where is the milk? "
"office","Jeff","Where is the milk? "
"office","Mary","Where is the football? "
"hallway","garden","Where is the football? "
"garden","Jeff","Where is the football? "
"office","office","Where is the milk? "
"kitchen","bathroom","Where is the football? "
"office","Jeff","Where is the milk? "
"kitchen","office","Where is the apple? "
"kitchen","office","Where is the football? "
"office","Mary","Where is the football? "
"kitchen","Mary","Where is the apple? "
"office","Jeff","Where is the apple? "
"bathroom","Mary","Where is the football? "
"bathroom","bathroom","Where is the football? "
"office","office","Where is the milk? "
"bathroom","Mary","Where is the apple? "
"bedroom","bathroom","Where is the milk? "
"hallway","garden","Where is the apple? "
"bedroom","office","Where is the milk? "
"bedroom","office","Where is the apple? "
"bathroom","Jeff","Where is the football? "
"bedroom","office","Where is the football? "
"bedroom","Jeff","Where is the football? "
"bedroom","Mary","Where is the apple? "
"kitchen","Mary","Where is the football? "
"garden","milk","Where is the milk? "
"office","Jeff","Where is the milk? "
"bedroom","office","Where is the milk? "
"kitchen","Mary","Where is the apple? "
