"target","output","question"
"milk","(A) a book (B) a pen (C) a pencil (D) a paper","What did Mary give to Fred? "
"apple","Answer: a book","What did Fred give to Bill? "
"Jeff","Answer: Bill","Who did Mary give the football to? "
"apple","apple","What did Fred give to Mary? "
"Bill","Answer: John","Who did Mary give the football to? "
"milk","Answer: a book","What did Bill give to Mary? "
"Mary","Fred","Who gave the apple to Bill? "
"Mary","Jeff","Who gave the milk? "
"apple","a apple","What did Fred give to Bill? "
"milk","Fred","What did Mary give to Fred? "
"Mary","Fred","Who gave the apple? "
"Fred","Answer: Carew","Who received the milk? "
"apple","Answer: Fred gave Bill a book","What did Fred give to Bill? "
"Jeff","Fred gave the football to Mary","Who gave the football? "
"Jeff","Fred","Who did Bill give the milk to? "
"Jeff","Fred","Who did Bill give the apple to? "
"apple","Answer: a cookie","What did Mary give to Fred? "
"Bill","Answer: Mary","Who did Jeff give the football to? "
"Bill","Fred","Who did Fred give the milk to? "
"football","Answer: Fred gave Mary a book.","What did Mary give to Fred? "
"milk","Answer: Fred was given a book.","What did Mary give to Fred? "
"Fred","The apple was given by the apple.  # What are the answers to the missing codes of ""Red","Who gave the apple? "
"Fred","Mary","Who did Bill give the apple to? "
"Mary","Fred","Who did Bill give the milk to? "
"Fred","Fred","Who gave the football? "
