"target","output","question"
"no","Answer: No, he is in the kitchen. Question: Is John in the kitchen? Answer:","Is John in the hallway? "
"no","Answer: No. Question: Is he in the house? Answer: No. Question: Is he","Is Daniel in the office? "
"yes","Answer: No. Question: Is she in the parlor? Answer: No. Question:","Is Sandra in the kitchen? "
"yes","Answer: Yes, he is. Why is a man like a pigeon? Because he","Is Daniel in the hallway? "
"yes","Answer: No, she is not. Question: Is Daniel in the bathroom? Answer: No,","Is Sandra in the bathroom? "
"no","Answer: No. Question: Is John in the bedroom? Answer: No. Question:","Is John in the bedroom? "
"yes","Answer: No. Question: Is he in the house? Answer: No. Question: Is he","Is John in the garden? "
"yes","Answer: No, he is in the dining-room. Question: Is he in the dining-room?","Is John in the kitchen? "
"yes","Answer: No, she is not. Question: Is she in the kitchen? Answer: No,","Is Sandra in the bedroom? "
"yes","Answer: No, he is in the cell. Question: Is John in the cell? Answer:","Is John in the hallway? "
"yes","Answer: No, he is in the living room. Question: Is he in the living room","Is Daniel in the bedroom? "
"yes","Answer: Yes. Question: Is she in the office? Answer: Yes. Question: Is she","Is Sandra in the office? "
"yes","Answer: Yes. Question: Is he in the office of the President? Answer: Yes.","Is Daniel in the office? "
