"target","output","question"
"kitchen","Answer: The football is in the garden. Question: Where is the milk? Answer: The milk","Where is the football? "
"bedroom","Answer: The milk is in the bathroom. Question: Where is the football? Answer: The football","Where is the milk? "
"bedroom","Answer: The football is in the bedroom. Question: Where is the bottle? Answer: The bottle","Where is the football? "
"office","Answer: The apple is in the bedroom. Question: Where is the apple? Answer: The apple","Where is the apple? "
"hallway","Answer: The apple is in the bathroom.","Where is the apple? "
"bathroom","Answer: The football is in the bedroom.","Where is the football? "
"kitchen","Answer: The football is in the hallway.","Where is the football? "
"bathroom","Answer: The milk is in the kitchen. Question: Where is the football? Answer: The football","Where is the milk? "
"bathroom","Answer: The milk is in the kitchen. Question: Where is the bottle? Answer: The bottle","Where is the milk? "
"office","Answer: The football is in the garden. Question: Where is the milk? Answer: The milk","Where is the football? "
"office","Answer: The football is in the garden. Question: Where is the football? Answer: The football","Where is the football? "
"hallway","Answer: Mary discarded the apple.","Where is the apple? "
"garden","Answer: Mary discarded the milk.","Where is the milk? "
