"target","output","question"
"kitchen","He is in the church of San Marco, and he is looking at the mosaics.","Where is John? "
"bathroom","""I am well, my father; but I have not seen my mother, and I am","Where is Sandra? "
"office","Answer: He was never so mortified.     Context: ""I am a smart fellow, when","Where is Daniel? "
"hallway","I can't find her. I'm sure she's here. I'm sure she's here.","Where is Mary? "
"bedroom","The proportions of the order have never yet been excelled, and there is just that balance between","Where is John? "
"bedroom","Answer: She is in the kitchen.     Question: What is she doing?     Answer: She","Where is Mary? "
"office","Answer: The kitchen.     Question: What is the name of the man who was the first to","Where is Sandra? "
"bathroom","What is her father's name? What is her father's profession? What is her father's opinion","Where is Mary? "
"kitchen","--Answer: She is in the room.  The information is in the context.  The information is in","Where is Sandra? "
"bathroom","I don't see her anywhere.  Answer: She is in the garden. From all over the","Where is Sandra? "
"bedroom","_Sunday._--We went to church and heard a very good sermon. _Monday._--","Where is Mary? "
"bedroom","I have been waiting for her. I have been waiting for her for the last two hours.","Where is Sandra? "
"bedroom","She was urged to claim Provence, which had become her own if Louis XVIII. A pressure","Where is Sandra? "
"hallway","What is she doing?  Answer: She is in the hallway.  Question: What is Jimmy doing?","Where is Mary? "
"bedroom","I am not sure if I am going to be able to find her. I am not sure","Where is Sandra? "
"garden","He was not in the room. He was not in the library. He was not in the","Where is John? "
"bedroom","[Footnote 194: The Caelestine.--Ver. The Sibylline","Where is Mary? "
"kitchen","[511] I have been the victim, the victim, of the people, and of the","Where is Daniel? "
"office","--Thomas Paine. My reclamation is for a man who has honored his age by his","Where is John? "
"bathroom","I can't find him.  Answer: He's in the kitchen.  Question: What's he doing","Where is John? "
"bathroom","He was not at the dinner, and no one had seen him since the morning. He had","Where is Daniel? "
"bedroom","What is he doing?  Answer: He is in the bedroom.  Question: What is the name of","Where is John? "
"bedroom","(1:1-2:49) Answer: In the lions' den. (2:","Where is Daniel? "
"hallway","I have not seen her for a long time. I have not seen her for a long time","Where is Sandra? "
"garden","She is in the kitchen, and she is serving the guests.  Answer: She is in","Where is Sandra? "
