"target","output","question"
"bathroom","Answer: In the kitchen. Question: Where is the kitchen? Answer: In the house.","Where is Mary? "
"bedroom","Answer: In the kitchen, making a cake. Question: What is the name of the little girl","Where is Sandra? "
"kitchen","(IV. 1)    1.  Where is Mary? (IV. 1","Where is Mary? "
"bathroom","Answer: In the kitchen.  Question: What is the name of the little girl who gave Jack the","Where is Mary? "
"kitchen","What is the name of the river which flows through it? What is the name of the river","Where is Sandra? "
"hallway","Answer: She is in the kitchen. Question: Where is the kitchen? Answer: It is","Where is Sandra? "
"bedroom","Sandra: She is in the kitchen. Question: What is she doing? Sandra: She is making","Where is Mary? "
"office","What is she doing?  Answer: Sandra is in the kitchen. She is making a cake.  Question","Where is Sandra? "
"office","Answer: In the hospital. Question: What is Mary doing? Answer: She is nursing the","Where is Mary? "
"kitchen","Answer: In the kitchen.  Question: What is the name of the painter who posed her for six","Where is Sandra? "
"bedroom","What is she doing? What is she thinking of?  Answer: She is in the house of her","Where is Mary? "
"office","Answer: In the garden. Question: What is Mary to do? Answer: To turn to","Where is Daniel? "
"office","Answer: In the West Woods.  Question: What is the name of the woods? Answer: The","Where is Daniel? "
"office","Answer: He is in the house. Question: Where is the house? Answer: It is","Where is John? "
"hallway","I have not seen her for a long time. I have not seen her since the day of","Where is Sandra? "
"bedroom","Answer: In the lion's den. Question: Where is the lion? Answer: In the","Where is Daniel? "
"bathroom","Answer: In the net. Question: Where is the net? Answer: In the trap.","Where is Sandra? "
"garden","Footnote 284:    [The name is now written San Donato, and the church is","Where is Sandra? "
"bedroom","Answer: In the kitchen. Question: What is he doing? Answer: Eating a pudding. Question","Where is John? "
"hallway","What is she doing?  Answer: Mary is in the kitchen, washing the dishes.  Question: What","Where is Mary? "
"hallway","What is he doing? What is the meaning of the colors in Egypt and Mayab? What","Where is John? "
"bathroom","Answer: In the kitchen.  Question: What is he doing? Answer: Making a fire.  Question","Where is John? "
"office","I don't know.  I don't know.  I don't know.  I","Where is Mary? "
"hallway","Answer: In the clouds. Question: What is he doing? Answer: He is writing the","Where is John? "
"garden","Answer: In the bank.  Question: What is the matter with Dan? Answer: He is suspicious","Where is Sandra? "
