family,rung,task,arm_dir,tokenizer,regime,n,interface,null_name,acc,null,delta_pp,ci95_lo_pp,ci95_hi_pp,ci95_half_width_pp,boot_p,mcnemar_p,verdict,could_have_detected_mmlu_effect,modal_pred_share,exact_tie_rate
olmo2_7b,base,mmlu_pro,7B_base,olmo2,prune_then_heal,12032,letter,best_constant_A,0.271858,0.116606,15.5253,14.611,16.4229,0.9059,0.0001,1.6256936779791297e-246,above the floor,True,0.301363,0.00507
olmo2_7b,base,mmlu_pro,7B_base,olmo2,prune_then_heal,12032,content_raw,longest_split,0.195146,0.19315,0.1996,-0.8104,1.2053,1.0078,0.6988,,AT the floor (n.s.),True,0.110539,0.00108
olmo2_7b,base,mmlu_pro,7B_base,olmo2,prune_then_heal,12032,content_raw,longest_first,0.195146,0.195894,-0.0748,-1.1636,1.0057,1.0846,0.8933,0.9039734757516662,AT the floor (n.s.),True,0.110539,0.00108
olmo2_7b,base,mmlu_pro,7B_base,olmo2,prune_then_heal,12032,content_raw,longest_last,0.195146,0.190824,0.4322,-0.64,1.5043,1.0721,0.42619999999999997,0.43831732033703336,AT the floor (n.s.),True,0.110539,0.00108
olmo2_7b,base,mmlu_pro,7B_base,olmo2,prune_then_heal,12032,content_raw,longest_credit,0.195146,0.532164,-33.7018,-34.9152,-32.4967,1.2093,0.0001,0.0,BELOW the floor,True,0.110539,0.00108
olmo2_7b,base,mmlu_pro,7B_base,olmo2,prune_then_heal,12032,content_raw,longest_wrong,0.195146,0.125914,6.9232,5.9176,7.9205,1.0015,0.0001,3.97193873960541e-42,above the floor,True,0.110539,0.00108
olmo2_7b,base,mmlu_pro,7B_base,olmo2,prune_then_heal,12032,content_norm,longest_split,0.207613,0.19315,1.4463,0.5342,2.3738,0.9198,0.001,,above the floor,True,0.111203,0.000997
olmo2_7b,base,mmlu_pro,7B_base,olmo2,prune_then_heal,12032,content_norm,longest_first,0.207613,0.195894,1.1719,0.1745,2.1775,1.0015,0.0204,0.022070345224361475,above the floor,True,0.111203,0.000997
olmo2_7b,base,mmlu_pro,7B_base,olmo2,prune_then_heal,12032,content_norm,longest_last,0.207613,0.190824,1.6789,0.6979,2.6764,0.9892,0.0007,0.0009401706447008041,above the floor,True,0.111203,0.000997
olmo2_7b,base,mmlu_pro,7B_base,olmo2,prune_then_heal,12032,content_norm,longest_credit,0.207613,0.532164,-32.4551,-33.5856,-31.3331,1.1263,0.0001,0.0,BELOW the floor,True,0.111203,0.000997
olmo2_7b,base,mmlu_pro,7B_base,olmo2,prune_then_heal,12032,content_norm,longest_wrong,0.207613,0.125914,8.1699,7.2473,9.1007,0.9267,0.0001,3.3633250228909744e-67,above the floor,True,0.111203,0.000997
olmo2_7b,shortgpt16,mmlu_pro,7B_shortgpt16_step200000,olmo2,prune_then_heal,12032,letter,best_constant_A,0.153341,0.116606,3.6735,2.9671,4.3717,0.7023,0.0001,1.8452571543960416e-24,above the floor,True,0.380568,0.119681
olmo2_7b,shortgpt16,mmlu_pro,7B_shortgpt16_step200000,olmo2,prune_then_heal,12032,content_raw,longest_split,0.142121,0.19315,-5.1029,-6.0269,-4.2065,0.9102,0.0001,,BELOW the floor,True,0.114694,0.009641
olmo2_7b,shortgpt16,mmlu_pro,7B_shortgpt16_step200000,olmo2,prune_then_heal,12032,content_raw,longest_first,0.142121,0.195894,-5.3773,-6.383,-4.3966,0.9932,0.0001,1.3715431431577652e-25,BELOW the floor,True,0.114694,0.009641
olmo2_7b,shortgpt16,mmlu_pro,7B_shortgpt16_step200000,olmo2,prune_then_heal,12032,content_raw,longest_last,0.142121,0.190824,-4.8703,-5.876,-3.8896,0.9932,0.0001,1.7527034535165314e-21,BELOW the floor,True,0.114694,0.009641
olmo2_7b,shortgpt16,mmlu_pro,7B_shortgpt16_step200000,olmo2,prune_then_heal,12032,content_raw,longest_credit,0.142121,0.532164,-39.0043,-40.1762,-37.8324,1.1719,0.0001,0.0,BELOW the floor,True,0.114694,0.009641
olmo2_7b,shortgpt16,mmlu_pro,7B_shortgpt16_step200000,olmo2,prune_then_heal,12032,content_raw,longest_wrong,0.142121,0.125914,1.6207,0.7064,2.5102,0.9019,0.0002,0.000539509880402571,above the floor,True,0.114694,0.009641
