"target","output","question"
"bathroom","What is she doing?  Answer: Mary is in the barn. She is sewing.  Question: What","Where is Mary? "
"bedroom","(The answer is in the text.)  Answer: She is in the woods, with the fairies","Where is Sandra? "
"kitchen","Answer: In her chamber.  Question: What is the effect of the shadow of the unknown on her","Where is Mary? "
"bathroom","What is she doing? What is she thinking? What is she feeling? What is she saying?","Where is Mary? "
"kitchen","What is she doing?  Answer: Sandra is in the kitchen. She is making a cake.  Question","Where is Sandra? "
"hallway","What is she doing? What is she wearing? What is she thinking? What is she feeling?","Where is Sandra? "
"bedroom","Answer: In the garden. Question: What is she doing? Answer: She is weeping.","Where is Mary? "
"office","Answer: She is in the kitchen. Question: Where is Sandra? Answer: She is in the","Where is Sandra? "
"office","(in the text)  Answer: Mary is in the garden.  Question: What is the name of","Where is Mary? "
"kitchen","Answer: In the garden. Question: Where is the garden? Answer: In the house.","Where is Sandra? "
"bedroom","Answer: She is in the kitchen. Question: Where is the kitchen? Answer: It is in","Where is Mary? "
"office","What is he doing?  Answer: Daniel is in the cabin of the brig. He is trying to","Where is Daniel? "
"office","(Laughter.)  Answer: He is in the next room. (Laughter.)  Question: What","Where is Daniel? "
"office","Answer: He is in the kitchen. 2. Where is the key? Answer: It","Where is John? "
"hallway","Answer: She is in the kitchen, making the soup. Question: Where is the soup?","Where is Sandra? "
"bedroom","(Go to this question's page)  Answer: He is in the kitchen, making a cake.","Where is Daniel? "
"bathroom","Answer: She is in the kitchen. Question: Where is the kitchen? Answer: It is in","Where is Sandra? "
"garden","(0.0%) Answer: Sandra is in the kitchen.  Question: What is the name of","Where is Sandra? "
"bedroom","Answer: In the garden. Question: Where is Mary? Answer: In the garden. Question","Where is John? "
"hallway","Answer: In the garden. Question: What is she doing? Answer: Weeping. Question:","Where is Mary? "
"hallway","(from ""The Girl of the Golden West"")  Answer: ""John"" is the name of the","Where is John? "
"bathroom","Where is John? Where is John? Where is John? Where is John? Where is John?","Where is John? "
"office","Answer: She is in the garden. Question: What is the weather like? Answer: It is","Where is Mary? "
"hallway","Answer: In the next room. Question: Where is the next room? Answer: In the","Where is John? "
"garden","Answer: She is in the kitchen. Question: Where is Sandra? Answer: She is in the","Where is Sandra? "
